Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
弯腰,wānyāo,verb: to bend over; to stoop,他弯腰捡起了地上的书。,He bent over to pick up the book from the ground.,Everyday,Can be literal or figurative: 弯腰道歉 “bow to apologize.”,Unknown,7.3,
万事,wànshì,noun: all things; everything,祝你万事如意。,I wish that everything goes as you wish.,Protocol,Usually appears in fixed expressions such as 万事如意 and 万事顺利.,Unknown,7.3,
微风,wēifēng,noun: gentle breeze; light wind,微风吹过，树叶轻轻摇动。,"A gentle breeze blew past, making the leaves move softly.",Literary,"More descriptive than 风; implies a light, pleasant wind.",Unknown,7.3,
西天,xītiān,"noun: the western paradise; Buddhist heaven
noun: the West, in Journey to the West",唐僧带着徒弟前往西天取经。,Tang Sanzang travelled west with his disciples to obtain Buddhist scriptures.,Literary,"In Buddhist contexts, 西天 can mean the Western Paradise. In Journey to the West, it is the destination for obtaining scriptures.",Unknown,7.3,
下水,xiàshuǐ,"verb: to enter the water
verb: to launch a ship into water
noun: sewer/drainage water",孩子还不敢下水游泳；新船今天正式下水。,The child still does not dare to enter the water to swim; the new ship was officially launched today.,Everyday,The verb has different meanings depending on context. 下水道 means “sewer/drain.”,Unknown,7.3,
下周,xiàzhōu,noun: next week,我们下周再讨论这个问题。,Let us discuss this issue again next week.,Everyday,Refers to the week following the current one.,Band2,7.3,
相片,xiàngpiàn,noun: photograph; photo,我在相册里找到了一张旧相片。,I found an old photograph in the album.,Everyday,"Common in Singapore/Malaysia and Taiwan. In Mainland Chinese, 照片 is more common.",Band4,7.3,
香料,xiāngliào,noun: spice; seasoning; aromatic ingredient,这道咖喱用了很多香料。,This curry uses many spices.,Everyday,Includes spices and aromatic ingredients used to add flavour or fragrance.,Band7,7.3,
香喷喷,xiāngpēnpēn,adjective: deliciously fragrant; smelling wonderful,刚出炉的面包香喷喷的。,The freshly baked bread smells wonderfully fragrant.,Everyday,"A vivid, informal description, especially for freshly cooked food.",Unknown,7.3,
心得,xīndé,noun: insight; understanding gained from experience,读完这本书后，请写下你的心得。,"After reading this book, please write down your insights.",Neutral Formal,"Refers to personal understanding or lessons gained through study, work, or experience.",Band7,7.3,
新房,xīnfáng,"noun: new house; newly bought home
noun: bridal chamber; newlyweds’ room",他们刚搬进新房；婚礼当天，朋友们布置了新房。,"They have just moved into their new home; on the wedding day, the friends decorated the newlyweds’ room.",Everyday,"The first meaning is common today. In wedding contexts, 新房 refers to the room/home prepared for newlyweds.",Band7,7.3,
学妹,xuémèi,noun: younger female schoolmate,她是我大学的学妹。,She is a younger female schoolmate from my university.,Everyday,Used by a student/alumnus to refer to a female student from the same school in a lower year.,Unknown,7.3,
眼科,yǎnkē,noun: ophthalmology; eye department,他的眼睛不舒服，所以去眼科检查。,"His eyes felt uncomfortable, so he went to the ophthalmology department for an examination.",Technical,The medical specialty/department for eye conditions.,Unknown,7.3,
羊皮,yángpí,noun: sheepskin; sheep leather,这双靴子是用羊皮做的。,These boots are made of sheepskin.,Everyday,Can refer to the skin/leather of a sheep. 羊皮纸 means “parchment.”,Unknown,7.3,
羊群,yángqún,noun: flock of sheep,一群羊在山坡上吃草。,A flock of sheep is grazing on the hillside.,Everyday,Refers collectively to a group of sheep.,Unknown,7.3,
药材,yàocái,noun: medicinal ingredients; medicinal materials,中药店里有各种各样的药材。,Chinese medicine shops have many kinds of medicinal ingredients.,Technical,"Often refers to raw materials used in traditional Chinese medicine, rather than finished medicine.",Band7,7.3,
夜班,yèbān,noun: night shift,他这周上夜班，白天需要睡觉。,He is working the night shift this week and needs to sleep during the day.,Everyday,Opposite of 日班 “day shift.”,Band7,7.3,
一号,yīhào,"noun: number one; first
noun: the first day of a month",他是一号选手；我们约在十月一号见面。,He is contestant number one; we will meet on the first of October.,Everyday,"Can mean a number/rank, a date, or part of a name such as 一号线 “Line 1.”",Unknown,7.3,
仪仗,yízhàng,noun: ceremonial guard; ceremonial display,仪仗队整齐地站在广场上。,The ceremonial guard stood neatly in the square.,Protocol,"Usually used in formal state, military, or ceremonial contexts. 仪仗队 means “honour guard.”",Unknown,7.3,
拥抱,yōngbào,"verb: to hug; to embrace
noun: hug; embrace",他们见面后拥抱了一下；这个温暖的拥抱让她很感动。,They hugged when they met; this warm embrace moved her deeply.,Everyday,"Can be literal, or figurative: 拥抱变化 “embrace change.”",Band5,7.3,
泳池,yǒngchí,noun: swimming pool,酒店的泳池晚上十点关闭。,The hotel swimming pool closes at ten at night.,Everyday,Short for 游泳池.,Unknown,7.3,
用尽,yòngjìn,verb: to use up completely; to exhaust,他用尽力气才推开那扇门。,He used up all his strength just to push open that door.,Neutral Formal,"Usually followed by a resource: 用尽力气, 用尽办法, 用尽积蓄.",Unknown,7.3,
用钱,yòngqián,"verb: to spend money
verb: to need money",买房很用钱，所以他们一直努力存钱。,"Buying a home requires a lot of money, so they have been working hard to save.",Everyday,Can mean spending money or requiring money. 花钱 is more common for a specific act of spending.,Unknown,7.3,
油灯,yóudēng,noun: oil lamp,古书旁放着一盏昏黄的油灯。,A dim oil lamp was placed beside the old book.,Literary,A lamp that burns oil; common in historical or old-fashioned settings.,Unknown,7.3,
油条,yóutiáo,noun: Chinese fried dough stick,我早餐喜欢喝豆浆配油条。,"For breakfast, I like soy milk with fried dough sticks.",Everyday,"A long strip of deep-fried dough, often eaten for breakfast.",Unknown,7.3,
玉石,yùshí,"noun: jade; jade stone
noun: valuable stone",这块玉石在阳光下泛着温润的光。,This jade stone gave off a warm glow in the sunlight.,Literary,Can refer broadly to jade or valuable ornamental stone. 玉石俱焚 is a fixed expression meaning “perish together.”,Unknown,7.3,
在乎,zàihu,verb: to care about; to mind; to attach importance to,我不在乎别人怎么说。,I do not care what other people say.,Everyday,"Can mean caring deeply about someone/something, or minding an issue: 你在乎吗？",Band4,7.3,
造船,zàochuán,verb: to build ships; shipbuilding,这座城市过去以造船业闻名。,This city was once famous for its shipbuilding industry.,Technical,Can refer to the act of building ships or the shipbuilding industry.,Unknown,7.3,
遮阳,zhēyáng,verb: to block sunlight; to provide shade,这顶帽子可以遮阳。,This hat can protect you from the sun.,Everyday,"Used for things that block direct sunshine: 遮阳伞, 遮阳帽, 遮阳板.",Unknown,7.3,
直升机,zhíshēngjī,noun: helicopter,救援直升机很快到达了现场。,The rescue helicopter quickly arrived at the scene.,Everyday,The standard word for helicopter.,Band6,7.3,
中北部,zhōngběibù,noun: central and northern region,明天中北部地区可能会有大雨。,The central and northern regions may experience heavy rain tomorrow.,Official,Usually used in weather reports and geographic descriptions.,Unknown,7.3,
种地,zhòngdì,verb: to farm; to cultivate land,爷爷年轻时靠种地养家。,Grandfather supported his family by farming when he was young.,Everyday,Similar to 种田. 种地 is broader and can include growing crops on any land.,Unknown,7.3,
重活,zhònghuó,noun: heavy labour; physically demanding work,搬这些家具是重活，不能一个人做。,Moving this furniture is heavy work and cannot be done by one person.,Everyday,Refers to work requiring considerable physical strength.,Unknown,7.3,
竹篮,zhúlán,noun: bamboo basket,她提着竹篮去市场买菜。,She carried a bamboo basket to the market to buy vegetables.,Everyday,A basket woven from bamboo.,Unknown,7.3,
主妇,zhǔfù,noun: housewife; homemaker,她目前是一名全职主妇。,She is currently a full-time homemaker.,Everyday,Traditionally refers to a woman managing household work. 家庭主妇 is the fuller form.,Band7,7.3,
装作,zhuāngzuò,verb: to pretend; to feign,他装作没看见，继续往前走。,He pretended not to see it and continued walking.,Everyday,"Often followed by a state/action: 装作不知道, 装作很镇定.",Unknown,7.3,
晒太阳,shài tàiyáng,verb phrase: to bask in the sun; to get some sun,天气很好，我们去公园晒太阳吧。,The weather is nice; let us go to the park to bask in the sun.,Everyday,Usually means sitting or resting in sunlight for warmth or enjoyment.,Band7,7.3,
呈交,chéngjiāo,verb: to submit formally; to present for review,请在截止日期前呈交申请表。,Please submit the application form before the deadline.,Official,"More formal than 提交; used for documents, reports, and applications.",Unknown,7.3,
呈献,chéngxiàn,verb: to present; to offer respectfully,学生们向老师呈献了一束鲜花。,The students presented a bouquet of flowers to the teacher.,Protocol,"Formal/respectful wording for offering something, especially in ceremonies or writing.",Unknown,7.3,
吃光,chīguāng,verb: to eat up completely; to finish all the food,他很饿，一下子把饭都吃光了。,He was very hungry and quickly ate all the food.,Everyday,Emphasizes that nothing is left. Also used figuratively for resources: 钱都花光了.,Unknown,7.3,
倒水,dàoshuǐ,verb: to pour water,请帮我倒一杯水。,Please pour me a glass of water.,Everyday,"Usually means pouring water into a container. Depending on context, it can also mean pouring water out.",Unknown,7.3,
防风,fángfēng,"verb: to protect against wind
adjective: windproof",这件外套防风，适合在海边穿。,This jacket is windproof and suitable for wearing by the sea.,Everyday,"Common in clothing and building contexts: 防风外套, 防风玻璃.",Unknown,7.3,
盖房,gài fáng,verb phrase: to build a house,他们正在乡下盖房。,They are building a house in the countryside.,Everyday,盖 is a common everyday verb for constructing buildings.,Unknown,7.3,
各式,gèshì,determiner: all kinds of; various types of,商场里有各式各样的商品。,The shopping centre has all kinds of goods.,Neutral Formal,Usually appears in 各式各样 “of every kind.”,Unknown,7.3,
国花,guóhuā,noun: national flower,樱花是日本最具代表性的国花之一。,Cherry blossoms are among Japan’s most representative national flowers.,Neutral Formal,Refers to a flower symbolically associated with a country. Official status varies by country.,Unknown,7.3,
何其,héqí,adverb: how; how extremely,能再次见到你，我是何其幸运。,How fortunate I am to be able to see you again.,Literary,"A literary intensifier, usually used before an adjective: 何其美丽, 何其重要.",Unknown,7.3,
湖水,húshuǐ,noun: lake water,湖水清澈得可以看见鱼。,The lake water is so clear that you can see the fish.,Everyday,Refers to water in a lake.,Unknown,7.3,
火球,huǒqiú,noun: fireball; ball of fire,流星划过天空时，看起来像一个火球。,"When the meteor crossed the sky, it looked like a fireball.",Literary,"Can be literal, used in fantasy magic, or describe a very bright burning object.",Unknown,7.3,
看门,kān mén,verb: to guard the door; to watch over a place,这只狗白天负责看门。,This dog is responsible for guarding the door during the day.,Everyday,Can mean guarding an entrance or watching a house/place while others are away.,Unknown,7.3,
老毛病,lǎomáobìng,"noun: long-standing bad habit
noun: recurring old health problem",他爱拖延是老毛病；一到下雨天，他的膝盖老毛病又犯了。,"His habit of procrastinating is an old problem; whenever it rains, his old knee problem flares up again.",Everyday,Can refer to an established personal flaw or a recurring medical issue.,Unknown,7.3,
冒汗,màohàn,verb: to sweat; to break into a sweat,天气太热了，他一直冒汗。,The weather is so hot that he keeps sweating.,Everyday,"Can result from heat, exercise, nervousness, fever, or fear.",Unknown,7.3,
上联,shànglián,noun: first line of a couplet; upper scroll,请先读对联的上联，再读下联。,Please read the first line of the couplet before reading the second line.,Literary,"In a Chinese couplet, the 上联 is the first/upper line, paired with 下联.",Unknown,7.3,
下联,xiàlián,noun: second line of a couplet; lower scroll,这副对联的下联写得很工整。,The second line of this couplet is written very neatly.,Literary,"In a Chinese couplet, the 下联 is the second/lower line, paired with 上联.",Unknown,7.4,
养猪,yǎngzhū,verb: to raise pigs; pig farming,他家以前靠养猪维持生活。,His family used to make a living by raising pigs.,Everyday,Can refer to raising pigs as a farm activity or industry.,Unknown,7.4,
药费,yàofèi,noun: medicine cost; medical drug expenses,这次看病的药费不便宜。,The medication cost for this medical visit was not cheap.,Everyday,"Usually specifically the cost of medicine, separate from consultation or treatment fees.",Unknown,7.4,
一圈,yīquān,"noun: one circle; one round
noun: one lap",我们绕着湖走了一圈；他的眼圈红了一圈。,We walked one lap around the lake; the area around his eyes turned red.,Everyday,"Can mean one complete loop/lap, or a ring-shaped area around something.",Unknown,7.4,
钟声,zhōngshēng,noun: sound of a bell; bell chime,远处传来了教堂的钟声。,The sound of church bells came from the distance.,Literary,"Often used in descriptive writing, ceremonies, schools, or churches.",Unknown,7.4,
猪舍,zhūshè,noun: pigsty; pig pen,农场里的猪舍每天都要清洗。,The pig pens on the farm need to be cleaned every day.,Everyday,Refers to a building or enclosure for keeping pigs.,Unknown,7.4,
自语,zìyǔ,verb: to talk to oneself; to mutter,他坐在窗边，自语着什么。,"He sat by the window, muttering something to himself.",Literary,Usually appears in 自言自语 “talk to oneself.” 自语 alone is more literary.,Unknown,7.4,
百花,bǎihuā,noun: a hundred flowers; many flowers,春天来了，百花盛开。,"Spring has arrived, and many flowers are in full bloom.",Literary,Often appears in fixed/literary phrases such as 百花齐放 and 百花盛开.,Unknown,7.4,
当空,dāngkōng,verb phrase: to hang high in the sky,一轮明月当空，照亮了小路。,"A bright full moon hung high in the sky, lighting up the path.",Literary,"Usually follows something in the sky: 明月当空, 烈日当空.",Unknown,7.4,
勤学,qínxué,verb: to study diligently; to be diligent in learning,他勤学好问，成绩一直很好。,"He studies diligently and asks questions eagerly, so his grades have always been good.",Literary,"Common in praise, school mottos, and formal writing.",Unknown,7.4,
吓跑,xiàpǎo,verb: to frighten away; to scare off,突然的响声把鸟儿吓跑了。,The sudden sound frightened the birds away.,Everyday,Usually means causing a person or animal to run away in fear.,Unknown,7.4,
雪屋,xuěwū,noun: snow house; igloo,孩子们用雪堆了一间小雪屋。,The children built a small snow house out of snow.,Everyday,Can describe any house made of snow; an Inuit-style ice house is commonly called an 冰屋.,Unknown,7.4,
撑伞,chēngsǎn,verb: to hold up an umbrella; to use an umbrella,下雨了，你记得撑伞。,It is raining; remember to use an umbrella.,Everyday,撑 literally means holding something open/supporting it. Often used for umbrellas.,Unknown,7.4,
穿鞋,chuān xié,verb phrase: to put on shoes; to wear shoes,出门前记得穿鞋。,Remember to put on your shoes before going out.,Everyday,"穿鞋 can mean putting shoes on or wearing shoes generally, depending on context.",Unknown,7.4,
过河,guòhé,verb: to cross a river,我们得先过河，才能到对面的村子。,We have to cross the river before we can reach the village on the other side.,Everyday,"Can be literal, or figurative in 过河拆桥 “tear down the bridge after crossing the river.”",Unknown,7.4,
雨淋,yǔlín,verb: to be soaked by rain; to be rained on,他没带伞，被雨淋得全身湿透。,He did not bring an umbrella and was soaked through by the rain.,Everyday,Usually appears as 被雨淋 or 淋雨. 雨淋 alone is less common.,Unknown,7.4,
喂猪,wèizhū,verb: to feed pigs,爷爷每天早上都会去喂猪。,Grandfather goes to feed the pigs every morning.,Everyday,喂 means feeding animals or people who cannot feed themselves.,Unknown,7.4,
摸到,mōdào,verb: to touch and find; to feel one’s way to,房间太黑了，我摸到墙边的开关才把灯打开。,"The room was too dark, so I felt my way to the switch on the wall and turned on the light.",Everyday,"Emphasizes successfully finding something by touch, often when it cannot be seen.",Unknown,7.4,
认不出,rènbuchū,verb phrase: to be unable to recognize,你变化太大了，我差点认不出你。,You have changed so much that I almost did not recognize you.,Everyday,Used when someone/something has changed so much that recognition is difficult.,Unknown,7.4,
想不出,xiǎngbuchū,verb phrase: to be unable to think of; cannot come up with,我想不出一个合适的办法。,I cannot think of a suitable solution.,Everyday,"Usually followed by an answer, reason, idea, name, or solution.",Unknown,7.4,
一觉,yījiào,noun: one sleep; a period of sleep,我昨晚睡了一觉，今天精神好多了。,I had a sleep last night and feel much better today.,Everyday,Common patterns: 睡一觉 “sleep for a while” and 一觉醒来 “upon waking up.”,Unknown,7.4,
真笨,zhēn bèn,fixed expression: so stupid; really silly,我居然把钥匙忘在家里，真笨！,I actually left my keys at home—so stupid!,Everyday,Can be self-critical or teasing. Saying it directly to someone may sound insulting.,Unknown,7.4,
往回,wǎnghuí,adverb: back; in the direction of where one came from,发现忘了拿手机后，他马上往回走。,"After realizing he had forgotten his phone, he immediately walked back.",Everyday,"Usually used with movement verbs: 往回走, 往回跑, 往回拿.",Unknown,7.4,
池边,chíbiān,noun: beside the pool; by the pond,请不要在泳池边奔跑。,Please do not run by the swimming pool.,Everyday,"Can refer to the edge of a swimming pool, pond, or other body of water.",Unknown,7.4,
摔碎,shuāisuì,verb: to drop and break into pieces,他不小心把杯子摔碎了。,He accidentally dropped the cup and broke it into pieces.,Everyday,Usually implies something breaks because it falls or is thrown down.,Unknown,7.4,
水仗,shuǐzhàng,noun: water fight; water battle,孩子们在院子里打水仗，玩得很开心。,The children had a water fight in the yard and had a great time.,Everyday,Common phrase: 打水仗.,Unknown,7.4,
别怕,bié pà,fixed expression: do not be afraid; do not worry,别怕，我会陪着你。,Do not be afraid; I will stay with you.,Everyday,"A reassuring phrase, often used to comfort someone.",Unknown,7.4,
避雷,bìléi,verb: to avoid a bad choice; to avoid a pitfall,这家餐厅服务很差，大家可以避雷。,"This restaurant has poor service, so everyone can avoid it.",Everyday,"Internet slang meaning avoiding something disappointing, risky, or low quality. Literal lightning protection is 避雷针 or 防雷.",Unknown,7.4,
脱鞋,tuōxié,verb: to take off one’s shoes,进屋前请先脱鞋。,Please take off your shoes before entering the house.,Everyday,Opposite of 穿鞋.,Unknown,7.4,
画线,huàxiàn,verb: to draw a line; to mark a boundary,请在纸上画一条直线。,Please draw a straight line on the paper.,Everyday,"Can be literal, or figurative: 画线 means setting a clear boundary or standard.",Unknown,7.4,
鲜橙,xiānchéng,noun: fresh orange,这杯果汁是用鲜橙榨的。,This glass of juice is made from freshly squeezed oranges.,Everyday,"Usually means fresh oranges, especially in food/drink descriptions.",Unknown,7.4,
甜饼,tiánbǐng,noun: sweet biscuit; sweet cake,下午茶时，她吃了一块甜饼。,She ate a sweet biscuit at afternoon tea.,Everyday,A general word for a sweet baked snack; the exact type varies by region.,Unknown,7.4,
叫住,jiàozhù,verb: to call out and stop someone,我正要离开时，老师叫住了我。,"Just as I was about to leave, the teacher called out and stopped me.",Everyday,叫 means call out; 住 adds the result that the person stops.,Unknown,7.4,
寄钱,jìqián,verb: to send money; to remit money,他每个月都会寄钱给父母。,He sends money to his parents every month.,Everyday,"Can be through a bank transfer, remittance service, or mail; 汇钱 is more formal for transferring money.",Unknown,7.4,
背向,bèixiàng,verb: to face away from; to turn one’s back toward,他背向窗户坐着，没有看见外面的雨。,He sat facing away from the window and did not see the rain outside.,Neutral Formal,"Usually followed by a direction/object: 背向门口, 背向阳光.",Unknown,7.4,
背对,bèiduì,verb: to have one’s back to; to face away from,她背对着我，所以没有发现我进来。,"She had her back to me, so she did not notice me come in.",Everyday,Very similar to 背向. 背对着 is especially common in speech.,Unknown,7.4,
遮风,zhēfēng,verb: to block the wind; to shelter from wind,这面墙可以帮我们遮风。,This wall can shelter us from the wind.,Everyday,Often paired with 挡雨: 遮风挡雨.,Unknown,7.4,
第一届,dìyī jiè,noun: the first session; the first edition,第一届运动会将在下个月举行。,The first sports meet will be held next month.,Official,"Used for the first occurrence of a recurring event, competition, conference, or term.",Unknown,7.4,
不可少,bùkě shǎo,fixed expression: indispensable; cannot be omitted,安全检查是活动中不可少的一环。,Safety checks are an indispensable part of the event.,Neutral Formal,Usually appears as 不可少的一部分 / 不可少的一环. 必不可少 is more common.,Unknown,7.4,
炒米粉,chǎo mǐfěn,noun: fried rice vermicelli; stir-fried rice noodles,我早餐点了一盘炒米粉。,I ordered a plate of fried rice vermicelli for breakfast.,Everyday,Common Southeast Asian Chinese dish. 米粉 refers to rice vermicelli/noodles.,Unknown,7.4,
虾面,xiāmiàn,noun: prawn noodles; shrimp noodle soup,这家小贩中心的虾面很有名。,The prawn noodles at this hawker centre are very famous.,Everyday,Common in Singapore/Malaysia. Usually noodles served in a prawn-based broth.,Unknown,7.4,
合起来,héqǐlái,verb phrase: to add together; to combine,把这两笔钱合起来，刚好够买礼物。,"Add these two amounts of money together, and they are just enough to buy the gift.",Everyday,"Can mean combining things, people, numbers, or efforts.",Unknown,7.4,
乱抢,luànqiǎng,verb: to grab recklessly; to scramble for,大家不要乱抢，请排队领取。,"Everyone, do not grab recklessly; please line up to collect yours.",Everyday,Usually criticizes disorderly grabbing or fighting over things.,Unknown,7.4,
升旗礼,shēngqílǐ,noun: flag-raising ceremony,学生们每周一都参加升旗礼。,The students attend the flag-raising ceremony every Monday.,Protocol,"Common in Singapore/Malaysia Chinese. In Mainland Chinese, 升旗仪式 is more common.",Unknown,7.4,
侧着,cèzhe,verb: to be sideways; to turn to one side,他侧着身子从狭窄的门缝里走过去。,He turned sideways to pass through the narrow doorway.,Everyday,"Usually needs a following body part or position: 侧着身子, 侧着脸.",Unknown,7.4,
八折,bāzhé,noun: 20% discount; 80% of the original price,这件外套打八折，售价八十元。,"This jacket is sold at 20% off, for eighty yuan.",Everyday,"八折 means paying 80% of the original price, not paying 20%.",Unknown,7.4,
百分之九十九,bǎifēnzhī jiǔshíjiǔ,noun: ninety-nine percent,百分之九十九的学生都通过了考试。,Ninety-nine percent of the students passed the examination.,Neutral Formal,Chinese percentages are stated as 百分之 + number.,Unknown,7.4,
百分之一,bǎifēnzhī yī,noun: one percent,只有百分之一的人选择了这个答案。,Only one percent of people chose this answer.,Neutral Formal,Chinese percentages are stated as 百分之 + number.,Unknown,7.4,
百科,bǎikē,noun: encyclopedia; broad knowledge,他喜欢看百科全书，也懂很多百科知识。,He likes reading encyclopaedias and also knows a great deal of general knowledge.,Neutral Formal,Usually appears in 百科全书 “encyclopaedia” or 百科知识 “general knowledge.” 百科 alone is less common.,Unknown,7.4,
百玩不厌,bǎiwánbùyàn,fixed expression: never tiring of playing; enjoyable again and again,这个游戏设计得很好，真是百玩不厌。,This game is designed very well; it never gets tiring to play.,Everyday,"Used for games, toys, activities, or entertainment that remain enjoyable after repeated use.",Unknown,7.4,
拜师,bàishī,verb: to become someone’s apprentice; to formally take a master,他想拜师学习传统武术。,He wants to become an apprentice to learn traditional martial arts.,Literary,"Usually implies formally learning from a skilled master in martial arts, crafts, or traditional arts.",Unknown,7.4,
板擦,bǎncā,noun: blackboard eraser; board eraser,老师用板擦把黑板擦干净。,The teacher used a board eraser to clean the blackboard.,Everyday,Also called 黑板擦.,Unknown,7.4,
半价,bànjià,noun: half price; 50% off,学生今天买票可以享受半价。,Students can enjoy half-price tickets today.,Everyday,Paying half of the original price. Similar to 打对折.,Unknown,7.4,
半生熟,bànshēngshú,adjective: half-cooked; medium-done,这块牛排我要半生熟。,I would like this steak medium-done.,Everyday,"Often used for steak or eggs. For food safety, some foods should not be eaten undercooked.",Unknown,7.4,
半圆,bànyuán,noun: semicircle; half circle,请在纸上画一个半圆。,Please draw a semicircle on the paper.,Everyday,A shape equal to half of a circle.,Unknown,7.4,
扮成,bànchéng,verb: to dress up as; to disguise oneself as,孩子在派对上扮成了超人。,The child dressed up as Superman at the party.,Everyday,"Usually followed by the identity/role someone becomes: 扮成医生, 扮成怪物.",Unknown,7.4,
保家卫国,bǎojiā wèiguó,fixed expression: defend one’s home and country,士兵们决心保家卫国。,The soldiers were determined to defend their homes and country.,Literary,"A patriotic expression, often used in history, military, and formal rhetoric.",Unknown,7.4,
保龄球,bǎolíngqiú,noun: bowling,我们周末去打保龄球吧。,Let us go bowling this weekend.,Everyday,打保龄球 means “to bowl.”,Unknown,7.4,
保温,bǎowēn,"verb: to retain heat; to keep warm
adjective: insulated; heat-retaining",保温杯能让热水保温更久。,A thermos can keep hot water warm for longer.,Everyday,Common in 保温杯 “thermos” and 保温瓶. It focuses on retaining existing heat.,Unknown,7.4,
抱拳,bàoquán,verb: to cup one fist in the other hand in greeting,他抱拳向大家行礼。,He cupped one fist in the other hand to salute everyone.,Protocol,"A traditional Chinese greeting/gesture, common in martial arts, historical settings, and New Year greetings.",Unknown,7.4,
暴食,bàoshí,"verb: to binge eat; to overeat
noun: binge eating",压力太大时，他有时会暴食；暴食会影响身体健康。,"When under too much stress, he sometimes binge eats; binge eating can affect physical health.",Technical,"Usually refers to eating an excessive amount, sometimes in a medical/psychological context.",Unknown,7.4,
北面,běimiàn,noun: north side; northern side,学校北面有一个足球场。,There is a football field on the north side of the school.,Everyday,More conversational than 北部; can also refer to the north-facing side of something.,Unknown,7.4,
背部,bèibù,noun: back; back area,他背部受伤，暂时不能运动。,"His back is injured, so he cannot exercise for now.",Neutral Formal,More formal/anatomical than 背. Common in medical and exercise contexts.,Unknown,7.4,
背带,bēidài,"noun: strap; shoulder strap
noun: suspenders; baby carrier straps",这个书包的背带太长了；父母用背带把婴儿固定好。,The straps on this backpack are too long; the parents secured the baby with carrier straps.,Everyday,"Usually straps worn over the shoulders, such as on bags, overalls, or baby carriers.",Unknown,7.4,
背靠,bèikào,verb: to lean against; to be backed by,他背靠着墙休息；这家公司背靠大型集团。,He rested with his back against the wall; this company is backed by a large group.,Neutral Formal,Can be literal physical support or figurative support from an organization/person.,Unknown,7.4,
背靠背,bèikàobèi,"adverb: back to back
adjective: direct and candid",两人背靠背坐着；大家背靠背地谈了问题。,The two sat back to back; everyone discussed the problems directly and candidly.,Neutral Formal,"Literal for physical position. Figuratively, 背靠背谈话 means an open, direct discussion.",Unknown,7.4,
背面,bèimiàn,noun: back; reverse side,请在这张纸的背面写名字。,Please write your name on the back of this sheet of paper.,Everyday,"Opposite of 正面. Used for objects, pages, cards, buildings, and directions.",Band7,7.4,
背心,bèixīn,noun: vest; sleeveless top,天气热，他穿着一件白色背心。,"The weather was hot, so he wore a white sleeveless vest.",Everyday,"Usually a sleeveless garment. It can also mean an undershirt or a padded vest, depending on context.",Band6,7.4,
被困,bèikùn,verb: to be trapped; to be stranded,大雨后，几名游客被困在山上。,"After the heavy rain, several tourists were stranded on the mountain.",Neutral Formal,"Usually passive: someone is unable to leave because of danger, an obstacle, or a disaster.",Unknown,7.4,
辈子,bèizi,noun: lifetime; generation,我一辈子都不会忘记这件事。,I will never forget this for my whole life.,Everyday,"Usually used with a number or possessive word: 一辈子, 这辈子, 上辈子.",Unknown,7.4,
比方说,bǐfangshuō,fixed expression: for example; for instance,很多运动都能锻炼身体，比方说游泳和跑步。,"Many sports can exercise the body, for example swimming and running.",Everyday,More conversational than 例如. Used to introduce an example.,Unknown,7.4,
比拼,bǐpīn,"verb: to compete; to vie with
noun: competition; contest",两队将在决赛中比拼实力；这是一场精彩的比拼。,The two teams will compete in the final; this is an exciting contest.,Everyday,"Emphasizes competing in skill, strength, speed, or ability.",Unknown,7.4,
比作,bǐzuò,verb: to compare to; to liken to,人们常把老师比作园丁。,People often liken teachers to gardeners.,Literary,Usually used in the pattern 把 A 比作 B.,Unknown,7.4,
笔直,bǐzhí,adjective: perfectly straight; ramrod straight,这条路又长又笔直。,This road is long and perfectly straight.,Everyday,"Can describe a road, line, body posture, or object with no curve.",Unknown,7.4,
必备,bìbèi,"verb: to be essential; to be necessary
noun: essential item",雨伞是雨季必备；地图也是旅行必备。,Umbrellas are essential during the rainy season; maps are also travel essentials.,Everyday,"Often used after a noun: 旅行必备, 上学必备, 厨房必备.",Unknown,7.4,
边关,biānguān,noun: border pass; frontier region,将军奉命镇守边关。,The general was ordered to guard the frontier.,Literary,"Common in historical, martial-arts, and fantasy settings.",Unknown,7.4,
编剧,biānjù,"noun: screenwriter; scriptwriter
verb: to write or adapt a script",她是一名编剧；这部电影由她编剧。,She is a screenwriter; she wrote the script for this film.,Technical,"Used for film, television, theatre, and other scripted productions.",Band7,7.4,
扁豆,biǎndòu,noun: hyacinth bean; flat bean,这道菜用了扁豆和猪肉一起炒。,This dish uses flat beans stir-fried with pork.,Everyday,"A type of flat edible bean. In some regions, the exact vegetable called 扁豆 may vary.",Unknown,7.4,
遍地,biàndì,adverb: everywhere; all over the ground,秋天到了，地上遍地都是落叶。,"Autumn has arrived, and fallen leaves are everywhere on the ground.",Literary,"Often used for things spread densely across an area: 遍地开花, 遍地都是.",Band6,7.4,
冰棒,bīngbàng,noun: ice pop; popsicle,天气热，孩子想吃一根冰棒。,"The weather is hot, and the child wants an ice pop.",Everyday,A frozen sweet treat on a stick. 冰棍 is also common.,Unknown,7.4,
冰箱,bīngxiāng,noun: refrigerator; fridge,牛奶放在冰箱里。,The milk is in the refrigerator.,Everyday,"Can refer to the whole fridge or, in casual speech, its freezer compartment.",Band4,7.4,
