_Chinese,English,_EN1,_CN1,_EN2,_CN2,_EN3,_CN3,_EN1 Target,_EN2 Targe,_EN3 Target,Color
正巧,by coincidence; happen to; just then,"By coincidence, we took the same bus.",我们正巧坐了同一辆公交车。,I happened to see her at the library.,我正巧在图书馆看到她。,"Just then, the phone rang.",正巧这时，电话响了。,By coincidence,happened to,Just then,5
正要,be just about to,I was just about to call you.,我正要给你打电话。,He was just about to leave when it started raining.,他正要离开，天就开始下雨了。,She was just about to explain the reason.,她正要解释原因。,just about to,just about to,just about to,5
此前,before this; previously,"Before this, I had never heard of that place.",此前，我从来没有听过那个地方。,"Previously, this rule was stricter.",此前，这个规定更严格。,He had met her once before this.,此前，他见过她一次。,Before this,Previously,before this,5
此后,after this; since then; afterwards,"After this, he became more careful.",此后，他变得更加小心。,"Since then, they have not contacted each other.",此后，他们没有再联系。,"Afterwards, the company changed its policy.",此后，公司改变了政策。,After this,Since then,Afterwards,5
此外,besides; in addition; furthermore,"Besides, we need to check the cost.",此外，我们还需要检查费用。,"In addition, this method is easier to use.",此外，这个方法更容易使用。,"Furthermore, the result is more reliable.",此外，结果也更可靠。,Besides,In addition,Furthermore,5
比如,for example; such as,"Many cities are expensive, for example Tokyo.",很多城市都很贵，比如东京。,"You can use simple words, such as these.",你可以用简单的词，比如这些。,"I like quiet places, for example libraries.",我喜欢安静的地方，比如图书馆。,for example,such as,for example,5
比较,relatively; fairly; compare,This sentence is relatively natural.,这个句子比较自然。,He is fairly busy today.,他今天比较忙。,Please compare these two answers.,请比较这两个答案。,relatively,fairly,compare,5
毕竟,after all; ultimately,"After all, he is still a beginner.",毕竟他还是初学者。,This job is difficult after all.,这份工作毕竟不容易。,"Ultimately, health is more important than money.",毕竟，健康比钱更重要。,After all,after all,Ultimately,5
永久,permanent; permanently,This is a permanent solution.,这是一个永久的解决办法。,The file was permanently deleted.,文件被永久删除了。,He wants to live here permanently.,他想永久住在这里。,permanent,permanently,permanently,5
永远,forever; always,I will remember this day forever.,我会永远记得这一天。,He will always support his family.,他会永远支持家人。,This problem cannot last forever.,这个问题不会永远存在。,forever,always,forever,5
没有,do not have; have not; not as,I do not have enough time today.,我今天没有足够的时间。,He has not finished his homework.,他没有完成作业。,This method is not as useful as the old one.,这个方法没有旧方法有用。,do not have,has not,not as,5
渐渐,gradually; little by little,He gradually became more confident.,他渐渐变得更有信心。,The sky slowly got dark.,天渐渐黑了下来。,"Little by little, she got used to life here.",她渐渐习惯了这里的生活。,gradually,slowly,Little by little,5
然后,then; after that,"I finished my homework, then went to sleep.",我做完作业，然后去睡觉。,"First read the sentence, after that translate it.",先读句子，然后翻译。,He washed his hands and then started eating.,他洗了手，然后开始吃饭。,then,after that,then,5
然而,however; yet,"This method is simple; however, it is not accurate.",这个方法很简单，然而不准确。,"He worked hard, yet he still failed.",他很努力，然而还是失败了。,"The plan sounded good; however, it was difficult to carry out.",这个计划听起来不错，然而很难实行。,however,yet,however,5
照例,as usual; as a rule,He arrived early as usual.,他照例早早到了。,"As a rule, we check the data before the meeting.",照例，我们会在会议前检查数据。,She greeted everyone as usual.,她照例跟大家打招呼。,as usual,As a rule,as usual,5
照常,as usual; normally,The shop opened as usual today.,这家店今天照常营业。,"Even though it rained, the class continued normally.",虽然下雨，课程照常进行。,He went to work as usual.,他照常去上班。,as usual,normally,as usual,5
照旧,as before; as usual,Everything remained as before.,一切照旧。,He still followed the old schedule as usual.,他照旧按照原来的时间表做事。,The meeting will be held as before.,会议照旧举行。,as before,as usual,as before,5
照样,still; just the same; in the same way,"Even without his help, I can still finish it.",没有他的帮助，我照样能完成。,You can do it in the same way.,你可以照样做。,"Although she was tired, she worked just the same.",虽然很累，她照样工作。,still,in the same way,just the same,5
特别,especially; special; particularly,I especially like this sentence.,我特别喜欢这个句子。,Today is a special day.,今天是特别的一天。,This method is particularly useful for beginners.,这个方法对初学者特别有用。,especially,special,particularly,5
特地,specially; make a special effort,He came specially to see you.,他特地来看你。,I bought this cake specially for your birthday.,我特地给你买了这个蛋糕。,She made a special effort to explain the rule clearly.,她特地把规则解释清楚。,specially,specially,made a special effort,5
特意,specially; deliberately,I specially prepared this example for you.,我特意为你准备了这个例子。,He deliberately chose a quiet place.,他特意选了一个安静的地方。,She came early specially to help us.,她特意早点来帮我们。,specially,deliberately,specially,5
现在,now; at present,I am studying Chinese now.,我现在正在学中文。,"At present, this problem has not been solved.",现在，这个问题还没有解决。,He lives in Singapore now.,他现在住在新加坡。,now,At present,now,5
现场,on site; scene; live,The engineer checked the machine on site.,工程师在现场检查了机器。,Many people were at the scene.,现场有很多人。,I watched the performance live.,我在现场看了表演。,on site,scene,live,5
甚至,even,He even forgot his own birthday.,他甚至忘了自己的生日。,This question is so easy that even a beginner can answer it.,这个问题很简单，甚至初学者也能回答。,She was so busy that she did not even eat lunch.,她太忙了，甚至没有吃午饭。,even,even,even,5
由于,due to; because of,"Due to the rain, the match was cancelled.",由于下雨，比赛取消了。,"Because of traffic, he arrived late.",由于交通堵塞，他迟到了。,"Due to a lack of time, we changed the plan.",由于时间不够，我们改变了计划。,Due to,Because of,Due to,5
由此可见,from this it can be seen; this shows that,From this it can be seen that practice is important.,由此可见，练习很重要。,This shows that the method is effective.,由此可见，这个方法是有效的。,"From this, we can see that the problem is serious.",由此可见，这个问题很严重。,From this it can be seen,This shows that,"From this, we can see",5
略微,slightly; a little,The price is slightly higher than before.,价格略微比以前高。,He felt a little nervous before the interview.,面试前，他略微有点紧张。,Please adjust the volume slightly.,请略微调低音量。,slightly,a little,slightly,5
的确,indeed; really,This answer is indeed correct.,这个答案的确是对的。,He really helped me a lot.,他的确帮了我很多。,This grammar point is indeed difficult.,这个语法点的确很难。,indeed,really,indeed,5
目前,currently; at present,"Currently, we are still checking the data.",目前，我们还在检查数据。,"At present, there is no better solution.",目前，没有更好的解决办法。,He is currently working on a new project.,他目前在做一个新项目。,Currently,At present,currently,5
目前为止,so far; up to now,"So far, everything has gone smoothly.",目前为止，一切都很顺利。,"Up to now, no one has found the answer.",目前为止，还没有人找到答案。,"So far, this is the best method.",目前为止，这是最好的方法。,So far,Up to now,So far,5
直接,directly; straightforward,Please answer the question directly.,请直接回答问题。,He went directly to the office after lunch.,午饭后，他直接去了办公室。,Her explanation was very straightforward.,她的解释很直接。,directly,directly,straightforward,5
相互,each other; mutual; mutually,They helped each other during the project.,他们在项目中相互帮助。,Mutual trust is very important.,相互信任很重要。,These two ideas mutually influence each other.,这两个想法相互影响。,each other,Mutual,mutually,5
相反,on the contrary; opposite,"I thought he would refuse; on the contrary, he agreed immediately.",我以为他会拒绝，相反，他马上同意了。,His opinion is the opposite of mine.,他的看法和我的相反。,"This method does not save time; on the contrary, it wastes more time.",这个方法不省时间，相反，还浪费更多时间。,on the contrary,opposite,on the contrary,5
相对来说,relatively speaking,"Relatively speaking, this question is easier.",相对来说，这个问题比较容易。,"Relatively speaking, this method is more practical.",相对来说，这个方法更实用。,"Relatively speaking, winter here is not very cold.",相对来说，这里的冬天不太冷。,Relatively speaking,Relatively speaking,Relatively speaking,5
相当,quite; fairly; equivalent to,This sentence is quite natural.,这个句子相当自然。,The exam was fairly difficult.,这次考试相当难。,This amount is equivalent to one month’s salary.,这笔钱相当于一个月的工资。,quite,fairly,equivalent to,5
相比之下,by comparison; in contrast,"By comparison, this option is cheaper.",相比之下，这个选择更便宜。,"In contrast, the second answer sounds more natural.",相比之下，第二个答案听起来更自然。,"By comparison, his explanation is clearer.",相比之下，他的解释更清楚。,By comparison,In contrast,By comparison,5
短暂地,briefly; for a short time,He briefly closed his eyes.,他短暂地闭上了眼睛。,The screen went black for a short time.,屏幕短暂地黑了一下。,She paused briefly before answering.,她回答前短暂地停顿了一下。,briefly,for a short time,briefly,5
确实,indeed; really; truly,This method is indeed useful.,这个方法确实有用。,He really worked hard this year.,他今年确实很努力。,This problem is truly difficult to solve.,这个问题确实很难解决。,indeed,really,truly,5
稍微,slightly; a little,Please speak slightly slower.,请稍微说慢一点。,This room is a little bigger than that one.,这个房间比那个房间稍微大一点。,He felt slightly nervous before the interview.,面试前，他稍微有点紧张。,slightly,a little,slightly,5
稍稍,slightly; a little,She smiled slightly.,她稍稍笑了一下。,Please move the chair a little to the left.,请把椅子稍稍往左移。,The temperature dropped slightly at night.,晚上气温稍稍下降了。,slightly,a little,slightly,5
究竟,exactly; after all; actually,What exactly happened yesterday?,昨天究竟发生了什么？,Who is right after all?,究竟谁是对的？,I want to know what he actually meant.,我想知道他究竟是什么意思。,exactly,after all,actually,5
突然,suddenly,He suddenly stood up.,他突然站了起来。,The phone suddenly rang.,电话突然响了。,"Suddenly, everyone became quiet.",突然，大家都安静了下来。,suddenly,suddenly,Suddenly,5
立刻,immediately; at once,Please leave immediately.,请立刻离开。,He answered the question at once.,他立刻回答了问题。,"After hearing the news, she immediately called her mother.",听到消息后，她立刻给妈妈打电话。,immediately,at once,immediately,5
立即,immediately; at once,The company immediately stopped the project.,公司立即停止了这个项目。,Please report this problem at once.,请立即报告这个问题。,He immediately realized his mistake.,他立即意识到自己的错误。,immediately,at once,immediately,5
立马,immediately; right away,I will send it to you right away.,我立马发给你。,He immediately ran out of the room.,他立马跑出了房间。,Call me right away when you arrive.,你到了以后立马给我打电话。,right away,immediately,right away,5
竟然,unexpectedly; actually; to one’s surprise,He unexpectedly forgot his own password.,他竟然忘了自己的密码。,She actually finished the whole book in one day.,她竟然一天就看完了整本书。,"To my surprise, he did not recognize me.",他竟然没有认出我。,unexpectedly,actually,To my surprise,5
简直,simply; practically; utterly,This answer is simply impossible.,这个答案简直不可能。,The room was practically empty.,房间里简直没人。,His behavior was utterly unreasonable.,他的行为简直不讲理。,simply,practically,utterly,5
终于,finally; at last,I finally found the correct answer.,我终于找到了正确答案。,"At last, he understood the rule.",他终于明白了这个规则。,We finally arrived before the meeting started.,我们终于在会议开始前到了。,finally,At last,finally,5
经常,often; frequently,He often exercises after work.,他下班后经常运动。,She frequently reviews old lessons.,她经常复习以前的课。,I often see him in this café.,我经常在这家咖啡馆看到他。,often,frequently,often,5
经过,after; through; pass by,"After careful discussion, we made a decision.",经过仔细讨论，我们做出了决定。,The train went through a long tunnel.,火车经过了一条很长的隧道。,I pass by that shop every day.,我每天经过那家店。,After,through,pass by,5
绝对,absolutely; definitely,This answer is absolutely correct.,这个答案绝对正确。,He will definitely not agree.,他绝对不会同意。,You absolutely must not tell anyone.,你绝对不能告诉任何人。,absolutely,definitely,absolutely,5
继续,continue; keep,Please continue reading the next paragraph.,请继续读下一段。,He kept working even though he was tired.,他虽然很累，还是继续工作。,We will continue this discussion tomorrow.,我们明天继续讨论这个问题。,continue,kept,continue,5
综上所述,in summary; to sum up,"In summary, this method is useful but slow.",综上所述，这个方法有用，但是很慢。,"To sum up, we should choose the safer plan.",综上所述，我们应该选择更安全的计划。,"In summary, more practice is necessary.",综上所述，更多练习是必要的。,In summary,To sum up,In summary,5
老实说,honestly speaking; to be honest,"Honestly speaking, I do not like this plan.",老实说，我不喜欢这个计划。,"To be honest, this sentence sounds unnatural.",老实说，这个句子听起来不自然。,"Honestly, I think he made the right choice.",老实说，我觉得他做了正确的选择。,Honestly speaking,To be honest,Honestly,5
而且,moreover; also; and,This method is simple and useful.,这个方法简单，而且有用。,"He is responsible, and he works very fast.",他很负责，而且做事很快。,"Moreover, the price is not expensive.",而且，价格也不贵。,and,and,Moreover,5
而是,but rather; instead,"The problem is not money, but rather time.",问题不是钱，而是时间。,"He did not refuse you; instead, he was too busy.",他不是拒绝你，而是太忙了。,"This is not a grammar mistake, but rather a usage problem.",这不是语法错误，而是用法问题。,but rather,instead,but rather,5
肯定,definitely; certainly; affirmative,He will definitely come tomorrow.,他明天肯定会来。,She certainly knows the answer.,她肯定知道答案。,His answer was affirmative.,他的回答是肯定的。,definitely,certainly,affirmative,5
自然,naturally; of course; natural,"After practicing every day, he naturally improved.",每天练习以后，他自然进步了。,"Of course, this result is not surprising.",自然，这个结果并不奇怪。,This expression sounds very natural.,这个表达很自然。,naturally,Of course,natural,5
至于,as for; regarding,"As for this problem, we can discuss it later.",至于这个问题，我们可以以后再讨论。,"Regarding the cost, I need to check the details first.",至于费用，我需要先确认细节。,"As for him, I do not know what he thinks.",至于他，我不知道他怎么想。,As for,Regarding,As for,5
至今,until now; to this day,He has not replied until now.,他至今没有回复。,"To this day, I still remember that sentence.",至今，我还记得那句话。,This problem remains unsolved until now.,这个问题至今还没有解决。,until now,To this day,until now,5
至今为止,up to now; so far,"Up to now, no one has found the answer.",至今为止，还没有人找到答案。,"So far, the project has gone smoothly.",至今为止，项目进行得很顺利。,"Up to now, this is the best solution.",至今为止，这是最好的解决办法。,Up to now,So far,Up to now,5
至多,at most,This room can hold at most twenty people.,这个房间至多能坐二十个人。,The task will take at most one hour.,这个任务至多需要一个小时。,He can eat at most two bowls of rice.,他至多能吃两碗饭。,at most,at most,at most,5
至少,at least,You need at least three examples.,你至少需要三个例子。,At least he tried his best.,至少他已经尽力了。,This meeting will last at least two hours.,这个会议至少会持续两个小时。,at least,At least,at least,5
虽然,although; even though,"Although he was tired, he kept working.",虽然他很累，但还是继续工作。,"Even though this question is difficult, I want to try.",虽然这个问题很难，我还是想试试。,"Although the room is small, it is very clean.",虽然房间很小，但是很干净。,Although,Even though,Although,5
蛮,quite; rather,This restaurant is quite good.,这家餐厅蛮不错的。,He is rather funny when he speaks.,他说话蛮有意思的。,This grammar point is quite useful.,这个语法点蛮有用的。,quite,rather,quite,5
要不然,otherwise; or else,"Hurry up, otherwise we will be late.",快点，要不然我们会迟到。,"Save the file now, or else you may lose your work.",现在保存文件，要不然可能会丢失内容。,"Wear a jacket, otherwise you may catch a cold.",穿件外套，要不然你可能会感冒。,otherwise,or else,otherwise,5
说到底,in the final analysis; after all,"In the final analysis, this is a matter of trust.",说到底，这是信任的问题。,"After all, he only wants to help.",说到底，他只是想帮忙。,"In the final analysis, practice is the most important.",说到底，练习最重要。,In the final analysis,After all,In the final analysis,5
说实话,to tell the truth; honestly,"To tell the truth, I did not understand his explanation.",说实话，我没听懂他的解释。,"Honestly, this answer is not very natural.",说实话，这个答案不太自然。,"To tell the truth, I was a little nervous.",说实话，我有点儿紧张。,To tell the truth,Honestly,To tell the truth,5
赶快,quickly; hurry up and,Hurry up and finish your homework.,赶快把作业做完。,Quickly call him before he leaves.,在他离开以前，赶快给他打电话。,Please quickly check the result.,请赶快检查结果。,Hurry up and,Quickly,quickly,5
赶紧,quickly; hurry up and,Hurry up and get on the bus.,赶紧上车。,Quickly close the window; it is raining.,赶紧关窗，外面下雨了。,He quickly apologized after realizing his mistake.,他发现错误后赶紧道歉。,Hurry up and,Quickly,quickly,5
起码,at least; minimum,You should at least say sorry.,你起码应该道歉。,This task needs a minimum of two people.,这个任务起码需要两个人。,At least tell me the reason.,起码告诉我原因。,at least,minimum,At least,5
趁,while; take advantage of,"While it is still early, let us leave now.",趁现在还早，我们走吧。,Take advantage of the holiday to rest well.,趁假期好好休息。,"While the teacher is here, ask your question.",趁老师在这里，赶快问问题。,While,Take advantage of,While,5
趁机,take the opportunity to; seize the chance to,He took the opportunity to ask the teacher a question.,他趁机问了老师一个问题。,She seized the chance to explain her idea.,她趁机解释了自己的想法。,I took the opportunity to leave early.,我趁机早点离开了。,took the opportunity to,seized the chance to,took the opportunity to,5
趁着,while; taking advantage of,"While the weather is good, let us go out.",趁着天气好，我们出去吧。,"Taking advantage of the weekend, he cleaned his room.",趁着周末，他打扫了房间。,"While everyone is here, let us discuss the plan.",趁着大家都在，我们讨论一下计划吧。,While,Taking advantage of,While,5
越,the more; more and more,"The more he studies, the more confident he becomes.",他越学越有信心。,The weather is getting colder and colder.,天气越来越冷。,"The more I think about it, the stranger it feels.",我越想越觉得奇怪。,The more,more and more,The more,5
越发,increasingly; more and more,He became increasingly nervous before the exam.,考试前，他越发紧张。,This problem is becoming more and more serious.,这个问题越发严重。,Her explanation made me increasingly confused.,她的解释让我越发困惑。,increasingly,more and more,increasingly,5
足足,fully; as long as; no less than,He waited for fully three hours.,他足足等了三个小时。,The meeting lasted as long as five hours.,会议足足开了五个小时。,She read no less than ten books this month.,她这个月足足读了十本书。,fully,as long as,no less than,5
较,relatively; comparatively; more,This sentence is relatively natural.,这个句子较自然。,The second method is comparatively simple.,第二个方法较简单。,This room is more suitable for meetings.,这个房间较适合开会。,relatively,comparatively,more,5
过于,too; excessively,This explanation is too complicated.,这个解释过于复杂。,He was excessively worried about the result.,他过于担心结果。,The price is too high for students.,这个价格对学生来说过于高。,too,excessively,too,5
近些年,in recent years,"In recent years, this city has changed a lot.",近些年，这座城市变化很大。,"In recent years, online learning has become more common.",近些年，在线学习变得更普遍。,"In recent years, he has become more interested in history.",近些年，他对历史更感兴趣了。,In recent years,In recent years,In recent years,5
近年来,in recent years,"In recent years, technology has developed quickly.",近年来，科技发展得很快。,"In recent years, more people have started working from home.",近年来，越来越多人开始在家工作。,"In recent years, this problem has received more attention.",近年来，这个问题受到了更多关注。,In recent years,In recent years,In recent years,5
近日,recently; in the past few days,The company recently announced a new rule.,公司近日公布了一项新规定。,"In the past few days, the weather has been very hot.",近日，天气一直很热。,He recently returned from Beijing.,他近日从北京回来了。,recently,In the past few days,recently,5
近来,recently; lately,"Recently, I have been studying Chinese every night.",近来，我每天晚上都在学中文。,"Lately, he has seemed very tired.",近来，他看起来很累。,"Recently, this topic has become popular.",近来，这个话题变得很热门。,Recently,Lately,Recently,5
还,still; also; even,He is still waiting outside.,他还在外面等。,I also want to ask one question.,我还想问一个问题。,This problem is even harder than the previous one.,这个问题比前一个还难。,still,also,even,5
还在,still be; still in the middle of,He is still working in the office.,他还在办公室工作。,She is still in the middle of writing the report.,她还在写报告。,The children are still playing outside.,孩子们还在外面玩。,still,still in the middle of,still,5
还是,still; or; had better,He still chose to stay.,他还是选择留下来。,Do you want tea or coffee?,你要茶还是咖啡？,You had better check it again.,你还是再检查一遍吧。,still,or,had better,5
这里,here; this place,Please sit here.,请坐在这里。,This place is very quiet at night.,这里晚上很安静。,I have lived here for three years.,我在这里住了三年。,here,This place,here,5
进而,further; thereby; and then,He learned basic grammar and further improved his writing.,他学习了基础语法，进而提高了写作能力。,"The company lowered costs, thereby increasing profits.",公司降低了成本，进而提高了利润。,She understood the rule and then used it in her own sentence.,她理解了规则，进而把它用在自己的句子里。,further,thereby,and then,5
连忙,hurriedly; hastily; quickly,He hurriedly stood up and apologized.,他连忙站起来道歉。,She hastily closed the window when it started raining.,开始下雨时，她连忙关上窗户。,"After hearing the news, he quickly called his mother.",听到这个消息后，他连忙给妈妈打电话。,hurriedly,hastily,quickly,5
连续,continuously; consecutive; in a row,He worked continuously for eight hours.,他连续工作了八个小时。,It rained for three consecutive days.,雨连续下了三天。,She won five games in a row.,她连续赢了五场比赛。,continuously,consecutive,in a row,5
迟早,sooner or later,"Sooner or later, he will understand.",他迟早会明白的。,This problem will appear again sooner or later.,这个问题迟早会再次出现。,"Sooner or later, we need to make a decision.",我们迟早要做决定。,Sooner or later,sooner or later,Sooner or later,5
逐一,one by one; individually,The teacher checked the answers one by one.,老师逐一检查了答案。,Please introduce the problems individually.,请逐一介绍这些问题。,He replied to the emails one by one.,他逐一回复了邮件。,one by one,individually,one by one,5
逐渐,gradually,He gradually got used to the new environment.,他逐渐习惯了新的环境。,The temperature gradually dropped at night.,晚上气温逐渐下降。,She gradually became more confident.,她逐渐变得更有信心。,gradually,gradually,gradually,5
通常,usually; generally,I usually wake up at seven.,我通常七点起床。,"Generally, this method works well.",通常，这个方法很好用。,He usually takes the bus to work.,他通常坐公交车去上班。,usually,Generally,usually,5
通过,through; by means of; pass,He solved the problem through discussion.,他通过讨论解决了问题。,We learned about the news by means of the internet.,我们通过网络知道了这个消息。,She passed the exam last week.,她上周通过了考试。,through,by means of,passed,5
那里,there; that place,I waited for him there for ten minutes.,我在那里等了他十分钟。,That place is very quiet at night.,那里晚上很安静。,Please put the box there.,请把箱子放在那里。,there,That place,there,5
都,all; both; already,They all agreed with this decision.,他们都同意这个决定。,Both answers are correct.,两个答案都对。,It is already ten o’clock.,都十点了。,all,Both,already,5
里面,inside; within; among,The keys are inside the bag.,钥匙在包里面。,There are many examples within the article.,文章里面有很多例子。,"Among these students, he studies the hardest.",这些学生里面，他最努力。,inside,within,Among,5
重新,again; anew,Please read this sentence again.,请重新读这个句子。,We need to start anew.,我们需要重新开始。,He rewrote the report again.,他重新写了报告。,again,anew,again,5
长期,long-term; for a long time,This is a long-term problem.,这是一个长期的问题。,He has lived here for a long time.,他长期住在这里。,Long-term practice is very important.,长期练习很重要。,long-term,for a long time,Long-term,5
长期以来,for a long time; over the long term,"For a long time, this issue has not been solved.",长期以来，这个问题一直没有解决。,"Over the long term, education affects society deeply.",长期以来，教育深深影响着社会。,"For a long time, he has supported this plan.",长期以来，他一直支持这个计划。,For a long time,Over the long term,For a long time,5
间接,indirect; indirectly,This is an indirect cause of the problem.,这是这个问题的间接原因。,He indirectly helped us solve the issue.,他间接帮助我们解决了问题。,The policy had an indirect effect on students.,这项政策对学生产生了间接影响。,indirect,indirectly,indirect,5
附近,nearby; near,There is a supermarket nearby.,附近有一家超市。,He lives near the school.,他住在学校附近。,I found a quiet café nearby.,我在附近找到了一家安静的咖啡馆。,nearby,near,nearby,5
陆续,one after another; successively,The students entered the classroom one after another.,学生们陆续走进教室。,Guests arrived successively after six o’clock.,六点以后，客人们陆续到了。,New rules were announced one after another.,新规定陆续公布了。,one after another,successively,one after another,5
除了,except; besides; apart from,"Except for him, everyone arrived on time.",除了他以外，大家都准时到了。,"Besides Chinese, she also studies Japanese.",除了中文，她还学日文。,"Apart from this problem, the plan is good.",除了这个问题以外，计划还不错。,Except for,Besides,Apart from,5
除外,excluding; not included,Service fees are not included.,服务费除外。,"Everyone can enter, excluding children under six.",六岁以下儿童除外，其他人都可以进去。,The price includes everything except drinks.,价格包括所有东西，饮料除外。,not included,excluding,except,5
除非,unless; only if,"Unless it rains, we will go hiking.",除非下雨，我们才不去爬山。,You can enter only if you have a ticket.,除非你有票，否则不能进去。,"Unless he apologizes, I will not forgive him.",除非他道歉，否则我不会原谅他。,Unless,only if,Unless,5
险些,almost; nearly,He almost fell down the stairs.,他险些从楼梯上摔下来。,I nearly missed the train.,我险些错过火车。,The child almost broke the glass.,孩子险些打破杯子。,almost,nearly,almost,5
随便,casually; as one likes; any,Do not answer casually.,不要随便回答。,You can choose any seat you like.,你可以随便选一个座位。,He speaks too casually in formal meetings.,他在正式会议上说话太随便。,casually,any,casually,5
随后,afterwards; soon after,"Afterwards, he explained the reason.",随后，他解释了原因。,"Soon after, the teacher entered the classroom.",随后，老师走进了教室。,"The meeting ended, and afterwards everyone left.",会议结束后，大家随后离开了。,Afterwards,Soon after,afterwards,5
随处,everywhere; anywhere,Flowers can be seen everywhere in the park.,公园里随处可见花。,You can find cafés anywhere in this area.,这个地区随处都能找到咖啡馆。,There are warning signs everywhere.,随处都有警告标志。,everywhere,anywhere,everywhere,5
随意,freely; at will; casual,You may freely choose a topic.,你可以随意选择一个题目。,Do not change the settings at will.,不要随意更改设置。,His style is very casual.,他的风格很随意。,freely,at will,casual,5
随着,as; along with,"As technology develops, life becomes more convenient.",随着科技发展，生活变得更方便。,"Along with the increase in price, demand decreased.",随着价格上涨，需求减少了。,"As he grew older, he became more patient.",随着年龄增长，他变得更有耐心。,As,Along with,As,5
难怪,no wonder,No wonder he looks so tired.,难怪他看起来这么累。,No wonder this sentence sounds strange.,难怪这个句子听起来很奇怪。,No wonder she was late; the traffic was terrible.,难怪她迟到了，交通太差了。,No wonder,No wonder,No wonder,5
难道,could it be that; don’t tell me,Could it be that you forgot again?,难道你又忘了吗？,Don’t tell me he still has not arrived.,难道他还没到吗？,Could it be that this answer is wrong?,难道这个答案是错的吗？,Could it be that,Don’t tell me,Could it be that,5
需要,need; require,I need more time.,我需要更多时间。,This task requires patience.,这个任务需要耐心。,You need to check the answer again.,你需要再检查一遍答案。,need,requires,need,5
非常,very; extremely,This question is very important.,这个问题非常重要。,She was extremely happy after hearing the news.,听到这个消息后，她非常高兴。,This method is very useful.,这个方法非常有用。,very,extremely,very,5
顺便,conveniently; while one is at it; by the way,Please conveniently buy some milk on your way home.,回家的时候，请顺便买些牛奶。,"While you are at it, help me print this file.",你顺便帮我打印这个文件。,"By the way, I want to ask one more question.",顺便问一下，我还想问一个问题。,conveniently,While you are at it,By the way,5
顿时,immediately; suddenly; at once,"After hearing the news, he immediately became quiet.",听到这个消息后，他顿时安静下来。,The room suddenly became very tense.,房间里的气氛顿时紧张起来。,Everyone laughed at once.,大家顿时笑了起来。,immediately,suddenly,at once,5
颇,quite; rather,This explanation is quite useful.,这个解释颇有用。,He is rather interested in history.,他对历史颇感兴趣。,This result was quite surprising.,这个结果颇令人意外。,quite,rather,quite,5
首先,first; first of all,"First, we need to check the data.",首先，我们需要检查数据。,"First of all, please read the question carefully.",首先，请仔细读题。,"First, let me explain the rule.",首先，让我解释这个规则。,First,First of all,First,5
马上,immediately; right away,I will come immediately.,我马上来。,Please reply right away.,请马上回复。,He immediately understood the problem.,他马上明白了问题。,immediately,right away,immediately,5
