Chinese Words,_apinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,Chinese Usage in a Sentence Hint,Band 0 HSK,Dao,Color
竟然,jìngrán,adverb: unexpectedly / to one’s surprise,他竟然一个人完成了整个项目。,He actually completed the whole project by himself — amazing!,他__一个人完成了整个项目。,Band4,1.3,5
镜子,jìngzi,noun: mirror,她站在镜子前整理头发。,She stood in front of the mirror fixing her hair.,她站在__前整理头发。,Band4,3.7,5
尽力,jìnlì,verb: to do one’s best,我已经尽力帮助你了。,I have already done my best to help you.,我已经__帮助你了。,Band4,2.3,5
禁止,jìnzhǐ,verb: to forbid; to prohibit,这里禁止吸烟。,Smoking is prohibited here.,这里__吸烟。,Band4,2.4,5
技巧,jìqiǎo,noun: skill; technique,学习语言需要一些技巧。,Learning languages requires some techniques.,学习语言需要一些__。,Band4,3.1,5
既然,jìrán,conjunction: since; now that,既然已经决定了，就别再犹豫。,"Since the decision has been made, don’t hesitate anymore.",__已经决定了，就别再犹豫。,Band4,3.9,5
究竟,jiūjìng,adverb: exactly / after all (used for emphasis in questions),你究竟想说什么？,What exactly are you trying to say?,你__想说什么？,Band4,8.5,5
角色,juésè,noun: role (in drama/life),她在这部剧里饰演了一个反派角色，表现很精彩。,She played a villain in the play and performed brilliantly.,她在这部剧里饰演了一个反派__，表现很精彩。,Band4,2.5,5
聚会,jùhuì,noun/verb: gathering; party; to gather,我们周末准备举行聚会。,We plan to hold a gathering this weekend.,我们周末准备举行__。,Band4,3.1,5
距离,jùlí,noun: distance / verb: to be apart from,我家和学校的距离不远。,The distance between my home and school is not far.,我家和学校的__不远。,Band4,2.2,5
居民,jūmín,noun: resident; inhabitant,这里的居民都很友善。,The residents here are all very friendly.,这里的__都很友善。,Band4,2.1,5
居住,jūzhù,verb: to live; to reside,很多人喜欢居住在安静的地方。,Many people like living in quiet places.,很多人喜欢__在安静的地方。,Band4,2.1,5
开花,kāihuā,verb: to bloom; to flower,春天到了，树木开始开花。,"Spring has arrived, and the trees are starting to bloom.",春天到了，树木开始__。,Band4,4.3,5
考虑,kǎolǜ,verb: to consider; to think about,我会认真考虑你的建议。,I will seriously consider your suggestion.,我会认真__你的建议。,Band4,2.6,5
口袋,kǒudài,noun: pocket,他的口袋里装满了零钱。,His pocket is full of coins.,他的__里装满了零钱。,Band4,3.8,5
扩大,kuòdà,verb: to expand / to enlarge,公司决定扩大生产规模，以满足更多订单。,The company decided to expand production to meet more orders.,公司决定__生产规模，以满足更多订单。,Band4,8.1,5
老实,lǎoshi,"adjective: honest / well-behaved
adverb: obediently",他为人老实，做事也老实交代，从不骗人。,"He’s honest by nature and does things straightforwardly, never deceiving others.",他为人__，做事也老实交代，从不骗人。,Band4,5.2,5
类型,lèixíng,noun: type / category,你喜欢哪种类型的电影？爱情、动作，还是悬疑？,"What kind of movies do you like? Romance, action, or mystery?",你喜欢哪种__的电影？爱情、动作，还是悬疑？,Band4,4.7,5
乐趣,lèqù,noun: fun; enjoyment; pleasure,阅读能带来很多乐趣。,Reading can bring a lot of enjoyment.,阅读能带来很多__。,Band4,2.3,5
良好,liánghǎo,adjective: good / fine (formal use),他有良好的学习习惯，成绩一直很稳定。,"He has good study habits, and his grades have remained stable.",他有__的学习习惯，成绩一直很稳定。,Band4,2.4,5
临时,línshí,adjective/adverb: temporary; at the last minute,我们临时改变了计划。,We changed the plan at the last minute.,我们__改变了计划。,Band4,3.4,5
陆地,lùdì,noun: land,那只海龟终于回到了陆地。,The sea turtle finally returned to land.,那只海龟终于回到了__。,Band4,4.4,5
轮椅,lúnyǐ,noun: wheelchair,那位老人坐着轮椅。,The elderly person is sitting in a wheelchair.,那位老人坐着__。,Band4,3.3,5
轮子,lúnzi,noun: wheel,这辆车的轮子坏了。,The wheel of this vehicle is broken.,这辆车的__坏了。,Band4,3.3,5
毛巾,máojīn,noun: towel,我用毛巾擦干头发。,I used a towel to dry my hair.,我用__擦干头发。,Band4,3.7,5
密切,mìqiè,adjective: close; intimate / adverb: closely,他们之间保持着密切联系。,They maintain close contact with each other.,他们之间保持着__联系。,Band4,3.3,5
默默,mòmò,adverb: silently; quietly,他默默地坐在角落里。,He sat quietly in the corner.,他__地坐在角落里。,Band4,2.1,5
模型,móxíng,noun: model; mock-up,他正在制作飞机模型。,He is making an airplane model.,他正在制作飞机__。,Band4,3.1,5
脑袋,nǎodai,noun: head,他摸了摸自己的脑袋。,He touched his head.,他摸了摸自己的__。,Band4,4.2,5
能干,nénggàn,adjective: capable; competent,她是一位非常能干的员工。,She is a very capable employee.,她是一位非常__的员工。,Band4,2.6,5
排列,páiliè,verb: to arrange / to line up,学生们把椅子整齐地排列在教室里。,The students arranged the chairs neatly in the classroom.,学生们把椅子整齐地__在教室里。,Band4,3.1,5
排列,páiliè,verb: to arrange; to line up,这些椅子已经排列整齐了。,These chairs have already been neatly arranged.,这些椅子已经__整齐了。,Band4,3.1,5
培养,péiyǎng,verb: to cultivate; to foster; to train,阅读可以培养好的习惯。,Reading can cultivate good habits.,阅读可以__好的习惯。,Band4,2.2,5
期待,qīdài,verb: to look forward to; to expect,我很期待下个月的旅行。,I am really looking forward to next month’s trip.,我很__下个月的旅行。,Band4,2.4,5
期间,qījiān,noun: period of time; during,假期期间很多人都会出去旅行。,Many people travel during the holidays.,假期__很多人都会出去旅行。,Band4,2.2,5
亲爱,qīn’ài,adjective: dear; beloved,亲爱的朋友，谢谢你的帮助。,"Dear friend, thank you for your help.",__的朋友，谢谢你的帮助。,Band4,4.2,5
情景,qíngjǐng,noun: scene; situation,那个情景让我很感动。,That scene moved me deeply.,那个__让我很感动。,Band4,4.2,5
轻松,qīngsōng,adjective: relaxed; easy,考试结束后，大家都很轻松。,Everyone felt relaxed after the exam ended.,考试结束后，大家都很__。,Band4,3.8,5
轻易,qīngyì,adverb/adjective: easily; lightly,不要轻易放弃梦想。,Do not easily give up your dreams.,不要__放弃梦想。,Band4,3.1,5
汽水,qìshuǐ,noun: soda; soft drink,小孩子很喜欢喝汽水。,Children really like drinking soda.,小孩子很喜欢喝__。,Band4,2.5,5
其余,qíyú,pronoun: the rest / the others,这份文件只有第一页需要签名，其余部分请仔细阅读。,Only the first page of this document needs a signature; please read the rest carefully.,这份文件只有第一页需要签名，__部分请仔细阅读。,Band4,Unknown,5
热心,rèxīn,adjective: enthusiastic; warmhearted,她是一个很热心的人。,She is a very warmhearted person.,她是一个很__的人。,Band4,2.2,5
如今,rújīn,adverb: nowadays; now; these days,如今很多人都习惯在网上买东西。,Nowadays many people are used to shopping online.,__很多人都习惯在网上买东西。,Band4,5.2,5
闪电,shǎndiàn,noun: lightning,夜空中突然出现一道闪电。,A bolt of lightning suddenly appeared in the night sky.,夜空中突然出现一道__。,Band4,4.3,5
善良,shànliáng,adjective: kind-hearted,她是个善良的人，总愿意帮助别人。,"She’s a kind-hearted person, always willing to help others.",她是个__的人，总愿意帮助别人。,Band4,2.6,5
身材,shēncái,noun: body figure,她身材高挑，穿什么都好看。,She has a tall figure and looks good in anything.,她__高挑，穿什么都好看。,Band4,6.4,5
身份,shēnfèn,noun: identity / status,她的真实身份直到最后一集才被揭晓。,Her true identity wasn’t revealed until the last episode.,她的真实__直到最后一集才被揭晓。,Band4,4.3,5
身高,shēngāo,noun: height (of a person),他的身高超过一米八。,His height exceeds 1.8 meters.,他的__超过一米八。,Band4,3.6,5
神秘,shénmì,adjective: mysterious,那个地方看起来很神秘。,That place looks very mysterious.,那个地方看起来很__。,Band4,3.7,5
甚至,shènzhì,adverb/conjunction: even / so much so that...,他太累了，甚至在会议中睡着了。,He was so tired that he even fell asleep during the meeting.,他太累了，__在会议中睡着了。,Band4,3.11,5
设施,shèshī,noun: facilities,这家酒店的设施非常齐全，包括健身房和游泳池。,"This hotel has excellent facilities, including a gym and a swimming pool.",这家酒店的__非常齐全，包括健身房和游泳池。,Band4,8.1,5
士兵,shìbīng,noun: soldier,士兵们正在训练。,The soldiers are training.,__们正在训练。,Band4,4.2,5
似的,shìde,particle: as if; like,他高兴得像中了大奖似的。,He was so happy as if he had won the lottery.,他高兴得像中了大奖__。,Band4,2.2,5
使劲,shǐjìn,adverb/verb: to exert force; with all one’s strength,他使劲推那扇门。,He pushed the door with all his strength.,他__推那扇门。,Band4,4.2,5
市区,shìqū,noun: urban area; downtown,他住在市区附近。,He lives near the city area.,他住在__附近。,Band4,3.1,5
失望,shīwàng,adjective/verb: disappointed; disappointment,我对结果感到很失望。,I felt very disappointed with the result.,我对结果感到很__。,Band4,3.8,5
事先,shìxiān,adverb: beforehand; in advance,请事先通知我们。,Please inform us beforehand.,请__通知我们。,Band4,3.1,5
收获,shōuhuò,noun/verb: harvest; gain; to reap,这次旅行让我收获很多。,This trip gave me a lot of gains.,这次旅行让我__很多。,Band4,3.8,5
似乎,sìhū,adverb: seemingly; apparently; it seems,他似乎不太高兴。,He seems a bit unhappy.,他__不太高兴。,Band4,2.5,5
思考,sīkǎo,verb/noun: to think; to reflect; thinking,他正在认真思考这个问题。,He is seriously thinking about this problem.,他正在认真__这个问题。,Band4,2.5,5
随手,suíshǒu,adverb: conveniently / in passing / without effort,请随手关门，保持冷气。,Please close the door as you go to keep the air conditioning in.,请__关门，保持冷气。,Band4,2.6,5
替,tì,"preposition / verb: for (on behalf of), to replace",我可以替你参加会议，也可以替你完成这项任务。,I can attend the meeting for you and also complete the task on your behalf.,我可以__你参加会议，也可以替你完成这项任务。,Band4,Unknown,5
天真,tiānzhēn,adjective: innocent; naive,小孩子的想法很天真。,Children’s thoughts are very innocent.,小孩子的想法很__。,Band4,3.1,5
调皮,tiáopí,adjective: mischievous / playful (often affectionately),这个小孩太调皮，连老师也拿他没办法。,This kid is so mischievous that even the teacher can’t handle him.,这个小孩太__，连老师也拿他没办法。,Band4,Unknown,5
挑选,tiāoxuǎn,verb: to choose; to pick out; to select,她正在商店里挑选衣服。,She is choosing clothes in the store.,她正在商店里__衣服。,Band4,2.1,5
挑战,tiǎozhàn,noun: challenge / verb: to challenge,他决定挑战自己，学习新的技能。,He decided to challenge himself and learn new skills.,他决定__自己，学习新的技能。,Band4,2.4,5
体重,tǐzhòng,noun: body weight,我的体重最近增加了。,My body weight has increased recently.,我的__最近增加了。,Band4,3.1,5
童话,tónghuà,noun: fairy tale,小时候我很喜欢读童话。,I loved reading fairy tales when I was young.,小时候我很喜欢读__。,Band4,2.7,5
童年,tóngnián,noun: childhood,他的童年过得很快乐。,He had a very happy childhood.,他的__过得很快乐。,Band4,3.7,5
同情,tóngqíng,verb/noun: sympathy; to sympathize,大家都很同情他的遭遇。,Everyone sympathized with his situation.,大家都很__他的遭遇。,Band4,3.9,5
投诉,tóusù,verb/noun: to complain; complaint,顾客向经理投诉服务不好。,The customer complained to the manager about the poor service.,顾客向经理__服务不好。,Band4,3.1,5
图案,túàn,noun: pattern; design,这件衣服上的图案很特别。,The pattern on this piece of clothing is very special.,这件衣服上的__很特别。,Band4,3.7,5
网络,wǎngluò,noun: network; internet,这里的网络速度很快。,The internet speed here is very fast.,这里的__速度很快。,Band4,3.1,5
网址,wǎngzhǐ,noun: website address; URL,请把你的网站网址发给我。,Please send me your website address.,请把你的网站__发给我。,Band4,2.4,5
维持,wéichí,verb: to maintain; to keep up,我们必须维持秩序。,We must maintain order.,我们必须__秩序。,Band4,3.8,5
未来,wèilái,noun: future,我希望未来会更美好。,I hope the future will be better.,我希望__会更美好。,Band4,3.8,5
位置,wèizhì,noun: position; location,请坐回自己的位置。,Please return to your seat.,请坐回自己的__。,Band4,4.3,5
问候,wènhòu,verb/noun: to greet; greeting,请代我向你父母问候。,Please send my greetings to your parents.,请代我向你父母__。,Band4,3.7,5
无法,wúfǎ,adverb: unable to / incapable of,没有密码，我无法打开这个文件。,"Without the password, I can't open this file.",没有密码，我__打开这个文件。,Band4,2.3,5
误会,wùhuì,noun/verb: misunderstanding; to misunderstand,对不起，我误会你了。,"Sorry, I misunderstood you.",对不起，我__你了。,Band4,3.1,5
无论,wúlùn,conjunction: no matter / regardless of,无论发生什么，我都会支持你。,"No matter what happens, I’ll support you.",__发生什么，我都会支持你。,Band4,2.3,5
无数,wúshù,adjective: countless; innumerable,夜空中有无数颗星星。,There are countless stars in the night sky.,夜空中有__颗星星。,Band4,3.7,5
喜爱,xǐài,verb: to like; to love; to be fond of,她从小就喜爱音乐。,She has loved music since childhood.,她从小就__音乐。,Band4,2.3,5
相处,xiāngchǔ,verb: to get along; to interact,他们相处得很好。,They get along very well.,他们__得很好。,Band4,2.5,5
相反,xiāngfǎn,adjective/adverb: opposite / on the contrary,我以为他会生气，结果相反，他还笑了。,"I thought he’d be mad, but on the contrary, he laughed.",我以为他会生气，结果__，他还笑了。,Band4,5.2,5
项目,xiàngmù,noun: project; item,这个项目已经完成了。,This project has already been completed.,这个__已经完成了。,Band4,3.4,5
销售,xiāoshòu,"verb: to sell
noun: sales",这款手机的销售量大幅上升，公司也在全球销售这款产品。,"Sales of this phone have increased greatly, and the company sells it worldwide.",这款手机的__量大幅上升，公司也在全球__这款产品。,Band4,4.6,5
下载,xiàzǎi,verb: to download,我已经把这首歌下载到手机里了。,I’ve already downloaded this song to my phone.,我已经把这首歌__到手机里了。,Band4,3.11,5
吸管,xīguǎn,noun: straw,她用吸管喝果汁。,She drank juice with a straw.,她用__喝果汁。,Band4,4.3,5
形容,xíngróng,verb: to describe,你能形容一下那个地方吗？,Can you describe that place?,你能__一下那个地方吗？,Band4,2.5,5
心理,xīnlǐ,noun: psychology; mental state,考试前不要有太大的心理压力。,Do not have too much psychological pressure before exams.,考试前不要有太大的__压力。,Band4,4.3,5
新鲜,xīnxiān,adjective: fresh,这些水果非常新鲜。,These fruits are very fresh.,这些水果非常__。,Band4,2.5,5
吸收,xīshōu,"verb: to absorb / to take in (nutrients, information, people)",海绵能吸收水分，学生也要努力吸收知识。,Sponges absorb water; students must absorb knowledge too,海绵能__水分，学生也要努力__知识。,Band4,Unknown,5
修理,xiūlǐ,verb: to repair / to fix,这台电脑坏了，需要送去修理。,This computer is broken and needs to be repaired.,这台电脑坏了，需要送去__。,Band4,3.4,5
吸引,xīyǐn,verb: to attract / to draw,这部电影的海报非常吸引人。,The poster for this movie is very eye-catching.,这部电影的海报非常__人。,Band4,1.3,5
学问,xuéwèn,noun: knowledge; learning; scholarship,他在历史方面很有学问。,He is very knowledgeable in history.,他在历史方面很有__。,Band4,4.2,5
迅速,xùnsù,adjective/adverb: rapid / quickly,他迅速做出反应，成功避免了事故。,He reacted quickly and successfully avoided the accident.,他__做出反应，成功避免了事故。,Band4,2.6,5
寻找,xúnzhǎo,verb: to look for / seek,他们正在寻找丢失的证件。,They are looking for the lost documents.,他们正在__丢失的证件。,Band4,2.2,5
严格,yángé,adjective: strict; rigorous,老师对学生非常严格。,The teacher is very strict with the students.,老师对学生非常__。,Band4,2.5,5
阳台,yángtái,noun: balcony,她正在阳台上晒衣服。,She is drying clothes on the balcony.,她正在__上晒衣服。,Band4,3.4,5
演讲,yǎnjiǎng,verb/noun: to give a speech; speech,他明天要在学校演讲。,He will give a speech at school tomorrow.,他明天要在学校__。,Band4,2.4,5
严重,yánzhòng,adjective: serious; severe,这个问题非常严重。,This problem is very serious.,这个问题非常__。,Band4,3.1,5
移动,yídòng,verb: to move; to shift,请不要随便移动这些椅子。,Please do not move these chairs casually.,请不要随便__这些椅子。,Band4,2.1,5
依靠,yīkào,verb: to rely on / depend on,这个村庄主要依靠农业维持生计。,This village mainly relies on agriculture for its livelihood.,这个村庄主要__农业维持生计。,Band4,Unknown,5
议论,yìlùn,verb: to discuss; to talk about / noun: discussion,大家都在议论昨天发生的事情。,Everyone is discussing what happened yesterday.,大家都在__昨天发生的事情。,Band4,2.3,5
依然,yīrán,adverb: still; as before,即使毕业了，他们依然保持联系。,"Even after graduating, they still keep in touch.",即使毕业了，他们__保持联系。,Band4,2.2,5
疑问,yíwèn,noun: question; doubt,我对这个结果没有任何疑问。,I have no doubts about this result.,我对这个结果没有任何__。,Band4,2.2,5
勇气,yǒngqì,noun: courage; bravery,他终于鼓起勇气说出了真相。,He finally gathered the courage to tell the truth.,他终于鼓起__说出了真相。,Band4,2.1,5
邮局,yóujú,noun: post office,我去了一趟邮局，寄出了包裹和几张明信片。,I went to the post office to send a package and a few postcards.,我去了一趟__，寄出了包裹和几张明信片。,Band4,Unknown,5
优美,yōuměi,"adjective: graceful, beautiful (used for language, scenery, actions)",她用优美的语言描述了那段令人感动的故事。,She used graceful language to describe the touching story.,她用__的语言描述了那段令人感动的故事。,Band4,3.2,5
有限,yǒuxiàn,adjective: limited; finite,这次活动的名额有限。,The spots for this event are limited.,这次活动的名额__。,Band4,2.4,5
优秀,yōuxiù,adjective: outstanding; excellent,她是一位非常优秀的学生。,She is an excellent student.,她是一位非常__的学生。,Band4,2.2,5
遇到,yùdào,verb: to encounter; to run into; to meet,我昨天在商场遇到了一位老朋友。,I ran into an old friend at the mall yesterday.,我昨天在商场__了一位老朋友。,Band4,1.3,5
阅读,yuèdú,"verb: to read
noun: reading",每天坚持阅读不仅能增长知识，也能提升表达能力。,Reading every day not only expands your knowledge but also improves your communication.,每天坚持__不仅能增长知识，也能提升表达能力。,Band4,1.3,5
遇见,yùjiàn,verb: to meet; to come across,我昨天在地铁站遇见了他。,I met him at the subway station yesterday.,我昨天在地铁站__了他。,Band4,3.3,5
于是,yúshì,conjunction: so / as a result / therefore,天开始下雨了，于是我们改成在室内吃饭。,"It started raining, so we decided to eat indoors instead.",天开始下雨了，__我们改成在室内吃饭。,Band4,1.3,5
再三,zàisān,adverb: repeatedly; over and over again,我再三提醒他不要迟到。,I repeatedly reminded him not to be late.,我__提醒他不要迟到。,Band4,2.4,5
赞成,zànchéng,verb: to approve; to agree with,大部分人都赞成这个计划。,Most people support this plan.,大部分人都__这个计划。,Band4,2.4,5
赞赏,zànshǎng,verb/noun: to admire; appreciation,大家都很赞赏他的努力。,Everyone admires his hard work.,大家都很__他的努力。,Band4,3.5,5
战斗,zhàndòu,verb/noun: to fight; battle; combat,他们为了自由而战斗。,They fought for freedom.,他们为了自由而__。,Band4,3.3,5
战胜,zhànshèng,verb: to defeat / to overcome,她成功战胜了困难，完成了比赛。,She overcame all the difficulties and completed the competition.,她成功__了困难，完成了比赛。,Band4,5.4,5
战争,zhànzhēng,noun: war,战争给人民带来了很多痛苦。,War brought much suffering to the people.,__给人民带来了很多痛苦。,Band4,3.2,5
招呼,zhāohu,verb: to greet / to call out to,他在路上看到我，热情地跟我打招呼。,He greeted me warmly when he saw me on the street.,他在路上看到我，热情地跟我打__。,Band4,1.6,5
争论,zhēnglùn,verb / noun: to argue / argument,他们在会议上争论了很久，还是没得出结果。,They argued for a long time in the meeting but still reached no conclusion.,他们在会议上__了很久，还是没得出结果。,Band4,6.5,5
指挥,zhǐhuī,verb: to command; to direct / noun: conductor; commander,他正在指挥大家完成任务。,He is directing everyone to complete the task.,他正在__大家完成任务。,Band4,2.3,5
之间,zhījiān,noun: between; among,我们之间没有什么秘密。,There are no secrets between us.,我们__没有什么秘密。,Band4,1.3,5
质量,zhìliàng,noun: quality (of a product or work),这台电视的质量很好，图像非常清晰。,"The quality of this TV is excellent, and the picture is very clear.",这台电视的__很好，图像非常清晰。,Band4,4.6,5
植物,zhíwù,noun: plant,这种植物需要阳光和水才能生长良好。,This plant needs sunlight and water to grow well.,这种__需要阳光和水才能生长良好。,Band4,1.8,5
种类,zhǒnglèi,noun: kind / type / category,这个超市的商品种类非常丰富。,This supermarket has a wide variety of products.,这个超市的商品__非常丰富。,Band4,2.6,5
重量,zhòngliàng,noun: weight,这个箱子的重量很重。,The weight of this box is very heavy.,这个箱子的__很重。,Band4,4.3,5
种植,zhòngzhí,verb: to plant; to cultivate,农民正在种植蔬菜。,The farmers are planting vegetables.,农民正在__蔬菜。,Band4,3.1,5
著名,zhùmíng,adjective: famous; well-known,这是一座著名的历史建筑。,This is a famous historical building.,这是一座__的历史建筑。,Band4,2.1,5
准时,zhǔnshí,adverb/adjective: on time / punctual,他总是准时到办公室，从不迟到。,He always arrives at the office on time and is never late.,他总是__到办公室，从不迟到。,Band4,1.7,5
主题,zhǔtí,noun: theme; topic; subject,这次活动的主题是环保。,The theme of this event is environmental protection.,这次活动的__是环保。,Band4,2.3,5
自信,zìxìn,adjective: confident / noun: self-confidence,她对自己的能力很自信。,She is very confident in her abilities.,她对自己的能力很__。,Band4,2.2,5
总共,zǒnggòng,adverb: altogether; in total,我们总共有二十个人。,There are twenty people in total.,我们__有二十个人。,Band4,3.1,5
最初,zuìchū,adjective/adverb: initial; at first,最初他并不同意这个计划。,"At first, he did not agree with the plan.",__他并不同意这个计划。,Band4,3.3,5
做梦,zuòmèng,verb: to dream,我昨晚做梦梦见了小时候的朋友。,I dreamed about my childhood friend last night.,我昨晚__梦见了小时候的朋友。,Band4,3.6,5
作为,zuòwéi,preposition/noun/verb: as; to act as; role,作为学生，我们应该认真学习。,"As students, we should study seriously.",__学生，我们应该认真学习。,Band4,3.2,5
阻止,zǔzhǐ,verb: to stop; to prevent,没有人能阻止他实现梦想。,Nobody can stop him from achieving his dream.,没有人能__他实现梦想。,Band4,3.1,5
拜访,bàifǎng,verb: to visit; to pay a visit,我们周末去拜访老师。,We visited the teacher over the weekend.,我们周末去__老师。,Band5,2.5,5
扮演,bànyǎn,verb: to play a role; to act as,她在电影里扮演公主。,She plays a princess in the movie.,她在电影里__公主。,Band5,3.9,5
报答,bàodá,verb: to repay; to return a favor,我以后一定会报答你的帮助。,I will definitely repay your help in the future.,我以后一定会__你的帮助。,Band5,3.9,5
保卫,bǎowèi,verb: to defend; to safeguard,士兵们正在保卫国家。,The soldiers are defending the country.,士兵们正在__国家。,Band5,2.5,5
抱怨,bàoyuàn,verb: to complain / noun: complaint,他总是抱怨工作太累。,He is always complaining that work is too tiring.,他总是__工作太累。,Band5,2.2,5
包装,bāozhuāng,verb/noun: to package; packaging,这个礼物已经包装好了。,This gift has already been wrapped.,这个礼物已经__好了。,Band5,2.5,5
背包,bēibāo,noun: backpack,他背着一个很大的背包。,He is carrying a large backpack.,他背着一个很大的__。,Band5,2.2,5
悲伤,bēishāng,adjective/noun: sad; sorrow,听到这个消息后，她感到很悲伤。,She felt very sad after hearing the news.,听到这个消息后，她感到很__。,Band5,3.6,5
便利,biànlì,"noun: convenience
adjective: convenient",这家便利店带来了很多便利，购物也很便利。,"This convenience store brings a lot of convenience, and shopping is easy too.",这家便利店带来了很多__，购物也很便利。,Band5,3.1,5
便条,biàntiáo,noun: note; memo,她在桌上留了一张便条。,She left a note on the table.,她在桌上留了一张__。,Band5,3.1,5
彼此,bǐcǐ,pronoun: each other; one another,我们彼此都很了解。,We understand each other very well.,我们__都很了解。,Band5,3.6,5
毕竟,bìjìng,adverb: after all; ultimately,他还是答应了，毕竟这是大家共同努力的结果。,"He still agreed, after all it was the result of everyone’s joint effort.",他还是答应了，__这是大家共同努力的结果。,Band5,6.2,5
博物馆,bówùguǎn,noun: museum,我们周末去参观博物馆。,We visited the museum over the weekend.,我们周末去参观__。,Band5,3.8,5
猜测,cāicè,verb: to guess / speculate,我只能猜测他的用意，但没有确凿的证据。,"I can only guess his intentions, but there’s no solid evidence.",我只能__他的用意，但没有确凿的证据。,Band5,4.3,5
餐厅,cāntīng,noun: restaurant,我们今晚去那家餐厅吃饭。,We are going to eat at that restaurant tonight.,我们今晚去那家__吃饭。,Band5,3.8,5
场面,chǎngmiàn,noun: scene; situation,那个场面非常热闹。,That scene was very lively.,那个__非常热闹。,Band5,3.2,5
尝试,chángshì,verb/noun: to try; attempt,我想尝试新的方法。,I want to try a new method.,我想__新的方法。,Band5,3.4,5
查询,cháxún,verb / noun: to check / to inquire / inquiry,你可以通过手机查询快递的最新状态。,You can check the latest delivery status on your phone.,你可以通过手机__快递的最新状态。,Band5,Unknown,5
充足,chōngzú,adjective: sufficient / ample,准备工作十分充足，大家都很有信心。,"The preparations are sufficient, and everyone feels confident.",准备工作十分__，大家都很有信心。,Band5,2.2,5
出版,chūbǎn,verb: to publish,这本小说已经出版了。,This novel has already been published.,这本小说已经__了。,Band5,2.7,5
处罚,chǔfá,verb/noun: to punish; punishment,违反规则的人会受到处罚。,People who break the rules will be punished.,违反规则的人会受到__。,Band5,3.8,5
除非,chúfēi,conjunction: unless,除非下雨，不然我们会去公园。,"Unless it rains, we will go to the park.",__下雨，不然我们会去公园。,Band5,3.9,5
此后,cǐhòu,adverb: after this; thereafter,此后，他再也没有迟到。,"After that, he was never late again.",__，他再也没有迟到。,Band5,4.4,5
打扮,dǎban,"verb: to dress up; to style
noun: appearance; outfit",她今天打扮得很简单，但整体打扮看起来依然很有气质。,"She dressed very simply today, but her overall appearance still looks elegant.",她今天__得很简单，但整体__看起来依然很有气质。,Band5,Unknown,5
呆,dāi,"adjective: dull / blank / slow
verb: to stay",他呆呆地站在那里，呆了一会儿才反应过来。,He stood there blankly and only reacted after staying there for a while.,他__地站在那里，__了一会儿才反应过来。,Band5,Unknown,5
当场,dāngchǎng,adverb: on the spot; immediately,他当场向大家道歉。,He apologized to everyone on the spot.,他__向大家道歉。,Band5,3.9,5
胆小,dǎnxiǎo,adjective: timid / cowardly,他太胆小了，连鬼片的海报都不敢看。,He’s so timid he doesn’t even dare look at horror movie posters.,他太__了，连鬼片的海报都不敢看。,Band5,7.5,5
打扰,dǎrǎo,verb: to disturb / to interrupt,不好意思打扰你了，你现在有空吗？,Sorry to bother you — are you free now?,不好意思__你了，你现在有空吗？,Band5,2.2,5
典礼,diǎnlǐ,noun: ceremony,毕业典礼将在明天举行。,The graduation ceremony will be held tomorrow.,毕业__将在明天举行。,Band5,3.3,5
动手,dòngshǒu,verb: to start doing; to take action; to use one’s hands,大家准备好以后就可以动手了。,"Once everyone is ready, we can start working.",大家准备好以后就可以__了。,Band5,2.2,5
罚款,fákuǎn,verb / noun: to fine / fine,因为乱停车，他被罚款两百元。,He was fined 200 yuan for illegal parking.,因为乱停车，他被__两百元。,Band5,Unknown,5
放大,fàngdà,verb: to enlarge; to magnify,你可以把这张照片放大一点吗？,Can you enlarge this photo a bit?,你可以把这张照片__一点吗？,Band5,2.5,5
疯狂,fēngkuáng,"adjective: crazy; insane
noun: madness; obsession",他对音乐的疯狂让大家觉得他看起来有点疯狂。,His obsession with music makes everyone think he looks a bit crazy.,他对音乐的__让大家觉得他看起来有点疯狂。,Band5,Unknown,5
分享,fēnxiǎng,"verb: to share (content, emotions, etc.)",她总是喜欢分享好吃的东西和快乐的心情。,She always likes to share delicious food and her happy mood.,她总是喜欢分享好吃的东西和快乐的心情。,Band5,1.4,5
辅助,fǔzhù,verb/adjective: to assist; auxiliary,这个工具可以辅助学习。,This tool can assist learning.,这个工具可以__学习。,Band5,3.8,5
感想,gǎnxiǎng,noun: thoughts; reflections; impressions,请分享你的感想。,Please share your thoughts.,请分享你的__。,Band5,3.8,5
隔壁,gébì,noun/adverb: next door; adjacent,隔壁住着一位医生。,A doctor lives next door.,__住着一位医生。,Band5,3.8,5
更新,gēngxīn,"verb: to update / renew
noun: update, renewal",系统每天都会自动更新，以确保数据是最新的更新版本。,The system updates automatically every day to ensure it's using the latest version.,系统每天都会自动__，以确保数据是最新的更新版本。,Band5,Unknown,5
跟随,gēnsuí,verb: to follow,小狗一直跟随主人。,The puppy kept following its owner.,小狗一直__主人。,Band5,3.9,5
歌曲,gēqǔ,noun: song,这首歌曲非常有名。,This song is very famous.,这首__非常有名。,Band5,2.6,5
工艺,gōngyì,noun: craftsmanship; craft technique,这件工艺品制作得很精细。,This handicraft item is very finely made.,这件__品制作得很精细。,Band5,3.1,5
