Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,Encountered,ID,Formal
茶几,chájī,noun: coffee table,客厅里放着一张茶几。,Unknown,4.5,5,0,1616,
钞票,chāopiào,noun: banknote; paper money,他的钱包里有很多钞票。,Band7,4.5,5,0,1617,
呈现,chéngxiàn,verb: to present; to display,眼前呈现出美丽的风景。,Band7,4.5,5,0,1618,
穿山甲,chuānshānjiǎ,noun: pangolin,穿山甲是一种稀有动物。,Unknown,4.5,5,0,1619,
粗壮,cūzhuàng,adjective: thick and strong,那棵树的树干十分粗壮。,Unknown,4.5,5,0,1620,
存放,cúnfàng,verb: to store; to keep,请把文件存放好。,Band7,4.5,5,0,1621,
打哈欠,dǎhāqiàn,verb: to yawn,他上课时一直打哈欠。,Unknown,4.5,5,0,1622,
单独,dāndú,adjective/adverb: alone; separately,她单独完成了这个任务。,Band4,4.5,5,0,1623,
胆小鬼,dǎnxiǎoguǐ,noun: coward; scaredy-cat,他不敢进鬼屋，真是个胆小鬼。,Unknown,4.5,5,0,1624,
订票,dìngpiào,verb: to book tickets,我们已经订票去上海了。,Unknown,4.5,5,0,1625,
豆苗,dòumiáo,noun: pea sprouts; bean shoots,妈妈炒了一盘豆苗。,Unknown,4.5,5,0,1626,
痘痘,dòudou,noun: pimple; acne,他脸上长了很多痘痘。,Unknown,4.5,5,0,1627,
多元,duōyuán,adjective: diverse; multicultural,新加坡是一个多元社会。,Band7,4.5,5,0,1628,
多云,duōyún,adjective: cloudy,今天的天气多云。,Band2,4.5,5,0,1629,
发芽,fāyá,verb: to sprout; to germinate,种子开始发芽了。,Unknown,4.5,5,0,1630,
反面,fǎnmiàn,noun: reverse side; negative side,请把纸翻到反面。,Band7,4.5,5,0,1631,
方言,fāngyán,noun: dialect,他们用家乡方言聊天。,Band7,4.5,5,0,1632,
分类,fēnlèi,verb/noun: to classify; classification,请把垃圾分类。,Band5,4.5,5,0,1633,
腐烂,fǔlàn,verb/adjective: to rot; rotten,水果放太久会腐烂。,Band7,4.5,5,0,1634,
格子,gézi,noun: grid; square; compartment,纸上画满了小格子。,Unknown,4.5,5,0,1635,
攻打,gōngdǎ,verb: to attack,士兵准备攻打敌人的城堡。,Unknown,4.5,5,0,1636,
行礼,xínglǐ,verb: to salute; to bow,学生向老师行礼。,Unknown,4.5,5,0,1637,
花丛,huācóng,noun: flower bushes; flower bed,蝴蝶飞进花丛里。,Unknown,4.5,5,0,1638,
滑轮,huálún,noun: pulley; roller wheel,工人利用滑轮搬运重物。,Unknown,4.5,5,0,1639,
甲骨文,jiǎgǔwén,noun: oracle bone script,甲骨文是古代文字。,Unknown,4.5,5,0,1640,
坚固,jiāngù,adjective: firm; sturdy,这座桥非常坚固。,Band4,4.5,5,0,1641,
剪毛,jiǎnmáo,verb: to trim fur/hair,宠物店正在帮小狗剪毛。,Unknown,4.5,5,0,1642,
搅拌,jiǎobàn,verb: to stir; to mix,请先把鸡蛋搅拌均匀。,Band7,4.5,5,0,1643,
尽早,jǐnzǎo,adverb: as early as possible,你应该尽早休息。,Band7,4.5,5,0,1644,
近视,jìnshì,noun/adjective: short-sighted; myopia,他因为近视而戴眼镜。,Band6,4.5,5,0,1645,
竞赛,jìngsài,noun/verb: competition; contest,学校举办了一场歌唱竞赛。,Band5,4.5,5,0,1646,
酒类,jiǔlèi,noun: alcoholic drinks,这家店不售卖酒类。,Unknown,4.5,5,0,1647,
军人,jūnrén,noun: soldier; military personnel,那位军人正在站岗。,Band5,4.5,5,0,1648,
靠岸,kào’àn,verb: to dock; to reach shore,船终于靠岸了。,Unknown,4.5,5,0,1649,
课表,kèbiǎo,noun: timetable; class schedule,我忘了带课表。,Unknown,4.5,5,0,1650,
课堂,kètáng,noun: classroom; class session,课堂里十分安静。,Band2,4.5,5,0,1651,
扣子,kòuzi,noun: button,他的衬衫掉了一颗扣子。,Unknown,4.5,5,0,1652,
枯叶,kūyè,noun: dry leaf; withered leaf,地上铺满了枯叶。,Unknown,4.5,5,0,1653,
宽阔,kuānkuò,adjective: wide; spacious,这条马路非常宽阔。,Band6,4.5,5,0,1654,
冷冻室,lěngdòngshì,noun: freezer compartment,妈妈把肉放进冷冻室。,Unknown,4.5,5,0,1655,
零起点,língqǐdiǎn,noun: starting from zero; beginner level,这个课程适合零起点学生。,Unknown,4.5,5,0,1656,
旅程,lǚchéng,noun: journey; trip,这次旅程让我学到了很多。,Band7,4.5,5,0,1657,
米粒,mǐlì,noun: grain of rice,桌上掉了几颗米粒。,Unknown,4.5,5,0,1658,
内裤,nèikù,noun: underwear,请把内裤放进洗衣篮。,Unknown,4.5,5,0,1659,
内外,nèiwài,noun/adverb: inside and outside; around,他把房子内外都打扫干净了。,Band6,4.5,5,0,1660,
牛油,niúyóu,noun: butter,她在面包上涂了牛油。,Unknown,4.5,5,0,1661,
偶像,ǒuxiàng,noun: idol,他把那位歌手当成偶像。,Band5,4.5,5,0,1662,
胖乎乎,pànghūhū,adjective: chubby; plump and cute,那个宝宝胖乎乎的，很可爱。,Unknown,4.5,5,0,1663,
培育,péiyù,verb: to cultivate; to nurture,老师用心培育学生。,Band4,4.5,5,0,1664,
赔钱,péiqián,verb: to lose money; to compensate money,这笔生意让他赔钱了。,Band7,4.5,5,0,1665,
皮带,pídài,noun: belt,他买了一条新的皮带。,Band7,4.5,5,0,1666,
皮球,píqiú,noun: rubber ball,小朋友在公园里踢皮球。,Band6,4.5,5,0,1667,
热线,rèxiàn,noun: hotline,有问题可以拨打服务热线。,Band6,4.5,5,0,1668,
乳白色,rǔbáisè,noun/adjective: milky white,她穿着一件乳白色的外套。,Unknown,4.5,5,0,1669,
山脚,shānjiǎo,noun: foot of a mountain,我们在山脚集合。,Unknown,4.5,5,0,1670,
上瘾,shàngyǐn,verb/adjective: to become addicted; addictive,他玩游戏玩到上瘾。,Band7,4.5,5,0,1671,
阴天,yīntiān,cloudy day,今天是阴天，不太适合晒衣服。,Band2,4.6,5,0,1672,
存在,cúnzài,"verb: to exist
noun: existence",这个问题确实存在，但它的存在并不代表无解。,Band3,4.6,5,0,1673,
性别,xìngbié,noun: gender / sex,报名表上需要填写性别。,Band3,4.6,5,0,1674,
销售,xiāoshòu,"verb: to sell
noun: sales",这款手机的销售量大幅上升，公司也在全球销售这款产品。,Band4,4.6,5,0,1675,
质量,zhìliàng,noun: quality (of a product or work),这台电视的质量很好，图像非常清晰。,Band4,4.6,5,0,1676,
争夺,zhēngduó,verb: to fight for / to compete over,几家公司在争夺这个项目的合作权。,Band6,4.6,5,0,1677,
头顶,tóudǐng,noun: top of the head / overhead,太阳正好在他头顶，晒得人睁不开眼。,Band7,4.6,5,0,1678,
少油,shǎoyóu,adjective/phrase: less oil; low-oil,我点了一份少油的炒面。,Unknown,4.6,5,0,1679,
伸懒腰,shēnlǎnyāo,verb: to stretch one’s body,他睡醒后伸了个懒腰。,Unknown,4.6,5,0,1680,
生菜,shēngcài,noun: lettuce,汉堡里夹着生菜。,Unknown,4.6,5,0,1681,
胜仗,shèngzhàng,noun: victory; victorious battle,他们终于打了一场胜仗。,Unknown,4.6,5,0,1682,
试卷,shìjuàn,noun: exam paper; test paper,老师正在批改试卷。,Band4,4.6,5,0,1683,
手电筒,shǒudiàntǒng,noun: flashlight; torch,他用手电筒照亮小路。,Unknown,4.6,5,0,1684,
帅气,shuàiqì,adjective: handsome; stylish,他穿西装的样子很帅气。,Unknown,4.6,5,0,1685,
水饺,shuǐjiǎo,noun: boiled dumpling,我晚餐吃了一碗水饺。,Unknown,4.6,5,0,1686,
睡醒,shuìxǐng,verb: to wake up from sleep,她睡醒后觉得精神好多了。,Unknown,4.6,5,0,1687,
随地,suídì,adverb: anywhere; wherever one happens to be,请不要随地乱丢垃圾。,Unknown,4.6,5,0,1688,
贪财,tāncái,adjective/verb: greedy for money,那个人太贪财了。,Unknown,4.6,5,0,1689,
跳棋,tiàoqí,noun: Chinese checkers,我们周末一起玩跳棋。,Unknown,4.6,5,0,1690,
铁锤,tiěchuí,noun: hammer,工人用铁锤敲打钉子。,Unknown,4.6,5,0,1691,
头疼,tóuténg,adjective/verb: headache; to have a headache,他今天头疼，所以没有去上课。,Band6,4.6,5,0,1692,
拖鞋,tuōxié,noun: slippers,请进屋前换上拖鞋。,Band6,4.6,5,0,1693,
拖延,tuōyán,verb: to delay; to procrastinate,不要再拖延时间了。,Band7,4.6,5,0,1694,
蚊虫,wénchóng,noun: mosquitoes and insects,夏天这里有很多蚊虫。,Unknown,4.6,5,0,1695,
捂住,wǔzhù,verb: to cover; to hold over,他用手捂住嘴巴。,Unknown,4.6,5,0,1696,
下降,xiàjiàng,verb: to decline; to drop,最近气温明显下降。,Band4,4.6,5,0,1697,
闲聊,xiánliáo,verb/noun: to chat casually; casual chat,他们坐在咖啡店里闲聊。,Unknown,4.6,5,0,1698,
销售,xiāoshòu,verb/noun: to sell; sales,这家公司销售电子产品。,Band4,4.6,5,0,1699,
孝心,xiàoxīn,noun: filial piety; care for one’s parents,他很有孝心，经常陪父母。,Unknown,4.6,5,0,1700,
心贴心,xīntiēxīn,phrase: heart-to-heart; close and caring,老师和学生进行了心贴心的交流。,Unknown,4.6,5,0,1701,
淹水,yānshuǐ,verb/noun: to flood; flooding,暴雨后，低洼地区严重淹水。,Unknown,4.6,5,0,1702,
椰树,yēshù,noun: coconut tree; palm tree,海边种着一排椰树。,Unknown,4.6,5,0,1703,
衣袋,yīdài,noun: clothes pocket,他把钥匙放进口袋，不，是衣袋里。,Unknown,4.6,5,0,1704,
银色,yínsè,noun/adjective: silver; silver-colored,她买了一辆银色的车。,Unknown,4.6,5,0,1705,
英俊,yīngjùn,adjective: handsome,那位演员长得很英俊。,Band7,4.6,5,0,1706,
邮包,yóubāo,noun: parcel; mail package,我今天收到一个邮包。,Unknown,4.6,5,0,1707,
有毒,yǒudú,adjective: poisonous; toxic,这种蘑菇可能有毒。,Band5,4.6,5,0,1708,
幼苗,yòumiáo,noun: seedling; young plant,农夫小心地照顾幼苗。,Unknown,4.6,5,0,1709,
鱼儿,yú’ér,noun: fish; little fish,鱼儿在水里游来游去。,Unknown,4.6,5,0,1710,
鱼丸,yúwán,noun: fish ball,我在汤里加了几个鱼丸。,Unknown,4.6,5,0,1711,
原价,yuánjià,noun: original price,这件衣服现在低于原价出售。,Unknown,4.6,5,0,1712,
砸碎,zásuì,verb: to smash into pieces,他不小心把杯子砸碎了。,Unknown,4.6,5,0,1713,
栽种,zāizhòng,verb: to plant; to cultivate,学生们在校园里栽种树苗。,Unknown,4.6,5,0,1714,
早操,zǎocāo,noun: morning exercise,学生每天早上都要做早操。,Unknown,4.6,5,0,1715,
长方形,chángfāngxíng,noun/adjective: rectangle; rectangular,这张桌子是长方形的。,Unknown,4.6,5,0,1716,
涨潮,zhǎngcháo,verb/noun: high tide; tide rising,涨潮时不要靠近海边。,Unknown,4.6,5,0,1717,
遮盖,zhēgài,verb: to cover; to hide from view,乌云遮盖了月亮。,Band7,4.6,5,0,1718,
折断,zhéduàn,verb: to break; to snap,大风把树枝折断了。,Unknown,4.6,5,0,1719,
折纸,zhézhǐ,noun/verb: origami; to fold paper,小朋友正在学习折纸。,Unknown,4.6,5,0,1720,
争夺,zhēngduó,verb: to fight for; to compete for,两队正在争夺冠军。,Band6,4.6,5,0,1721,
正面,zhèngmiàn,noun/adjective: front side; positive,请把卡片的正面朝上。,Band7,4.6,5,0,1722,
纸船,zhǐchuán,noun: paper boat,孩子把纸船放进水里。,Unknown,4.6,5,0,1723,
指令,zhǐlìng,noun: command; instruction,机器人按照指令行动。,Band7,4.6,5,0,1724,
秩序,zhìxù,noun: order; discipline,请大家保持秩序。,Band7,4.6,5,0,1725,
智能,zhìnéng,noun/adjective: intelligence; smart,这是一台智能机器人。,Band4,4.6,5,0,1726,
忠诚,zhōngchéng,adjective/noun: loyal; loyalty,他对朋友非常忠诚。,Band7,4.6,5,0,1727,
种族,zhǒngzú,noun: race; ethnic group,新加坡有不同的种族。,Band7,4.6,5,0,1728,
转盘,zhuànpán,noun: turntable; spinning wheel,游戏里的转盘开始转动。,Unknown,4.6,5,0,1729,
装扮,zhuāngbàn,verb/noun: to dress up; costume,她把自己装扮成公主。,Band7,4.6,5,0,1730,
桌灯,zhuōdēng,noun: desk lamp,我打开桌灯写作业。,Unknown,4.6,5,0,1731,
紫菜,zǐcài,noun: seaweed; laver,汤里加了一些紫菜。,Unknown,4.6,5,0,1732,
足迹,zújì,noun: footprint; trace,沙滩上留下了他的足迹。,Band7,4.6,5,0,1733,
杂菜饭,zácàifàn,noun: mixed vegetable rice; economy rice,我午餐吃了一盘杂菜饭。,Unknown,4.6,5,0,1734,
穿越,chuānyuè,verb: to cross; to travel through,他们穿越森林到达小镇。,Band7,4.6,5,0,1735,
吊桥,diàoqiáo,noun: suspension bridge,游客小心地走过吊桥。,Unknown,4.6,5,0,1736,
回顾,huígù,verb/noun: to review; to look back,老师带我们回顾上一课。,Band5,4.6,5,0,1737,
口琴,kǒuqín,noun: harmonica,他会吹口琴。,Unknown,4.6,5,0,1738,
申请,shēnqǐng,verb/noun: to apply; application,我已经申请了奖学金。,Band4,4.6,5,0,1739,
相传,xiāngchuán,phrase: according to legend; it is passed down,相传这里以前住着一位神仙。,Band7,4.6,5,0,1740,
小说,xiǎoshuō,noun: novel; fiction,她喜欢看侦探小说。,Band2,4.6,5,0,1741,
一代,yīdài,noun: generation; era,他影响了一代年轻人。,Band6,4.6,5,0,1742,
桥身,qiáoshēn,noun: body/structure of a bridge,这座桥的桥身非常坚固。,Unknown,4.6,5,0,1743,
为伴,wéibàn,phrase: to keep company with; as a companion,他以书为伴，度过了很多安静的日子。,Unknown,4.6,5,0,1744,
走遍,zǒubiàn,verb: to travel all over; to go throughout,他希望走遍全世界。,Unknown,4.6,5,0,1745,
大些,dàxiē,adjective phrase: a little bigger,这个盒子太小了，请给我大些的。,Unknown,4.6,5,0,1746,
公德心,gōngdéxīn,noun: public-spiritedness; sense of civic responsibility,我们应该有公德心，不随地乱丢垃圾。,Unknown,4.6,5,0,1747,
公德,gōngdé,noun: civic virtue; public morality,遵守公德是每个人的责任。,Unknown,4.6,5,0,1748,
环游,huányóu,verb: to travel around,他梦想环游世界。,Unknown,4.6,5,0,1749,
全长,quáncháng,noun: full length; total length,这座桥全长两百米。,Band7,4.6,5,0,1750,
时空,shíkōng,noun: space-time; time and space,这部小说讲述了一次时空旅行。,Band7,4.6,5,0,1751,
空桶,kōngtǒng,noun: empty bucket; empty container,门口放着一个空桶。,Unknown,4.6,5,0,1752,
毕业生,bìyèshēng,noun: graduate,这些毕业生都找到了工作。,Band4,4.6,5,0,1753,
电力,diànlì,noun: electric power; electricity,这座城市需要大量电力。,Band6,4.6,5,0,1754,
合影,héyǐng,noun/verb: group photo; to take a photo together,毕业典礼后，大家一起合影。,Band7,4.6,5,0,1755,
全新,quánxīn,adjective: brand-new; completely new,他买了一台全新的电脑。,Band6,4.6,5,0,1756,
日出,rìchū,noun: sunrise,我们一早去山顶看日出。,Unknown,4.6,5,0,1757,
重力,zhònglì,noun: gravity,地球的重力让物体往下落。,Unknown,4.6,5,0,1758,
停车位,tíngchēwèi,noun: parking space,商场附近很难找到停车位。,Band7,4.6,5,0,1759,
合约,héyuē,noun: contract; agreement,双方已经签了合约。,Band6,4.6,5,0,1760,
瞧见,qiáojiàn,verb: to see; to catch sight of,我刚才瞧见他走进教室。,Unknown,4.6,5,0,1761,
太空装,tàikōngzhuāng,noun: space suit,宇航员穿上了太空装。,Unknown,4.6,5,0,1762,
存在,cúnzài,verb/noun: to exist; existence,这个问题已经存在很久了。,Band3,4.6,5,0,1763,
发烫,fātàng,verb/adjective: to become hot; burning hot,他的额头发烫，可能发烧了。,Unknown,4.6,5,0,1764,
盲道,mángdào,noun: tactile paving; path for the visually impaired,请不要把自行车停在盲道上。,Unknown,4.6,5,0,1765,
统计,tǒngjì,verb/noun: to count; statistics,老师正在统计学生人数。,Band4,4.6,5,0,1766,
杀敌,shādí,verb: to kill enemies; to defeat enemies,士兵在战场上奋勇杀敌。,Unknown,4.6,5,0,1767,
龙猫,lóngmāo,noun: chinchilla / Totoro,她养了一只可爱的龙猫。,Unknown,4.6,5,0,1768,
活动纸,huódòngzhǐ,noun: worksheet; activity sheet,老师发给我们一张活动纸。,Unknown,4.6,5,0,1769,
电视台,diànshìtái,noun: television station,电视台正在直播晚会。,Band3,4.7,5,0,1770,
功能,gōngnéng,noun: function / feature,这款手机的拍照功能特别强大。,Band3,4.7,5,0,1771,
全场,quánchǎng,noun: the entire venue / the whole audience / the whole game,他的表演赢得了全场掌声。,Band3,4.7,5,0,1772,
类型,lèixíng,noun: type / category,你喜欢哪种类型的电影？爱情、动作，还是悬疑？,Band4,4.7,5,0,1773,
随意,suíyì,"adjective: casual; not strict
adverb: casually; at will",这家餐厅气氛很随意，你可以随意点自己想吃的。,Band5,4.7,5,0,1774,
之外,zhīwài,noun (phrase): outside of / besides,除了学习之外，他还喜欢打篮球和弹吉他。,Band5,4.7,5,0,1775,
生活费,shēnghuófèi,noun: living expenses; allowance,这个月生活费有点紧，只能省着花。,Band6,4.7,5,0,1776,
年花,niánhuā,noun: festive flowers for Lunar New Year,过年前，妈妈买了几盆年花。,Unknown,4.7,5,0,1777,
长豆,chángdòu,noun: long bean; yardlong bean,奶奶炒了一盘长豆。,Unknown,4.7,5,0,1778,
字宝宝,zìbǎobǎo,noun: character-learning card; Chinese character baby,老师用字宝宝教小朋友识字。,Unknown,4.7,5,0,1779,
慈爱,cí’ài,adjective/noun: loving and kind; affection,奶奶用慈爱的眼神看着孩子。,Unknown,4.7,5,0,1780,
打转,dǎzhuàn,verb: to spin; to circle around,小狗围着主人不停打转。,Unknown,4.7,5,0,1781,
刻苦,kèkǔ,adjective: hardworking; diligent; assiduous,他学习非常刻苦。,Band7,4.7,5,0,1782,
过桥,guòqiáo,verb: to cross a bridge,我们过桥后就到了学校。,Unknown,4.7,5,0,1783,
捐赠,juānzèng,verb/noun: to donate; donation,他向学校捐赠了很多书。,Band6,4.7,5,0,1784,
吐出,tǔchū,verb: to spit out; to vomit out,小孩把不喜欢的药吐出了。,Unknown,4.7,5,0,1785,
搭乘,dāchéng,verb: to take; to ride,我每天搭乘巴士上学。,Band7,4.7,5,0,1786,
擦干,cāgān,verb: to wipe dry,请把桌子擦干。,Unknown,4.7,5,0,1787,
风格,fēnggé,noun: style; manner,这位画家的风格很独特。,Band4,4.7,5,0,1788,
海湾,hǎiwān,noun: bay; gulf,这个海湾的风景很美。,Band6,4.7,5,0,1789,
开灯,kāidēng,verb: to turn on the light,房间太暗了，请开灯。,Unknown,4.7,5,0,1790,
明月,míngyuè,noun: bright moon,夜空中挂着一轮明月。,Unknown,4.7,5,0,1791,
摔坏,shuāihuài,verb: to break by dropping/falling,他不小心把手机摔坏了。,Unknown,4.7,5,0,1792,
用功,yònggōng,adjective/verb: hardworking; to study hard,她学习很用功。,Band7,4.7,5,0,1793,
加班,jiābān,verb/noun: to work overtime; overtime,他今晚需要加班。,Band4,4.7,5,0,1794,
冰凉,bīngliáng,adjective: ice-cold,这杯水冰凉冰凉的。,Unknown,4.7,5,0,1795,
草药,cǎoyào,noun: herbal medicine; medicinal herb,奶奶懂得使用草药。,Unknown,4.7,5,0,1796,
出游,chūyóu,verb: to go on a trip; to travel for leisure,我们周末全家出游。,Band7,4.7,5,0,1797,
收容,shōuróng,verb: to take in; to shelter,这家机构收容了许多流浪动物。,Unknown,4.7,5,0,1798,
收养,shōuyǎng,verb: to adopt,他们决定收养一只小猫。,Band6,4.7,5,0,1799,
水墨,shuǐmò,noun/adjective: ink wash; ink painting style,他喜欢画水墨山水画。,Unknown,4.7,5,0,1800,
随口,suíkǒu,adverb: casually; without much thought,他只是随口说说，你别太在意。,Unknown,4.7,5,0,1801,
贴纸,tiēzhǐ,noun: sticker,小朋友把贴纸贴在本子上。,Unknown,4.7,5,0,1802,
心愿,xīnyuàn,noun: wish; heartfelt desire,她终于实现了自己的心愿。,Band6,4.7,5,0,1803,
样式,yàngshì,noun: style; design; pattern,这件衣服的样式很特别。,Unknown,4.7,5,0,1804,
野狗,yěgǒu,noun: stray dog; wild dog,路边有几只野狗。,Unknown,4.7,5,0,1805,
展品,zhǎnpǐn,noun: exhibit; displayed item,博物馆里的展品很珍贵。,Unknown,4.7,5,0,1806,
字体,zìtǐ,noun: font; typeface,这个字体看起来很清楚。,Band7,4.7,5,0,1807,
分派,fēnpài,verb: to assign; to distribute,老师把任务分派给各组。,Unknown,4.7,5,0,1808,
反败为胜,fǎnbàiwéishèng,phrase: to turn defeat into victory,队伍在最后一分钟反败为胜。,Unknown,4.7,5,0,1809,
发问,fāwèn,verb: to ask a question,学生举手向老师发问。,Unknown,4.7,5,0,1810,
后排,hòupái,noun: back row,他坐在教室的后排。,Unknown,4.7,5,0,1811,
录制,lùzhì,verb: to record; to make a recording,他们正在录制节目。,Band7,4.7,5,0,1812,
手提,shǒutí,adjective/verb: handheld; portable; to carry by hand,他买了一台手提电脑。,Unknown,4.7,5,0,1813,
球技,qiújì,noun: ball-game skill,他的球技进步很快。,Unknown,4.7,5,0,1814,
盘问,pánwèn,verb: to interrogate; to question closely,警察正在盘问那名男子。,Unknown,4.7,5,0,1815,
碗筷,wǎnkuài,noun: bowls and chopsticks; tableware,吃完饭后，请把碗筷洗干净。,Unknown,4.7,5,0,1816,
糖分,tángfèn,noun: sugar content,这种饮料的糖分很高。,Unknown,4.7,5,0,1817,
认罪,rènzuì,verb: to plead guilty; to admit guilt,他最后在法庭上认罪了。,Unknown,4.7,5,0,1818,
过日子,guòrìzi,phrase: to live one’s life; to get by,他们虽然不富有，但过日子很踏实。,Band7,4.7,5,0,1819,
运动量,yùndòngliàng,noun: amount of exercise,他的运动量太少了。,Unknown,4.7,5,0,1820,
采摘,cǎizhāi,verb: to pick; to harvest,游客可以在果园里采摘水果。,Unknown,4.7,5,0,1821,
登山,dēngshān,verb/noun: to climb a mountain; mountain climbing,我们周末去登山。,Band4,4.7,5,0,1822,
登顶,dēngdǐng,verb: to reach the summit,他们终于成功登顶。,Unknown,4.7,5,0,1823,
载送,zàisòng,verb: to transport; to ferry,校车每天载送学生上学。,Unknown,4.7,5,0,1824,
课余,kèyú,noun/adjective: after class; spare time after lessons,他课余喜欢打篮球。,Unknown,4.7,5,0,1825,
开船,kāichuán,verb: to sail a boat; for a boat to depart,船长准备开船了。,Unknown,4.7,5,0,1826,
旅游局,lǚyóujú,noun: tourism board; tourism bureau,旅游局推出了新的宣传活动。,Unknown,4.7,5,0,1827,
鸟蛋,niǎodàn,noun: bird egg,树上的鸟窝里有几颗鸟蛋。,Unknown,4.7,5,0,1828,
生蛋,shēngdàn,verb: to lay eggs,母鸡每天都会生蛋。,Unknown,4.7,5,0,1829,
病倒,bìngdǎo,verb: to fall ill; to be bedridden from illness,他因为太累而病倒了。,Unknown,4.7,5,0,1830,
除草,chúcǎo,verb: to weed; to remove grass,爷爷正在花园里除草。,Unknown,4.7,5,0,1831,
发育,fāyù,verb/noun: to develop; growth and development,充足的睡眠有助于孩子发育。,Band7,4.7,5,0,1832,
方向盘,fāngxiàngpán,noun: steering wheel,司机紧紧握住方向盘。,Band7,4.7,5,0,1833,
付费,fùfèi,verb: to pay a fee; paid,进入这个展览需要付费。,Band7,4.7,5,0,1834,
加深,jiāshēn,verb: to deepen; to intensify,这次活动加深了我们的友谊。,Band7,4.7,5,0,1835,
接听,jiētīng,verb: to answer a phone call,请及时接听电话。,Band7,4.7,5,0,1836,
借阅,jièyuè,verb: to borrow and read,学生可以在图书馆借阅书本。,Unknown,4.7,5,0,1837,
可回收,kěhuíshōu,adjective: recyclable,请把可回收物品放进蓝色桶。,Unknown,4.7,5,0,1838,
山区,shānqū,noun: mountainous area,山区的天气变化很快。,Band5,4.7,5,0,1839,
善事,shànshì,noun: good deed; charitable act,他经常做善事帮助别人。,Unknown,4.7,5,0,1840,
书报,shūbào,noun: books and newspapers,图书馆里有很多书报。,Unknown,4.7,5,0,1841,
死记,sǐjì,verb: to memorize mechanically; to learn by rote,学语言不能只靠死记。,Unknown,4.7,5,0,1842,
所得,suǒdé,noun: income; gains; what one obtains,这次义卖的所得将捐给慈善机构。,Unknown,4.7,5,0,1843,
危急,wēijí,adjective: critical; urgent; dangerous,情况十分危急，必须马上处理。,Band7,4.7,5,0,1844,
运用,yùnyòng,verb: to use; to apply,我们要学会运用所学的知识。,Band4,4.7,5,0,1845,
成形,chéngxíng,verb: to take shape; to form,这个计划已经慢慢成形了。,Unknown,4.7,5,0,1846,
一日游,yīrìyóu,noun: one-day tour; day trip,我们报名参加了马六甲一日游。,Unknown,4.7,5,0,1847,
枝干,zhīgàn,noun: branches and trunk,这棵树的枝干非常粗壮。,Unknown,4.7,5,0,1848,
枯死,kūsǐ,verb: to wither and die,这盆花因为缺水枯死了。,Unknown,4.7,5,0,1849,
赢取,yíngqǔ,verb: to win; to gain by winning,他努力训练，希望赢取冠军。,Unknown,4.7,5,0,1850,
爱幼,àiyòu,verb/phrase: to love and care for children,我们应该尊老爱幼。,Unknown,4.7,5,0,1851,
出名,chūmíng,adjective/verb: famous; to become famous,这家店因为炒面很好吃而出名。,Band6,4.7,5,0,1852,
随后,suíhòu,adverb: afterwards; soon after,他先打电话，随后就出门了。,Band5,4.7,5,0,1853,
表弟,biǎodì,noun: younger male cousin,我的表弟今年上小学。,Unknown,4.7,5,0,1854,
谎话,huǎnghuà,noun: lie; false statement,他不应该说谎话。,Band7,4.7,5,0,1855,
全力,quánlì,noun/adverb: full strength; with all one’s effort,我们会全力帮助你。,Band6,4.7,5,0,1856,
退还,tuìhuán,verb: to return; to refund,请把借来的书退还给图书馆。,Unknown,4.7,5,0,1857,
享用,xiǎngyòng,verb: to enjoy; to consume food or drink,大家一起享用晚餐。,Unknown,4.7,5,0,1858,
知情,zhīqíng,verb/adjective: to know the situation; informed,他对这件事并不知情。,Unknown,4.7,5,0,1859,
耳聋,ěrlóng,adjective: deaf; hard of hearing,那位老人有点耳聋。,Unknown,4.7,5,0,1860,
来临,láilín,verb: to arrive; to approach,春节快要来临了。,Band7,4.7,5,0,1861,
过节,guòjié,verb: to celebrate a festival,我们一家人一起过节。,Band7,4.7,5,0,1862,
平静,píngjìng,adjective/noun: calm; peaceful,湖面非常平静。,Band4,4.7,5,0,1863,
为主,wéizhǔ,phrase: mainly; to be centered on,这家餐厅以本地美食为主。,Band5,4.7,5,0,1864,
单位,dānwèi,"Can still refer to a person's workplace, especially in more formal or official contexts, or when the organization has some level of state affiliation.
Can also be used more generally to mean a ""unit"" within an organization or system.",我在一个政府单位工作,Band2,4.8,5,0,1865,Formal
晚会,wǎnhuì,evening party / gala,我们学校周五有一个晚会。,Band2,4.8,5,0,1866,
长期,chángqī,"adjective: long-term
noun: long period",他打算长期工作在国外，适应那里的长期生活。,Band3,4.8,5,0,1867,
科技,kējì,noun: science and technology,现代科技改变了我们的生活方式。,Band3,4.8,5,0,1868,
旅行社,lǚxíngshè,noun: travel agency,我通过旅行社订了日本的全程行程。,Band3,4.8,5,0,1869,
听力,tīnglì,noun: hearing / listening ability (often in language exams),我的英语听力还需要多练习。,Band3,4.8,5,0,1870,
现实,xiànshí,"noun: reality
adjective: realistic",理想很美好，但现实很残酷，我们必须面对现实问题。,Band3,4.8,5,0,1871,
隔天,gétiān,noun/adverb: the next day / every other day,我们隔天练一次球，隔天作业老师也会检查。,Unknown,4.8,5,0,1872,
修车,xiūchē,verb: to repair a vehicle,爸爸今天去修车。,Band6,4.8,5,0,1873,
答道,dádào,verb: to answer; to reply,他笑着答道：“我知道了。”,Unknown,4.8,5,0,1874,
