Chinese Words,pinyin,English Words,Question Type,Category,Chinese Usage in a Sentence,English Usage in a sentence,Color,Chinese Usage in a Sentence Hint,Band 0 HSK
空调,kōngtiáo,noun: air conditioner,English,Misc,这间教室的空调坏了，里面特别热。,The air conditioner in this classroom is broken — it’s really hot inside.,5,这间教室的__坏了，里面特别热。,Band3
快速,kuàisù,"adjective: fast / rapid
adverb: quickly",Both,Misc,他快速地完成了作业，显示了他的快速反应能力。,"He finished the homework quickly, showing his fast reaction skills.",5,他__地完成了作业，显示了他的__反应能力。,Band3
困,kùn,"adjective: sleepy / drowsy
verb: to trap / to be stranded (literary or formal use)",Both,Misc,我因为暴雨被困在家里一整天，现在又困得睁不开眼。,"I was trapped at home all day because of the storm, and now I’m so sleepy I can barely keep my eyes open.",5,我因为暴雨被__在家里一整天，现在又__得睁不开眼。,Band3
困难,kùnnán,"noun: difficulty / hardship
adjective: difficult",Both,Misc,虽然过程很困难，但我们还是克服了所有困难。,"Although the process was difficult, we overcame all the difficulties.",5,虽然过程很__，但我们还是克服了所有__。,Band3
裤子,kùzi,noun: pants / trousers,English,Misc,这条裤子太长了，我要去改短一点。,These pants are too long — I need to get them shortened.,5,这条__太长了，我要去改短一点。,Band3
老百姓,lǎobǎixìng,noun: ordinary people / common folk,Both,Misc,政策要真正考虑到老百姓的需求。,Policies must truly take the needs of ordinary people into account.,5,政策要真正考虑到__的需求。,Band3
乐观,lèguān,adjective: optimistic,Both,Misc,即使遇到困难，他也始终保持乐观态度。,"Even in tough times, he always maintains an optimistic attitude.",5,即使遇到困难，他也始终保持__态度。,Band3
类似,lèisì,"adjective: similar / alike
Used there are things that have something in common but also have differences.",Both,Misc,他们的做法和我们的类似，但细节上略有不同。,"Their approach is similar to ours, though there are slight differences in the details.",5,他们的做法和我们的__，但细节上略有不同。,Band3
联合国,liánhéguó,noun: United Nations,Both,Misc,联合国致力于促进全球和平与发展。,The United Nations is committed to promoting global peace and development.,5,__致力于促进全球和平与发展。,Band3
连续剧,liánxùjù,noun: TV series / drama,Both,Misc,这部连续剧剧情紧凑，非常吸引人。,This TV series has a tight plot and is very engaging.,5,这部__剧情紧凑，非常吸引人。,Band3
凉水,liángshuǐ,noun: cold water / cool water,Both,Misc,夏天喝点儿凉水特别舒服。,Drinking cold water in summer feels especially refreshing.,5,夏天喝点儿__特别舒服。,Band3
联合,liánhé,"verb: to unite / to combine
noun: alliance / cooperation",Both,Misc,几家公司联合推出了一项新产品，这种联合提升了市场竞争力。,Several companies joined forces to launch a new product — the alliance boosted market competitiveness.,5,几家公司__推出了一项新产品，这种__提升了市场竞争力。,Band3
连忙,liánmáng,adverb: hurriedly / promptly,Both,Misc,听到有人喊他，他连忙跑过去。,"When he heard someone call him, he hurried over.",5,听到有人喊他，他__跑过去。,Band3
联系,liánxì,"verb: to contact / to connect
noun: contact / connection",Both,Misc,如果你有问题，请随时联系我，我的联系方式没变。,"If you have any questions, contact me anytime — my contact details haven’t changed.",5,如果你有问题，请随时__我，我的__方式没变。,Band3
连续,liánxù,"adjective: consecutive / continuous
adverb: continuously",Both,Misc,他连续三天加班，身体已经吃不消了。,He worked overtime for three consecutive days and is now exhausted.,5,他__三天加班，身体已经吃不消了。,Band3
理发,lǐfà,"verb: to get a haircut / to cut hair (more formal way to say haircut or in general get the whole hair done professionally)
noun: haircut",Both,Misc,我昨天去理发了，这次的理发效果还不错。,I got a haircut yesterday — this time it turned out pretty well.,5,我昨天去__了，这次的__效果还不错。,Band3
离婚,líhūn,"verb: to divorce
noun: divorce",English,Misc,他们和平离婚了，这次离婚对孩子影响不大。,"They divorced peacefully, and the divorce didn’t affect the child much.",5,他们和平__了，这次__对孩子影响不大。,Band3
理解,lǐjiě,"verb: to understand (ideas, reasoning, emotions)
noun: understanding",English,Misc,我能理解你的决定，也感谢你的理解。,"I understand your decision, and I appreciate your understanding.",5,我能__你的决定，也感谢你的理解。,Band3
立刻,lìkè,adverb: immediately / at once,English,Misc,我立刻给他回了电话。,I called him back immediately.,5,我__给他回了电话。,Band3
力量,lìliàng,noun: strength / power (physical or abstract),Both,Misc,团结是我们最强的力量。,Unity is our greatest strength.,5,团结是我们最强的__。,Band3
理论,lǐlùn,noun: theory,Both,Misc,他掌握了扎实的物理理论，能够清楚解释实验现象。,He has a solid grasp of physics theory and can clearly explain experimental results.,5,他掌握了扎实的物理__，能够清楚解释实验现象。,Band3
领,lǐng,verb: to receive / to lead / to fetch,Both,Misc,他带大家去领奖，然后亲自领回奖品。,He led everyone to the award ceremony and personally picked up the prize.,5,他带大家去__奖，然后亲自领回奖品。,Band3
另一方面,lìngyìfāngmiàn,noun phrase: on the other hand,Both,Misc,一方面要省钱，另一方面也不能太委屈自己。,"On one hand, we should save money; on the other, we shouldn’t make life too hard for ourselves.",5,一方面要省钱，__也不能太委屈自己。,Band3
领导,lǐngdǎo,"noun: leader / leadership
verb: to lead / to guide",Both,Misc,这位领导领导能力很强，深受大家尊敬。,This leader has excellent leadership skills and is highly respected.,5,这位领导__能力很强，深受大家尊敬。,Band3
另外,lìngwài,"adverb: in addition / besides
conjunction: moreover",Both,Misc,这本书没货了，另外几本还可以预订。,"This book is out of stock, but the others can still be pre-ordered.",5,这本书没货了，__几本还可以预订。,Band3
领先,lǐngxiān,"verb: to lead / to be ahead
adjective: leading / in front",Both,Misc,他在比赛中一直领先，是全场领先者。,He stayed ahead in the race and was the overall leader.,5,他在比赛中一直__，是全场领先者。,Band3
留学,liúxué,verb: to study abroad,Both,Misc,他打算明年去法国留学。,He plans to study in France next year.,5,他打算明年去法国__。,Band3
理由,lǐyóu,noun: reason / justification,Both,Misc,你迟到的理由是什么？,What’s your reason for being late?,5,你迟到的__是什么？,Band3
录,lù,verb: to record / to enroll / to admit,Both,Misc,这场讲座已经录下来，同时他也被大学正式录取了。,"The lecture has been recorded, and he’s also been officially admitted to the university.",5,这场讲座已经__下来，同时他也被大学正式录取了。,Band3
旅馆,lǚguǎn,noun: hotel / inn,Both,Misc,这家旅馆虽然小，但环境很干净。,"Although small, this hotel is very clean.",5,这家__虽然小，但环境很干净。,Band3
路线,lùxiàn,noun: route / itinerary,Both,Misc,导游给我们规划了一条合理的旅游路线。,The tour guide planned a reasonable travel route for us.,5,导游给我们规划了一条合理的旅游__。,Band3
旅行社,lǚxíngshè,noun: travel agency,Both,Misc,我通过旅行社订了日本的全程行程。,I booked the entire Japan trip through a travel agency.,5,我通过__订了日本的全程行程。,Band3
落后,luòhòu,"verb: to fall behind
adjective: backward / underdeveloped",Both,Misc,他在比赛中落后了，主要是设备比较落后。,"He fell behind in the competition, mainly because the equipment was outdated.",5,他在比赛中__了，主要是设备比较落后。,Band3
录音,lùyīn,"verb: to record audio
noun: audio recording",Both,Misc,请听这段录音，这个录音记录了会议的重点。,Please listen to this recording — it captured the key points of the meeting.,5,请听这段__，这个录音记录了会议的重点。,Band3
满足,mǎnzú,"verb: to satisfy
adjective: satisfied",Both,Misc,公司满足了我的要求，我也感到很满足。,"The company met my requests, and I feel quite satisfied.",5,公司__了我的要求，我也感到很__。,Band3
毛病,máobìng,"noun: problem / fault / defect (can be used for machines, habits, or health)",Both,Misc,电脑又出了毛病，你的坏习惯也该改改这个毛病了。,"The computer has a problem again — and you should also fix that bad habit.
",5,电脑又出了__，你的坏习惯也该改改这个__了。,Band3
美好,měihǎo,"adjective: beautiful / wonderful (used for abstract things like memories, future)",Both,Misc,我们一起度过了美好的时光。,"We spent some wonderful moments together.

",5,我们一起度过了__的时光。,Band3
美食,měishí,noun: delicious food / gourmet food,Both,Misc,台湾是著名的美食天堂。,Taiwan is a famous paradise for food lovers.,5,台湾是著名的__天堂。,Band3
美元,měiyuán,noun: U.S. dollar,Both,Misc,这件商品价格是100美元。,This item costs 100 U.S. dollars.,5,这件商品价格是100__。,Band3
美术,měishù,"noun: fine arts (painting, sculpture, etc.)",Both,Misc,她在大学学的是美术专业。,She studied fine arts in university.,5,她在大学学的是__专业。,Band3
媒体,méitǐ,noun: media / news outlet,Both,Misc,这条新闻引起了各大媒体的关注。,This news has attracted attention from major media outlets.,5,这条新闻引起了各大__的关注。,Band3
迷,mí,"noun: fan / enthusiast
verb: to be fascinated / confused / lost (figurative or literal)",Both,Misc,他是音乐迷，听得太入迷，结果迷路了。,He’s a music fan who got so absorbed in listening that he ended up getting lost.,5,他是音乐__，听得太入__，结果__路了。,Band3
面对,miànduì,verb: to face / to confront,Both,Misc,我们要勇敢面对现实。,We must face reality with courage.,5,我们要勇敢__现实。,Band3
面积,miànjī,noun: area / surface area,Both,Misc,这套房子的面积是120平方米。,This apartment has an area of 120 square meters.,5,这套房子的__是120平方米。,Band3
明确,míngquè,"verb: to make clear / to clarify
adjective: clear / definite",Both,Misc,他明确表达了自己的意见，态度也非常明确,"He clearly expressed his opinion, and his attitude was very definite.",5,他__表达了自己的意见，态度也非常__,Band3
明显,míngxiǎn,adjective: obvious / evident,Both,Misc,这次成绩进步非常明显。,The improvement in grades this time is very obvious.,5,这次成绩进步非常__。,Band3
命运,mìngyùn,noun: fate / destiny,Both,Misc,他相信命运掌握在自己手中。,He believes that destiny lies in his own hands.,5,他相信__掌握在自己手中。,Band3
民间,mínjiān,"adjective: among the people / folk (used with culture, art, etc.)",Both,Misc,这种节日来源于民间传统。,This festival originates from folk traditions.,5,这种节日来源于__传统。,Band3
民族,mínzú,noun: ethnicity / nation,Both,Misc,中国是一个多民族国家。,China is a multi-ethnic country.,5,中国是一个多__国家。,Band3
某,mǒu,pronoun: some / a certain (person or thing),Both,Misc,某人昨天偷偷进入了办公室,Someone entered the office secretly yesterday.,5,__人昨天偷偷进入了办公室,Band3
目标,mùbiāo,noun: goal / target,English,Misc,我的目标是两年内通过所有考试。,My goal is to pass all the exams within two years.,5,我的__是两年内通过所有考试。,Band3
目前,mùqián,noun/adverb: at present / currently,Both,Misc,目前我们还没有足够的信息做决定。,"At present, we don’t have enough information to make a decision.",5,__我们还没有足够的信息做决定。,Band3
难度,nándù,noun: degree of difficulty,Both,Misc,这次考试的难度比上次高很多。,The difficulty level of this exam is much higher than the last one.,5,这次考试的__比上次高很多。,Band3
内心,nèixīn,noun: inner heart / innermost feelings,Both,Misc,她虽然笑着，但内心其实很难过。,"Although she was smiling, she was actually sad deep down inside",5,她虽然笑着，但__其实很难过。,Band3
内容,nèiróng,"noun: content (of speech, writing, work, etc.)",Both,Misc,这本书的内容非常有深度。,The content of this book is very profound.,5,这本书的__非常有深度。,Band3
能力,nénglì,noun: ability / capacity / competence,Both,Misc,他有能力独立完成这个项目。,He has the ability to complete the project independently.,5,他有__独立完成这个项目。,Band3
年初,niánchū,noun: beginning of the year,Both,Misc,年初我们制定了全年目标。,"At the beginning of the year, we set our annual goals.",5,__我们制定了全年目标。,Band3
年底,niándǐ,noun: end of the year,Both,Misc,年底公司会进行一次业绩评估。,The company will conduct a performance review at the end of the year.,5,__公司会进行一次业绩评估。,Band3
年代,niándài,noun: decade / era,Both,Misc,这首老歌是上世纪八十年代的作品。,This old song is from the 1980s.,5,这首老歌是上世纪八十__的作品。,Band3
年纪,niánjì,noun: age (of a person),Both,Misc,她虽然年纪大了，但身体还很好。,"Although she’s old, she’s still in good health.",5,她虽然__大了，但身体还很好。,Band3
农村,nóngcūn,noun: countryside / rural area,Both,Misc,他们从农村搬到了城市,They moved from the countryside to the city.,5,他们从__搬到了城市,Band3
农民,nóngmín,noun: farmer / peasant,English,Misc,农民们正在田里忙着种地。,The farmers are busy working in the fields.,5,__们正在田里忙着种地。,Band3
农业,nóngyè,noun: agriculture,Both,Misc,这个地区以发展农业为主。,This area mainly focuses on agricultural development.,5,这个地区以发展__为主。,Band3
暖和,nuǎnhuo,adjective: warm (weather or environment),Both,Misc,今天阳光明媚，天气非常暖和。,"It’s sunny today, and the weather is pleasantly warm.",5,今天阳光明媚，天气非常__。,Band3
派,pài,"verb: to assign / to send
noun: faction / school of thought",Both,Misc,公司派我去参加会议，我代表的是市场派的观点,"The company sent me to the meeting, where I represented the marketing faction’s views.",5,公司__我去参加会议，我代表的是市场__的观点,Band3
排名,páimíng,"noun: ranking
verb: to rank (usually followed by 第...)",Both,Misc,他在考试中排名第一，这个排名让他很开心,"He ranked first in the exam, and the ranking made him very happy.",5,他在考试中排名第一，这个__让他很开心,Band3
牌子,páizi,noun: brand / sign / label,Both,Misc,这家店的牌子很有名，门口的牌子也很显眼。,"This brand is well known, and its sign at the door is very noticeable.",5,这家店的__很有名，门口的__也很显眼。,Band3
判断,pànduàn,"verb: to judge / to determine
noun: judgment / decision",Both,Misc,他判断问题很准确，这个判断帮助我们避免了损失。,"He judged the situation accurately, and that judgment helped us avoid a loss.",5,他__问题很准确，这个__帮助我们避免了损失。,Band3
配合,pèihé,"verb: to cooperate / to coordinate
noun: coordination (often with liang hao、mique)",Both,Misc,大家积极配合，项目的整体配合也非常顺利。,"Everyone cooperated actively, and the overall coordination of the project went smoothly.",5,大家积极__，项目的整体__也非常顺利。,Band3
皮,pí,noun: skin / leather / peel,English,Misc,这个水果的皮很厚，不容易剥。,The skin of this fruit is thick and hard to peel.,5,这个水果的__很厚，不容易剥。,Band3
皮包,píbāo,noun: leather bag / purse,Both,Misc,她背着一个黑色的皮包，看起来很有质感。,She’s carrying a black leather purse — it looks very stylish.,5,她背着一个黑色的__，看起来很有质感。,Band3
票价,piàojià,noun: ticket price,Both,Misc,电影票价最近涨了不少。,Movie ticket prices have increased quite a bit lately.,5,电影__最近涨了不少。,Band3
啤酒,píjiǔ,noun: beer,English,Misc,夏天最适合和朋友一起喝冰镇啤酒。,Summer is perfect for sharing a cold beer with friends.,5,夏天最适合和朋友一起喝冰镇__。,Band3
评价,píngjià,"verb: to evaluate / to assess
noun: evaluation / review",Both,Misc,客户对服务的评价很好，我们也会认真评价员工表现。,"Customer reviews of the service were great, and we’ll carefully evaluate employee performance too.",5,客户对服务的__很好，我们也会认真__员工表现。,Band3
批评,pīpíng,"verb: to criticize
noun: criticism",Both,Misc,他批评了我的工作态度，这番批评让我反思了很多。,He criticized my attitude toward work — and that criticism made me reflect deeply,5,他__了我的工作态度，这番__让我反思了很多。,Band3
批准,pīzhǔn,verb: to approve / to authorize,Both,Misc,这项计划已经正式获得批准。,This plan has been officially approved.,5,这项计划已经正式获得__。,Band3
破坏,pòhuài,"verb: to destroy / to sabotage
noun: destruction / damage",Both,Misc,这场暴风雨破坏了很多建筑，破坏程度非常严重。,The storm destroyed many buildings — the damage was severe.,5,这场暴风雨__了很多建筑，__程度非常严重。,Band3
普遍,pǔbiàn,adjective: common / widespread,Both,Misc,这种观点在社会上非常普遍。,This opinion is very widespread in society.,5,这种观点在社会上非常__。,Band3
普及,pǔjí,"verb: to popularize / to spread
adjective: widespread (formal, esp. for education, tech)",Both,Misc,智能手机已经在农村普及，互联网知识也越来越普及,"Smartphones have become common in rural areas, and internet literacy is also spreading rapidly.",5,智能手机已经在农村__，互联网知识也越来越__,Band3
前进,qiánjìn,verb: to advance / to move forward,Both,Misc,不管遇到什么困难，我们都要勇敢前进。,"No matter what difficulties we face, we must move forward bravely.",5,不管遇到什么困难，我们都要勇敢__。,Band3
前往,qiánwǎng,verb: to go to (formal),Both,Misc,请于明天下午三点前往会议室集合。,Please proceed to the meeting room by 3 p.m. tomorrow.,5,请于明天下午三点__会议室集合。,Band3
强,qiáng,"adjective: strong / powerful
verb (colloquial): to force (as in 强迫)",English,Misc,他的身体很强，性格也很强，不喜欢被强制安排,He’s physically strong and mentally tough — he doesn’t like being forced into anything,5,他的身体很__，性格也很__，不喜欢被强制安排,Band3
强大,qiángdà,adjective: powerful / mighty,Both,Misc,这个国家的科技力量非常强大。,This country’s technological strength is very powerful.,5,这个国家的科技力量非常__。,Band3
强调,qiángdiào,verb: to emphasize / to stress,Both,Misc,老师特别强调了时间管理的重要性。,The teacher especially emphasized the importance of time management.,5,老师特别__了时间管理的重要性。,Band3
强烈,qiángliè,"adjective: intense / strong (emotion, contrast, effect)",Both,Misc,他表达了强烈的反对意见。,He expressed strong opposition.,5,他表达了__的反对意见。,Band3
千万,qiānwàn,adverb: must / by all means (used for strong advice or warning),Both,Misc,你千万别迟到，这是一次很重要的会议。,Don’t be late — this is a very important meeting.,5,你__别迟到，这是一次很重要的会议。,Band3
巧,qiǎo,adjective: coincidental / skillful,Both,Misc,你也来这里啊，真巧！这位师傅手也真巧。,You’re here too? What a coincidence! And this craftsman is really skillful.,5,你也来这里啊，真__！这位师傅手也真__。,Band3
其次,qícì,adverb: secondly / next,Both,Misc,首先要解决资金问题，其次是技术问题。,"First, we must solve the funding issue; next is the technical issue.",5,首先要解决资金问题，__是技术问题。,Band3
气候,qìhòu,noun: climate,Both,Misc,这个城市的气候温和，四季分明。,"The climate of this city is mild, with distinct seasons.",5,这个城市的__温和，四季分明。,Band3
亲人,qīnrén,noun: close family member,Both,Misc,节日时，大家都想和亲人团聚。,"During holidays, everyone wants to reunite with their loved ones.",5,节日时，大家都想和__团聚。,Band3
情感,qínggǎn,noun: emotion / feeling / affection,Both,Misc,她对家人有很深的情感。,She has deep affection for her family.,5,她对家人有很深的__。,Band3
请教,qǐngjiào,verb: to consult / to seek advice (polite),Both,Misc,我想请教您一个关于项目管理的问题。,I’d like to consult you about a project management issue.,5,我想__您一个关于项目管理的问题。,Band3
情况,qíngkuàng,noun: situation / condition / circumstances,Both,Misc,我们必须先了解实际情况，再做决定。,We need to understand the actual situation before making a decision.,5,我们必须先了解实际__，再做决定。,Band3
庆祝,qìngzhù,verb: to celebrate,Both,Misc,我们打算举行聚会来庆祝他的生日。,We plan to hold a party to celebrate his birthday.,5,我们打算举行聚会来__他的生日。,Band3
亲切,qīnqiè,adjective: warm / kind / cordial,Both,Misc,她说话总是那么亲切，让人很舒服。,She always speaks so warmly — it puts people at ease.,5,她说话总是那么__，让人很舒服。,Band3
亲自,qīnzì,adverb: personally / in person,Both,Misc,这份礼物是我亲自为你挑选的。,I picked this gift out for you personally.,5,这份礼物是我__为你挑选的。,Band3
其实,qíshí,adverb: actually / in fact,Both,Misc,他看起来很冷静，其实心里很紧张。,"He looks calm, but in fact, he’s quite nervous.",5,他看起来很冷静，__心里很紧张。,Band3
球迷,qiúmí,noun: sports fan,Both,Misc,作为铁杆球迷，他从不缺一场比赛。,"As a die-hard fan, he never misses a game.",5,作为铁杆__，他从不缺一场比赛。,Band3
区,qū,noun: area / district / zone,Both,Misc,这个区的交通特别方便。,Transportation in this district is especially convenient.,5,这个__的交通特别方便。,Band3
全场,quánchǎng,noun: the entire venue / the whole audience / the whole game,Both,Misc,他的表演赢得了全场掌声。,His performance earned applause from the entire audience.,5,他的表演赢得了__掌声。,Band3
全球,quánqiú,noun/adjective: global / worldwide,Both,Misc,这家公司正在推动全球市场扩展。,This company is expanding into global markets.,5,这家公司正在推动__市场扩展。,Band3
区别,qūbié,"verb: to distinguish / to differentiate
noun: difference / distinction",Both,Misc,你能区别这两种材料吗？它们之间的区别很小。,Can you tell these two materials apart? The difference between them is subtle.,5,你能__这两种材料吗？它们之间的区别很小。,Band3
缺,quē,verb: to lack / to be short of,Both,Misc,目前我们最缺的是经验而不是人手。,"Right now, what we lack most is experience, not manpower.",5,目前我们最__的是经验而不是人手。,Band3
确保,quèbǎo,verb: to ensure / to guarantee,Both,Misc,请确保所有数据都已备份。,Please ensure that all data has been backed up.,5,请__所有数据都已备份。,Band3
缺点,quēdiǎn,noun: shortcoming / flaw,Both,Misc,每个人都有优点，也有缺点。,Everyone has strengths and flaws.,5,每个人都有优点，也有__。,Band3
确定,quèdìng,"verb: to confirm / to determine
adjective: definite / certain",Both,Misc,他已经确定出发时间，而且计划也很确定。,"He has confirmed his departure time, and the plan is also very definite.",5,他已经__出发时间，而且计划也很__。,Band3
缺少,quēshǎo,verb: to be short of / to be lacking (a thing or amount),Both,Misc,目前仓库缺少原材料。,The warehouse is currently short of raw materials.,5,目前仓库__原材料。,Band3
确实,quèshí,"adverb: indeed / truly
adjective: real / reliable",Both,Misc,这个方法确实有效，资料也确实可信。,"This method is indeed effective, and the data is truly reliable.",5,这个方法__有效，资料也__可信。,Band3
群,qún,"noun: group / crowd / herd
measure word: for groups of people, animals",Both,Misc,一群羊正在山坡上吃草，那群游客正拍照,A herd of sheep is grazing on the hill while that group of tourists takes pictures.,5,一__羊正在山坡上吃草，那__游客正拍照,Band3
裙子,qúnzi,noun: skirt / dress,English,Clothes,她今天穿了一条红色的裙子。,She’s wearing a red skirt today.,5,她今天穿了一条红色的__。,Band3
去世,qùshì,verb: to pass away (polite/formal),Both,Misc,他的祖父去年去世了。,His grandfather passed away last year.,5,他的祖父去年__了。,Band3
取消,qǔxiāo,verb: to cancel / to call off,Both,Misc,由于天气原因，活动被取消了。,The event was cancelled due to weather conditions.,5,由于天气原因，活动被__了。,Band3
热爱,rè'ài,verb: to deeply love / to passionately devote oneself to,Both,Misc,他热爱音乐，把一生都投入到了创作中。,He has a deep love for music and devoted his life to creating it.,5,他__音乐，把一生都投入到了创作中。,Band3
热烈,rèliè,"adjective: warm / enthusiastic / lively (used for atmosphere, response, applause)",Both,Misc,观众们给予了他热烈的掌声。,The audience gave him warm applause.,5,观众们给予了他__的掌声。,Band3
认出,rènchū,verb: to recognize (someone/something from memory or visual cues),Both,Misc,他一下就认出了小时候的朋友。,He instantly recognized his childhood friend.,5,他一下就__了小时候的朋友。,Band3
认得,rèndé,verb: to recognize / to know (a person or thing by appearance or familiarity),Both,Misc,我不太认得这个人，但他好像在哪儿见过。,"I don’t really recognize this person, but he does look familiar.",5,我不太__这个人，但他好像在哪儿见过。,Band3
人民,rénmín,"noun: the people / citizens (formal, collective)",Both,Misc,政府的职责是服务人民。,The government’s duty is to serve the people.,5,政府的职责是服务__。,Band3
人群,rénqún,noun: crowd (of people),Both,Misc,他在人群中一眼就看到了我。,He spotted me immediately in the crowd.,5,他在__中一眼就看到了我。,Band3
人才,réncái,noun: talent / skilled person,Both,Misc,公司正在寻找具有国际视野的人才,The company is looking for talent with a global perspective.,5,公司正在寻找具有国际视野的__,Band3
人工,réngōng,"adjective: artificial / man-made

noun: manual labor",Both,Misc,这座人工湖由上百人通过人工方式建成。,This man-made lake was built through manual labor by hundreds of workers.,5,这座__湖由上百人通过__方式建成。,Band3
仍然,réngrán,adverb: still / as before,Both,Misc,虽然已经过去几年，他仍然记得那一天的情景。,"Even after several years, he still remembers that day vividly.",5,虽然已经过去几年，他__记得那一天的情景。,Band3
任何,rènhé,pronoun: any / whatever / whichever,Both,Misc,在这里，不允许任何形式的暴力。,No form of violence is allowed here.,5,在这里，不允许__形式的暴力。,Band3
认可,rènkě,"verb: to approve / to accept
noun: approval / recognition",Both,Misc,他终于得到了领导的认可，这份认可对他意义重大。,"He finally gained the manager’s approval, which meant a lot to him.",5,他终于得到了领导的__，这份__对他意义重大。,Band3
人类,rénlèi,noun: humankind / humanity,Both,Misc,环境问题是全人类共同面临的挑战。,Environmental issues are challenges faced by all of humanity.,5,环境问题是全__共同面临的挑战。,Band3
人生,rénshēng,"noun: life (human life, in a philosophical sense)",Both,Misc,每个人都在寻找自己的人生方向。,Everyone is searching for their direction in life.,5,每个人都在寻找自己的__方向。,Band3
任务,rènwu,noun: task / mission / assignment,Both,Misc,这个任务必须在今晚完成。,This task must be completed tonight.,5,这个__必须在今晚完成。,Band3
人员,rényuán,noun: personnel / staff / crew,Both,Misc,现场已有救援人员到达。,Rescue personnel have already arrived at the site.,5,现场已有救援__到达。,Band3
日常,rìcháng,"adjective: daily / routine
noun: daily life / daily routine",Both,Misc,她把锻炼当作日常的一部分，这种日常习惯让她更健康。,She treats exercise as part of her daily routine — a habit that keeps her healthy.,5,她把锻炼当作__的一部分，这种__习惯让她更健康。,Band3
如何,rúhé,adverb: how / in what way,Both,Misc,你打算如何解决这个问题？,How do you plan to solve this problem?,5,你打算__解决这个问题？,Band3
上升,shàngshēng,verb: to rise / to go up (physically or abstractly),Both,Misc,气温正在逐渐上升。,The temperature is gradually rising.,5,气温正在逐渐__。,Band3
上衣,shàngyī,noun: jacket / upper outer garment,Both,Clothes,这件上衣的颜色很适合你。,The color of this jacket suits you well.,5,这件__的颜色很适合你。,Band3
商品,shāngpǐn,noun: goods / merchandise,Both,Misc,超市里的所有商品都在打折。,All the goods in the supermarket are on sale.,5,超市里的所有__都在打折。,Band3
伤心,shāngxīn,adjective: sad / heartbroken,Both,Misc,听到这个消息，她非常伤心。,She was heartbroken when she heard the news.,5,听到这个消息，她非常__。,Band3
商业,shāngyè,noun: commerce / business / trade,Both,Misc,这片区域是城市的商业中心。,This area is the commercial center of the city.,5,这片区域是城市的__中心。,Band3
设备,shèbèi,noun: equipment / device,Both,Misc,实验室配备了最新的科研设备,The lab is equipped with the latest scientific devices.,5,实验室配备了最新的科研__,Band3
社会,shèhuì,noun: society,Both,Misc,教育对社会发展起着决定性作用。,Education plays a decisive role in societal development.,5,教育对__发展起着决定性作用。,Band3
设计,shèjì,"verb: to design
noun: design / plan",Both,Misc,她设计的这款家具在外观设计上非常新颖。,The furniture she designed is very innovative in design.,5,她__的这款家具在外观__上非常新颖。,Band3
设立,shèlì,verb: to establish / to set up,Both,Misc,公司计划在上海设立一个分部。,The company plans to establish a branch in Shanghai.,5,公司计划在上海__一个分部。,Band3
身份证,shēnfènzhèng,noun: ID card / identification,Both,Misc,办理手续时请出示身份证。,Please show your ID card when completing the procedure.,5,办理手续时请出示__。,Band3
深入,shēnrù,"verb: to go deep into / to penetrate
adjective: in-depth",Both,Misc,这篇报告对问题的分析非常深入，他也深入现场了解情况。,"The report provides an in-depth analysis, and he personally went deep into the field to investigate.",5,这篇报告对问题的分析非常__，他也深入现场了解情况。,Band3
生产,shēngchǎn,"verb: to produce / to manufacture
noun: production",Both,Misc,工厂正在大量生产口罩，每天的生产效率很高。,"The factory is producing masks in large quantities, and its production efficiency is very high.",5,工厂正在大量__口罩，每天的__效率很高。,Band3
生存,shēngcún,verb: to survive / to exist,Both,Misc,在极端环境中生存需要特别的技能。,Surviving in extreme environments requires special skills.,5,在极端环境中__需要特别的技能。,Band3
生动,shēngdòng,adjective: vivid / lively,Both,Misc,老师讲故事的方式非常生动。,The teacher’s storytelling is very vivid.,5,老师讲故事的方式非常__。,Band3
胜利,shènglì,"noun: victory / success
verb: to win (formal/literary)",Both,Misc,他们最终获得了比赛的胜利，这是团队合作的胜利。,They eventually won the match — a victory of teamwork.,5,他们最终获得了比赛的__，这是团队合作的__。,Band3
声明,shēngmíng,"verb: to state / to declare
noun: statement / declaration",Both,Misc,公司声明不会裁员，这份声明让员工安心了许多。,"The company declared there would be no layoffs, and that statement reassured the staff.",5,公司__不会裁员，这份__让员工安心了许多。,Band3
生命,shēngmìng,noun: life (biological concept),Both,Misc,我们应该珍惜每一条生命。,We should cherish every life.,5,我们应该珍惜每一条__。,Band3
生意,shēngyi,noun: business / trade,Both,Misc,他的生意越做越大了。,His business is growing rapidly.,5,他的__越做越大了。,Band3
生长,shēngzhǎng,"verb: to grow (biology, people, plants)",Both,Misc,这棵树生长得非常健康。,This tree is growing very healthily.,5,这棵树__得非常健康。,Band3
深刻,shēnkè,adjective: profound / deep,Both,Misc,这本书对我产生了深刻的影响。,This book had a profound impact on me.,5,这本书对我产生了__的影响。,Band3
实际上,shíjìshàng,adverb: actually / in fact,Both,Misc,他看起来很严肃，实际上是个很幽默的人。,"He looks serious, but he’s actually very humorous.",5,他看起来很严肃，__是个很幽默的人。,Band3
食品,shípǐn,noun: food product,Both,Misc,超市里有专门的有机食品区。,There is a dedicated organic food section in the supermarket.,5,超市里有专门的有机__区。,Band3
试题,shìtí,noun: exam question / test item,Both,Misc,这套试题难度不小，需要认真准备,This exam paper is quite difficult — it requires thorough preparation.,5,这套__难度不小，需要认真准备,Band3
