Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,
总是,zǒngshì,adverb: always,他总是忘记带钥匙。,3,1.2,5,
足够,zúgòu,"adjective: sufficient / enough
verb: to be enough",我们已经有足够的资金，这些资源也足够用了。,3,2.5,5,
组合,zǔhé,"noun: combination / group
verb: to combine",这个音乐组合由三位歌手组合而成,3,5.4,5,
作品,zuòpǐn,"noun: work (of art, literature, etc.)",这部小说是他的代表作品。,3,3.9,5,
作者,zuòzhě,general term for the creator of any written work.,作者在书里写下了自己的经历。,3,1.8,5,
宝贵,bǎoguì,adjective: valuable; precious,时间是非常宝贵的。,4,2.4,5,
包含,bāohán,verb: to include / to contain,这份活动策划书包含预算、时间表和人员安排。,4,5.5,5,
表扬,biǎoyáng,"verb: to praise
noun: praise / commendation",老师表扬了他乐于助人的行为，这次表扬让他很开心。,4,2.1,5,
避免,bìmiǎn,verb: to avoid; to prevent,我们应该避免犯同样的错误。,4,2.2,5,
不然,bùrán,conjunction: otherwise; if not,你得快一点，不然我们会迟到。,4,2.1,5,
步行,bùxíng,verb: to walk (on foot),从宿舍到教学楼步行只要五分钟。,4,Unknown,5,
采访,cǎifǎng,verb/noun: to interview; interview,记者正在采访那位运动员。,4,4.4,5,
参与,cānyù,verb: to participate in; to take part in,很多学生都参与了这次活动。,4,2.4,5,
操作,cāozuò,verb/noun: to operate; operation,请按照说明操作机器。,4,3.3,5,
测试,cèshì,noun/verb: test; to test,工程师正在测试新系统。,Unknown,3.4,5,
常识,chángshí,noun: common sense; general knowledge,这是最基本的常识。,4,3.8,5,
承担,chéngdān,verb: to undertake; to bear responsibility,他愿意承担这个责任。,4,3.9,5,
承认,chéngrèn,verb: to admit; to acknowledge,他终于承认自己错了。,4,3.1,5,
诚实,chéngshí,adjective: honest; truthful,他是一个非常诚实的人。,4,2.1,5,
承受,chéngshòu,"verb: to endure / to bear (pressure, pain, etc.)",这么大的压力，他已经快承受不住了,4,7.15,5,
沉默,chénmò,adjective/verb: silent; silence,听到这个消息后，他突然沉默了。,4,2.6,5,
吃惊,chījīng,verb: to be shocked / surprised,听到他突然辞职的消息，大家都很吃惊。,4,1.8,5,
充分,chōngfèn,adjective/adverb: sufficient; fully,我们已经做了充分准备。,4,3.9,5,
传统,chuántǒng,noun/adjective: tradition; traditional,这是一个传统节日。,4,2.5,5,
出席,chūxí,verb: to attend; to be present at,他出席了昨天晚上的会议。,4,2.4,5,
此外,cǐwài,conjunction/adverb: besides; moreover; in addition,他很聪明，此外也非常努力。,4,2.3,5,
促进,cùjìn,verb: to promote / to boost / to facilitate,这次交流活动促进了社团之间的了解与合作。,4,3.3,5,
促销,cùxiāo,verb/noun: promotion; sales promotion,商场正在进行促销活动。,4,3.5,5,
打败,dǎbài,verb: to defeat; to beat,我们终于打败了对手。,4,3.1,5,
担任,dānrèn,verb: to take the position of / to serve as,他在公司担任经理已有五年。,4,7.16,5,
打针,dǎzhēn,verb: to get an injection,小孩子最怕打针。,4,4.2,5,
登记,dēngjì,verb/noun: to register; registration,请先到柜台登记。,4,3.1,5,
得意,déyì,adjective: proud; pleased with oneself,他赢了比赛以后非常得意。,4,2.3,5,
点名,diǎnmíng,verb: to call roll; to call names,老师正在点名。,4,3.6,5,
的确,díquè,adverb: indeed; really; truly,他说的话的确很有道理。,4,1.3,5,
地址,dìzhǐ,noun: address,请写下你的家庭地址。,4,2.5,5,
动画片,dònghuàpiàn,noun: cartoon; animated film,小孩子很喜欢看动画片。,4,3.6,5,
锻炼,duànliàn,verb: to exercise / to train (physically or mentally),每天早上我都会去公园锻炼身体。,4,2.2,5,
度过,dùguò,"verb: to spend / get through (time, period)",他在国外度过了人生中最重要的几年。,4,2.4,5,
对于,duìyú,preposition: regarding; toward; concerning,对于这个问题，他有不同的看法。,4,2.5,5,
独立,dúlì,adjective/verb: independent; to stand alone,她希望以后能独立生活。,4,3.2,5,
多种,duōzhǒng,adjective: many kinds of; multiple types,超市里有多种水果可以选择。,4,2.6,5,
独特,dútè,adjective: unique; distinctive,她有一种非常独特的风格。,4,2.3,5,
独自,dúzì,adverb: alone; by oneself,她独自一个人去了旅行。,4,2.1,5,
耳机,ěrjī,noun: headphones; earphones,他戴着耳机听音乐。,4,3.6,5,
发挥,fāhuī,verb: to bring into play; to发挥; to display ability,希望你能发挥自己的实力。,4,2.6,5,
反而,fǎn’ér,adverb: instead / on the contrary,我帮了他，他反而怪我多管闲事。,4,2.1,5,
放松,fàngsōng,verb: to relax; to loosen up,工作以后，我喜欢听音乐放松。,4,2.3,5,
奋斗,fèndòu,verb/noun: to strive; to struggle for;奋斗,年轻人应该为梦想奋斗。,4,3.2,5,
纷纷,fēnfēn,adverb: one after another / in succession,秋天来了，树叶纷纷落下。,4,Unknown,5,
风景,fēngjǐng,noun: scenery; landscape,这里的风景非常漂亮。,4,2.5,5,
分之,fēnzhī,grammatical expression: denominator marker in fractions,三分之一等于一除以三。,Unknown,3.5,5,
否则,fǒuzé,conjunction: otherwise / if not,你得早点睡觉，否则明天上课会打瞌睡。,4,6.3,5,
付出,fùchū,"verb: to pay / to give (usually effort, time, cost)",成功的背后往往是无人看到的付出。,4,2.5,5,
负担,fùdān,noun/verb: burden; to bear a burden,房租已经成了他的经济负担。,4,2.6,5,
夫人,fūrén,noun: wife (formal); madam,大家都恭敬地称她为夫人，而她其实只是想以妻子的身份陪在他身边。,4,6.1,5,
改善,gǎishàn,verb: to improve; to make better,公司正在努力改善工作环境。,4,2.4,5,
改正,gǎizhèng,verb: to correct; to amend,你应该改正自己的错误。,4,3.9,5,
格外,géwài,adverb: especially / particularly,下雪天，校园显得格外安静美丽。,4,7.15,5,
工程,gōngchéng,noun: engineering project; construction work,这项工程花了三年才完成。,4,3.9,5,
构成,gòuchéng,verb: to form; to constitute,水由氢和氧构成。,4,4.4,5,
关于,guānyú,preposition: about; regarding; concerning,我想和你谈谈关于工作的事情。,4,3.2,5,
规则,guīzé,noun: rule; regulation,我们必须遵守学校的规则。,4,2.1,5,
骨头,gǔtou,noun: bone,小狗正在啃骨头。,4,3.8,5,
寒冷,hánlěng,adjective: cold / frigid,在这个寒冷的冬天，穿暖一点很重要。,4,3.2,5,
含义,hányì,noun: meaning; implication,这个词的含义很深。,4,4.3,5,
怀疑,huáiyí,verb: to suspect; to doubt / noun: suspicion,我开始怀疑他说的话是不是真的。,4,2.1,5,
伙伴,huǒbàn,noun: partner; companion; teammate,他是我最信任的伙伴。,4,1.2,5,
获得,huòdé,verb: to obtain / to receive / to win,她获得了全校奖学金。,4,2.2,5,
获奖,huòjiǎng,verb: to win an award,她在比赛中获奖了。,4,3.9,5,
获取,huòqǔ,verb: to obtain; to acquire,他通过努力获取了成功。,4,3.3,5,
或许,huòxǔ,adverb: perhaps; maybe,或许他今天不会来了。,4,3.2,5,
呼吸,hūxī,verb: to breathe,请慢慢呼吸，保持放松。,4,4.4,5,
讲座,jiǎngzuò,noun: lecture / seminar,我今天参加了一个关于人工智能的讲座，收获很大。,4,3.3,5,
渐渐,jiànjiàn,adverb: gradually,天渐渐亮了，我们也该出发了。,4,1.9,5,
减少,jiǎnshǎo,verb: to reduce; to decrease,我们应该减少浪费。,4,2.6,5,
交换,jiāohuàn,verb/noun: to exchange,他们交换了礼物。,4,3.9,5,
教训,jiàoxun,"noun: lesson (usually learned from a mistake)
verb: to lecture / to discipline",这次失败给了他一个深刻的教训，父母也教训了他一顿,4,3.8,5,
假如,jiǎrú,conjunction: if; supposing that,假如你有时间，我们可以一起去。,4,2.1,5,
激动,jīdòng,"adjective: excited; emotionally stirred
verb: to excite; to move emotionally",听到这个消息，他激动得说不出话，这个结果也让家人十分激动。,4,1.9,5,
街道,jiēdào,noun: street; road,夜晚的街道十分安静。,4,3.1,5,
节省,jiéshěng,verb: to save; to conserve,我们应该节省用水。,4,3.1,5,
及格,jígé,verb/adjective: to pass (an exam); passing grade,他终于及格了。,4,3.9,5,
集合,jíhé,verb: to gather; to assemble / noun: collection; set,老师让大家马上集合。,4,1.2,5,
资料,jīhū,adverb: almost / nearly,我几乎忘了今天有考试。,4,2.2,5,
几乎,jīhū,adverb: almost; nearly,我几乎忘了今天是你的生日。,4,2.2,5,
精力,jīnglì,noun: energy (mental or physical),他精力充沛，做完工作后还能去健身房锻炼。,4,Unknown,5,
竟然,jìngrán,adverb: unexpectedly / to one’s surprise,他竟然一个人完成了整个项目。,4,1.3,5,
镜子,jìngzi,noun: mirror,她站在镜子前整理头发。,4,3.7,5,
尽力,jìnlì,verb: to do one’s best,我已经尽力帮助你了。,4,2.3,5,
禁止,jìnzhǐ,verb: to forbid; to prohibit,这里禁止吸烟。,4,2.4,5,
技巧,jìqiǎo,noun: skill; technique,学习语言需要一些技巧。,4,3.1,5,
既然,jìrán,conjunction: since; now that,既然已经决定了，就别再犹豫。,4,3.9,5,
究竟,jiūjìng,adverb: exactly / after all (used for emphasis in questions),你究竟想说什么？,4,8.5,5,
角色,juésè,noun: role (in drama/life),她在这部剧里饰演了一个反派角色，表现很精彩。,4,2.5,5,
聚会,jùhuì,noun/verb: gathering; party; to gather,我们周末准备举行聚会。,4,3.1,5,
距离,jùlí,noun: distance / verb: to be apart from,我家和学校的距离不远。,4,2.2,5,
居民,jūmín,noun: resident; inhabitant,这里的居民都很友善。,4,2.1,5,
居住,jūzhù,verb: to live; to reside,很多人喜欢居住在安静的地方。,4,2.1,5,
开花,kāihuā,verb: to bloom; to flower,春天到了，树木开始开花。,4,4.3,5,
考虑,kǎolǜ,verb: to consider; to think about,我会认真考虑你的建议。,4,2.6,5,
口袋,kǒudài,noun: pocket,他的口袋里装满了零钱。,4,3.8,5,
扩大,kuòdà,verb: to expand / to enlarge,公司决定扩大生产规模，以满足更多订单。,4,8.1,5,
老实,lǎoshi,"adjective: honest / well-behaved
adverb: obediently",他为人老实，做事也老实交代，从不骗人。,4,5.2,5,
类型,lèixíng,noun: type / category,你喜欢哪种类型的电影？爱情、动作，还是悬疑？,4,4.7,5,
乐趣,lèqù,noun: fun; enjoyment; pleasure,阅读能带来很多乐趣。,4,2.3,5,
良好,liánghǎo,adjective: good / fine (formal use),他有良好的学习习惯，成绩一直很稳定。,4,2.4,5,
临时,línshí,adjective/adverb: temporary; at the last minute,我们临时改变了计划。,4,3.4,5,
陆地,lùdì,noun: land,那只海龟终于回到了陆地。,4,4.4,5,
轮椅,lúnyǐ,noun: wheelchair,那位老人坐着轮椅。,4,3.3,5,
轮子,lúnzi,noun: wheel,这辆车的轮子坏了。,4,3.3,5,
毛巾,máojīn,noun: towel,我用毛巾擦干头发。,4,3.7,5,
密切,mìqiè,adjective: close; intimate / adverb: closely,他们之间保持着密切联系。,4,3.3,5,
默默,mòmò,adverb: silently; quietly,他默默地坐在角落里。,4,2.1,5,
模型,móxíng,noun: model; mock-up,他正在制作飞机模型。,4,3.1,5,
脑袋,nǎodai,noun: head,他摸了摸自己的脑袋。,4,4.2,5,
能干,nénggàn,adjective: capable; competent,她是一位非常能干的员工。,4,2.6,5,
排列,páiliè,verb: to arrange / to line up,学生们把椅子整齐地排列在教室里。,4,3.1,5,
排列,páiliè,verb: to arrange; to line up,这些椅子已经排列整齐了。,4,3.1,5,
培养,péiyǎng,verb: to cultivate; to foster; to train,阅读可以培养好的习惯。,4,2.2,5,
期待,qīdài,verb: to look forward to; to expect,我很期待下个月的旅行。,4,2.4,5,
期间,qījiān,noun: period of time; during,假期期间很多人都会出去旅行。,4,2.2,5,
亲爱,qīn’ài,adjective: dear; beloved,亲爱的朋友，谢谢你的帮助。,4,4.2,5,
情景,qíngjǐng,noun: scene; situation,那个情景让我很感动。,4,4.2,5,
轻松,qīngsōng,adjective: relaxed; easy,考试结束后，大家都很轻松。,4,3.8,5,
轻易,qīngyì,adverb/adjective: easily; lightly,不要轻易放弃梦想。,4,3.1,5,
汽水,qìshuǐ,noun: soda; soft drink,小孩子很喜欢喝汽水。,4,2.5,5,
其余,qíyú,pronoun: the rest / the others,这份文件只有第一页需要签名，其余部分请仔细阅读。,4,Unknown,5,
热心,rèxīn,adjective: enthusiastic; warmhearted,她是一个很热心的人。,4,2.2,5,
如今,rújīn,adverb: nowadays; now; these days,如今很多人都习惯在网上买东西。,4,5.2,5,
闪电,shǎndiàn,noun: lightning,夜空中突然出现一道闪电。,4,4.3,5,
善良,shànliáng,adjective: kind-hearted,她是个善良的人，总愿意帮助别人。,4,2.6,5,
身材,shēncái,noun: body figure,她身材高挑，穿什么都好看。,4,6.4,5,
身份,shēnfèn,noun: identity / status,她的真实身份直到最后一集才被揭晓。,4,4.3,5,
身高,shēngāo,noun: height (of a person),他的身高超过一米八。,4,3.6,5,
神秘,shénmì,adjective: mysterious,那个地方看起来很神秘。,4,3.7,5,
甚至,shènzhì,adverb/conjunction: even / so much so that...,他太累了，甚至在会议中睡着了。,4,3.11,5,
设施,shèshī,noun: facilities,这家酒店的设施非常齐全，包括健身房和游泳池。,4,8.1,5,
士兵,shìbīng,noun: soldier,士兵们正在训练。,4,4.2,5,
似的,shìde,particle: as if; like,他高兴得像中了大奖似的。,4,2.2,5,
使劲,shǐjìn,adverb/verb: to exert force; with all one’s strength,他使劲推那扇门。,4,4.2,5,
市区,shìqū,noun: urban area; downtown,他住在市区附近。,4,3.1,5,
失望,shīwàng,adjective/verb: disappointed; disappointment,我对结果感到很失望。,4,3.8,5,
事先,shìxiān,adverb: beforehand; in advance,请事先通知我们。,4,3.1,5,
收获,shōuhuò,noun/verb: harvest; gain; to reap,这次旅行让我收获很多。,4,3.8,5,
似乎,sìhū,adverb: seemingly; apparently; it seems,他似乎不太高兴。,4,2.5,5,
思考,sīkǎo,verb/noun: to think; to reflect; thinking,他正在认真思考这个问题。,4,2.5,5,
随手,suíshǒu,adverb: conveniently / in passing / without effort,请随手关门，保持冷气。,4,2.6,5,
替,tì,"preposition / verb: for (on behalf of), to replace",我可以替你参加会议，也可以替你完成这项任务。,4,Unknown,5,
天真,tiānzhēn,adjective: innocent; naive,小孩子的想法很天真。,4,3.1,5,
调皮,tiáopí,adjective: mischievous / playful (often affectionately),这个小孩太调皮，连老师也拿他没办法。,4,Unknown,5,
挑选,tiāoxuǎn,verb: to choose; to pick out; to select,她正在商店里挑选衣服。,4,2.1,5,
挑战,tiǎozhàn,noun: challenge / verb: to challenge,他决定挑战自己，学习新的技能。,4,2.4,5,
体重,tǐzhòng,noun: body weight,我的体重最近增加了。,4,3.1,5,
童话,tónghuà,noun: fairy tale,小时候我很喜欢读童话。,4,2.7,5,
童年,tóngnián,noun: childhood,他的童年过得很快乐。,4,3.7,5,
同情,tóngqíng,verb/noun: sympathy; to sympathize,大家都很同情他的遭遇。,4,3.9,5,
投诉,tóusù,verb/noun: to complain; complaint,顾客向经理投诉服务不好。,4,3.1,5,
图案,túàn,noun: pattern; design,这件衣服上的图案很特别。,4,3.7,5,
网络,wǎngluò,noun: network; internet,这里的网络速度很快。,4,3.1,5,
网址,wǎngzhǐ,noun: website address; URL,请把你的网站网址发给我。,4,2.4,5,
维持,wéichí,verb: to maintain; to keep up,我们必须维持秩序。,4,3.8,5,
未来,wèilái,noun: future,我希望未来会更美好。,4,3.8,5,
位置,wèizhì,noun: position; location,请坐回自己的位置。,4,4.3,5,
问候,wènhòu,verb/noun: to greet; greeting,请代我向你父母问候。,4,3.7,5,
无法,wúfǎ,adverb: unable to / incapable of,没有密码，我无法打开这个文件。,4,2.3,5,
误会,wùhuì,noun/verb: misunderstanding; to misunderstand,对不起，我误会你了。,4,3.1,5,
无论,wúlùn,conjunction: no matter / regardless of,无论发生什么，我都会支持你。,4,2.3,5,
无数,wúshù,adjective: countless; innumerable,夜空中有无数颗星星。,4,3.7,5,
喜爱,xǐài,verb: to like; to love; to be fond of,她从小就喜爱音乐。,4,2.3,5,
相处,xiāngchǔ,verb: to get along; to interact,他们相处得很好。,4,2.5,5,
相反,xiāngfǎn,adjective/adverb: opposite / on the contrary,我以为他会生气，结果相反，他还笑了。,4,5.2,5,
项目,xiàngmù,noun: project; item,这个项目已经完成了。,4,3.4,5,
销售,xiāoshòu,"verb: to sell
noun: sales",这款手机的销售量大幅上升，公司也在全球销售这款产品。,4,4.6,5,
下载,xiàzǎi,verb: to download,我已经把这首歌下载到手机里了。,4,3.11,5,
吸管,xīguǎn,noun: straw,她用吸管喝果汁。,4,4.3,5,
形容,xíngróng,verb: to describe,你能形容一下那个地方吗？,4,2.5,5,
心理,xīnlǐ,noun: psychology; mental state,考试前不要有太大的心理压力。,4,4.3,5,
新鲜,xīnxiān,adjective: fresh,这些水果非常新鲜。,4,2.5,5,
吸收,xīshōu,"verb: to absorb / to take in (nutrients, information, people)",海绵能吸收水分，学生也要努力吸收知识。,4,Unknown,5,
修理,xiūlǐ,verb: to repair / to fix,这台电脑坏了，需要送去修理。,4,3.4,5,
吸引,xīyǐn,verb: to attract / to draw,这部电影的海报非常吸引人。,4,1.3,5,
学问,xuéwèn,noun: knowledge; learning; scholarship,他在历史方面很有学问。,4,4.2,5,
迅速,xùnsù,adjective/adverb: rapid / quickly,他迅速做出反应，成功避免了事故。,4,2.6,5,
寻找,xúnzhǎo,verb: to look for / seek,他们正在寻找丢失的证件。,4,2.2,5,
严格,yángé,adjective: strict; rigorous,老师对学生非常严格。,4,2.5,5,
阳台,yángtái,noun: balcony,她正在阳台上晒衣服。,4,3.4,5,
演讲,yǎnjiǎng,verb/noun: to give a speech; speech,他明天要在学校演讲。,4,2.4,5,
严重,yánzhòng,adjective: serious; severe,这个问题非常严重。,4,3.1,5,
移动,yídòng,verb: to move; to shift,请不要随便移动这些椅子。,4,2.1,5,
依靠,yīkào,verb: to rely on / depend on,这个村庄主要依靠农业维持生计。,4,Unknown,5,
议论,yìlùn,verb: to discuss; to talk about / noun: discussion,大家都在议论昨天发生的事情。,4,2.3,5,
依然,yīrán,adverb: still; as before,即使毕业了，他们依然保持联系。,4,2.2,5,
疑问,yíwèn,noun: question; doubt,我对这个结果没有任何疑问。,4,2.2,5,
勇气,yǒngqì,noun: courage; bravery,他终于鼓起勇气说出了真相。,4,2.1,5,
邮局,yóujú,noun: post office,我去了一趟邮局，寄出了包裹和几张明信片。,4,Unknown,5,
优美,yōuměi,"adjective: graceful, beautiful (used for language, scenery, actions)",她用优美的语言描述了那段令人感动的故事。,4,3.2,5,
有限,yǒuxiàn,adjective: limited; finite,这次活动的名额有限。,4,2.4,5,
优秀,yōuxiù,adjective: outstanding; excellent,她是一位非常优秀的学生。,4,2.2,5,
遇到,yùdào,verb: to encounter; to run into; to meet,我昨天在商场遇到了一位老朋友。,4,1.3,5,
阅读,yuèdú,"verb: to read
noun: reading",每天坚持阅读不仅能增长知识，也能提升表达能力。,4,1.3,5,
遇见,yùjiàn,verb: to meet; to come across,我昨天在地铁站遇见了他。,4,3.3,5,
于是,yúshì,conjunction: so / as a result / therefore,天开始下雨了，于是我们改成在室内吃饭。,4,1.3,5,
再三,zàisān,adverb: repeatedly; over and over again,我再三提醒他不要迟到。,4,2.4,5,
赞成,zànchéng,verb: to approve; to agree with,大部分人都赞成这个计划。,4,2.4,5,
赞赏,zànshǎng,verb/noun: to admire; appreciation,大家都很赞赏他的努力。,4,3.5,5,
战斗,zhàndòu,verb/noun: to fight; battle; combat,他们为了自由而战斗。,4,3.3,5,
战胜,zhànshèng,verb: to defeat / to overcome,她成功战胜了困难，完成了比赛。,4,5.4,5,
战争,zhànzhēng,noun: war,战争给人民带来了很多痛苦。,4,3.2,5,
招呼,zhāohu,verb: to greet / to call out to,他在路上看到我，热情地跟我打招呼。,4,1.6,5,
争论,zhēnglùn,verb / noun: to argue / argument,他们在会议上争论了很久，还是没得出结果。,4,6.5,5,
指挥,zhǐhuī,verb: to command; to direct / noun: conductor; commander,他正在指挥大家完成任务。,4,2.3,5,
之间,zhījiān,noun: between; among,我们之间没有什么秘密。,4,1.3,5,
质量,zhìliàng,noun: quality (of a product or work),这台电视的质量很好，图像非常清晰。,4,4.6,5,
植物,zhíwù,noun: plant,这种植物需要阳光和水才能生长良好。,4,1.8,5,
种类,zhǒnglèi,noun: kind / type / category,这个超市的商品种类非常丰富。,4,2.6,5,
重量,zhòngliàng,noun: weight,这个箱子的重量很重。,4,4.3,5,
种植,zhòngzhí,verb: to plant; to cultivate,农民正在种植蔬菜。,4,3.1,5,
著名,zhùmíng,adjective: famous; well-known,这是一座著名的历史建筑。,4,2.1,5,
准时,zhǔnshí,adverb/adjective: on time / punctual,他总是准时到办公室，从不迟到。,4,1.7,5,
主题,zhǔtí,noun: theme; topic; subject,这次活动的主题是环保。,4,2.3,5,
自信,zìxìn,adjective: confident / noun: self-confidence,她对自己的能力很自信。,4,2.2,5,
总共,zǒnggòng,adverb: altogether; in total,我们总共有二十个人。,4,3.1,5,
最初,zuìchū,adjective/adverb: initial; at first,最初他并不同意这个计划。,4,3.3,5,
做梦,zuòmèng,verb: to dream,我昨晚做梦梦见了小时候的朋友。,4,3.6,5,
作为,zuòwéi,preposition/noun/verb: as; to act as; role,作为学生，我们应该认真学习。,4,3.2,5,
阻止,zǔzhǐ,verb: to stop; to prevent,没有人能阻止他实现梦想。,4,3.1,5,
拜访,bàifǎng,verb: to visit; to pay a visit,我们周末去拜访老师。,5,2.5,5,
扮演,bànyǎn,verb: to play a role; to act as,她在电影里扮演公主。,5,3.9,5,
报答,bàodá,verb: to repay; to return a favor,我以后一定会报答你的帮助。,5,3.9,5,
保卫,bǎowèi,verb: to defend; to safeguard,士兵们正在保卫国家。,5,2.5,5,
抱怨,bàoyuàn,verb: to complain / noun: complaint,他总是抱怨工作太累。,5,2.2,5,
包装,bāozhuāng,verb/noun: to package; packaging,这个礼物已经包装好了。,5,2.5,5,
背包,bēibāo,noun: backpack,他背着一个很大的背包。,5,2.2,5,
悲伤,bēishāng,adjective/noun: sad; sorrow,听到这个消息后，她感到很悲伤。,5,3.6,5,
便利,biànlì,"noun: convenience
adjective: convenient",这家便利店带来了很多便利，购物也很便利。,5,3.1,5,
便条,biàntiáo,noun: note; memo,她在桌上留了一张便条。,5,3.1,5,
彼此,bǐcǐ,pronoun: each other; one another,我们彼此都很了解。,5,3.6,5,
毕竟,bìjìng,adverb: after all; ultimately,他还是答应了，毕竟这是大家共同努力的结果。,5,6.2,5,
博物馆,bówùguǎn,noun: museum,我们周末去参观博物馆。,5,3.8,5,
猜测,cāicè,verb: to guess / speculate,我只能猜测他的用意，但没有确凿的证据。,5,4.3,5,
餐厅,cāntīng,noun: restaurant,我们今晚去那家餐厅吃饭。,5,3.8,5,
场面,chǎngmiàn,noun: scene; situation,那个场面非常热闹。,5,3.2,5,
尝试,chángshì,verb/noun: to try; attempt,我想尝试新的方法。,5,3.4,5,
查询,cháxún,verb / noun: to check / to inquire / inquiry,你可以通过手机查询快递的最新状态。,5,Unknown,5,
充足,chōngzú,adjective: sufficient / ample,准备工作十分充足，大家都很有信心。,5,2.2,5,
出版,chūbǎn,verb: to publish,这本小说已经出版了。,5,2.7,5,
处罚,chǔfá,verb/noun: to punish; punishment,违反规则的人会受到处罚。,5,3.8,5,
除非,chúfēi,conjunction: unless,除非下雨，不然我们会去公园。,5,3.9,5,
此后,cǐhòu,adverb: after this; thereafter,此后，他再也没有迟到。,5,4.4,5,
打扮,dǎban,"verb: to dress up; to style
noun: appearance; outfit",她今天打扮得很简单，但整体打扮看起来依然很有气质。,5,Unknown,5,
呆,dāi,"adjective: dull / blank / slow
verb: to stay",他呆呆地站在那里，呆了一会儿才反应过来。,5,Unknown,5,
当场,dāngchǎng,adverb: on the spot; immediately,他当场向大家道歉。,5,3.9,5,
胆小,dǎnxiǎo,adjective: timid / cowardly,他太胆小了，连鬼片的海报都不敢看。,5,7.5,5,
打扰,dǎrǎo,verb: to disturb / to interrupt,不好意思打扰你了，你现在有空吗？,5,2.2,5,
典礼,diǎnlǐ,noun: ceremony,毕业典礼将在明天举行。,5,3.3,5,
动手,dòngshǒu,verb: to start doing; to take action; to use one’s hands,大家准备好以后就可以动手了。,5,2.2,5,
罚款,fákuǎn,verb / noun: to fine / fine,因为乱停车，他被罚款两百元。,5,Unknown,5,
放大,fàngdà,verb: to enlarge; to magnify,你可以把这张照片放大一点吗？,5,2.5,5,
疯狂,fēngkuáng,"adjective: crazy; insane
noun: madness; obsession",他对音乐的疯狂让大家觉得他看起来有点疯狂。,5,Unknown,5,
分享,fēnxiǎng,"verb: to share (content, emotions, etc.)",她总是喜欢分享好吃的东西和快乐的心情。,5,1.4,5,
辅助,fǔzhù,verb/adjective: to assist; auxiliary,这个工具可以辅助学习。,5,3.8,5,
感想,gǎnxiǎng,noun: thoughts; reflections; impressions,请分享你的感想。,5,3.8,5,
隔壁,gébì,noun/adverb: next door; adjacent,隔壁住着一位医生。,5,3.8,5,
更新,gēngxīn,"verb: to update / renew
noun: update, renewal",系统每天都会自动更新，以确保数据是最新的更新版本。,5,Unknown,5,
跟随,gēnsuí,verb: to follow,小狗一直跟随主人。,5,3.9,5,
歌曲,gēqǔ,noun: song,这首歌曲非常有名。,5,2.6,5,
工艺,gōngyì,noun: craftsmanship; craft technique,这件工艺品制作得很精细。,5,3.1,5,
沟通,gōutōng,"verb: to communicate
noun: communication",良好的沟通是解决问题的关键，他们之间缺乏沟通。,5,6.3,5,
光线,guāngxiàn,noun: light; lighting,这个房间的光线很好。,5,3.2,5,
关怀,guānhuái,noun/verb: care; concern; to care for,老师非常关怀学生。,5,3.9,5,
关键,guānjiàn,noun/adjective: key; crucial,这是成功的关键。,5,3.8,5,
估计,gūjì,"verb: to estimate / guess
adverb: probably / I suppose",他今天没来，估计是临时有事。,5,Unknown,5,
古老,gǔlǎo,adjective: ancient; old,这座城市有着古老的历史。,5,3.2,5,
贺卡,hèkǎ,noun: greeting card,我收到了一张生日贺卡。,5,4.3,5,
后悔,hòuhuǐ,verb: to regret / noun: regret,我后悔没有早点开始学习中文。,5,2.1,5,
回报,huíbào,verb/noun: to repay; return; reward,我希望以后能回报父母。,5,3.5,5,
恢复,huīfù,verb: to recover; to restore,他手术后恢复得很快。,5,2.2,5,
回收,huíshōu,verb: to recycle; to recover,这些瓶子可以回收利用。,5,2.5,5,
活力,huólì,noun: energy; vitality,年轻人充满了活力。,5,3.2,5,
火灾,huǒzāi,noun: fire; blaze,昨晚发生了一场严重的火灾。,5,2.6,5,
胡子,húzi,noun: beard; moustache,他留着浓密的胡子。,5,4.4,5,
奖励,jiǎnglì,noun/verb: reward; to reward,老师奖励了表现优秀的学生。,5,3.2,5,
艰难,jiānnán,"adjective: difficult / tough
noun: difficulty (as in 艰难的日子)",在最艰难的日子里，他靠朋友的帮助坚持了下来。,5,8.4,5,
建造,jiànzào,verb: to build / construct (esp. large-scale structures),他们正在建造一座新的图书馆，预计明年完工。,5,5.1,5,
建筑,jiànzhù,"noun: building / architecture
verb: to construct",这座建筑是由著名建筑师亲自设计并建造的。,5,2.1,5,
交代,jiāodài,verb: to explain; to hand over; to instruct,他向老师交代了事情经过。,5,4.3,5,
加以,jiāyǐ,verb phrase: to carry out; to apply (formal usage),我们必须加以改进。,5,3.9,5,
接触,jiēchù,verb/noun: to come into contact with; contact,我最近开始接触编程。,5,3.11,5,
警告,jǐnggào,verb/noun: to warn; warning,老师警告学生不要作弊。,5,3.9,5,
尽管,jǐnguǎn,conjunction: although; even though / adverb: freely; without hesitation,尽管天气不好，他们还是决定出去。,5,2.5,5,
机器人,jīqìrén,noun: robot,那家公司正在研发机器人。,5,3.7,5,
即使,jíshǐ,conjunction: even if,即使下雨，他也会按时到场。,5,3.11,5,
举动,jǔdòng,noun: action; behavior,他的举动很奇怪。,5,3.9,5,
拒绝,jùjué,verb: to refuse,她礼貌但坚定地拒绝了那份不适合自己的工作。,5,1.7,5,
