Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_HSK,_Dao,Color
未来,wèilái,noun: future,我希望未来会更美好。,I hope the future will be better.,Band4,3.8,5
位置,wèizhì,noun: position; location,请坐回自己的位置。,Please return to your seat.,Band4,4.3,5
问候,wènhòu,verb/noun: to greet; greeting,请代我向你父母问候。,Please send my greetings to your parents.,Band4,3.7,5
无法,wúfǎ,adverb: unable to / incapable of,没有密码，我无法打开这个文件。,"Without the password, I can't open this file.",Band4,2.3,5
误会,wùhuì,noun/verb: misunderstanding; to misunderstand,对不起，我误会你了。,"Sorry, I misunderstood you.",Band4,3.1,5
无论,wúlùn,conjunction: no matter / regardless of,无论发生什么，我都会支持你。,"No matter what happens, I’ll support you.",Band4,2.3,5
无数,wúshù,adjective: countless; innumerable,夜空中有无数颗星星。,There are countless stars in the night sky.,Band4,3.7,5
喜爱,xǐài,verb: to like; to love; to be fond of,她从小就喜爱音乐。,She has loved music since childhood.,Band4,2.3,5
相处,xiāngchǔ,verb: to get along; to interact,他们相处得很好。,They get along very well.,Band4,2.5,5
相反,xiāngfǎn,adjective/adverb: opposite / on the contrary,我以为他会生气，结果相反，他还笑了。,"I thought he’d be mad, but on the contrary, he laughed.",Band4,5.2,5
项目,xiàngmù,noun: project; item,这个项目已经完成了。,This project has already been completed.,Band4,3.4,5
销售,xiāoshòu,"verb: to sell
noun: sales",这款手机的销售量大幅上升，公司也在全球销售这款产品。,"Sales of this phone have increased greatly, and the company sells it worldwide.",Band4,4.6,5
下载,xiàzǎi,verb: to download,我已经把这首歌下载到手机里了。,I’ve already downloaded this song to my phone.,Band4,3.11,5
吸管,xīguǎn,noun: straw,她用吸管喝果汁。,She drank juice with a straw.,Band4,4.3,5
形容,xíngróng,verb: to describe,你能形容一下那个地方吗？,Can you describe that place?,Band4,2.5,5
心理,xīnlǐ,noun: psychology; mental state,考试前不要有太大的心理压力。,Do not have too much psychological pressure before exams.,Band4,4.3,5
新鲜,xīnxiān,adjective: fresh,这些水果非常新鲜。,These fruits are very fresh.,Band4,2.5,5
吸收,xīshōu,"verb: to absorb / to take in (nutrients, information, people)",海绵能吸收水分，学生也要努力吸收知识。,Sponges absorb water; students must absorb knowledge too,Band4,Unknown,5
修理,xiūlǐ,verb: to repair / to fix,这台电脑坏了，需要送去修理。,This computer is broken and needs to be repaired.,Band4,3.4,5
吸引,xīyǐn,verb: to attract / to draw,这部电影的海报非常吸引人。,The poster for this movie is very eye-catching.,Band4,1.3,5
学问,xuéwèn,noun: knowledge; learning; scholarship,他在历史方面很有学问。,He is very knowledgeable in history.,Band4,4.2,5
迅速,xùnsù,adjective/adverb: rapid / quickly,他迅速做出反应，成功避免了事故。,He reacted quickly and successfully avoided the accident.,Band4,2.6,5
寻找,xúnzhǎo,verb: to look for / seek,他们正在寻找丢失的证件。,They are looking for the lost documents.,Band4,2.2,5
严格,yángé,adjective: strict; rigorous,老师对学生非常严格。,The teacher is very strict with the students.,Band4,2.5,5
阳台,yángtái,noun: balcony,她正在阳台上晒衣服。,She is drying clothes on the balcony.,Band4,3.4,5
演讲,yǎnjiǎng,verb/noun: to give a speech; speech,他明天要在学校演讲。,He will give a speech at school tomorrow.,Band4,2.4,5
严重,yánzhòng,adjective: serious; severe,这个问题非常严重。,This problem is very serious.,Band4,3.1,5
移动,yídòng,verb: to move; to shift,请不要随便移动这些椅子。,Please do not move these chairs casually.,Band4,2.1,5
依靠,yīkào,verb: to rely on / depend on,这个村庄主要依靠农业维持生计。,This village mainly relies on agriculture for its livelihood.,Band4,Unknown,5
议论,yìlùn,verb: to discuss; to talk about / noun: discussion,大家都在议论昨天发生的事情。,Everyone is discussing what happened yesterday.,Band4,2.3,5
依然,yīrán,adverb: still; as before,即使毕业了，他们依然保持联系。,"Even after graduating, they still keep in touch.",Band4,2.2,5
疑问,yíwèn,noun: question; doubt,我对这个结果没有任何疑问。,I have no doubts about this result.,Band4,2.2,5
勇气,yǒngqì,noun: courage; bravery,他终于鼓起勇气说出了真相。,He finally gathered the courage to tell the truth.,Band4,2.1,5
邮局,yóujú,noun: post office,我去了一趟邮局，寄出了包裹和几张明信片。,I went to the post office to send a package and a few postcards.,Band4,Unknown,5
优美,yōuměi,"adjective: graceful, beautiful (used for language, scenery, actions)",她用优美的语言描述了那段令人感动的故事。,She used graceful language to describe the touching story.,Band4,3.2,5
有限,yǒuxiàn,adjective: limited; finite,这次活动的名额有限。,The spots for this event are limited.,Band4,2.4,5
优秀,yōuxiù,adjective: outstanding; excellent,她是一位非常优秀的学生。,She is an excellent student.,Band4,2.2,5
遇到,yùdào,verb: to encounter; to run into; to meet,我昨天在商场遇到了一位老朋友。,I ran into an old friend at the mall yesterday.,Band4,1.3,5
阅读,yuèdú,"verb: to read
noun: reading",每天坚持阅读不仅能增长知识，也能提升表达能力。,Reading every day not only expands your knowledge but also improves your communication.,Band4,1.3,5
遇见,yùjiàn,verb: to meet; to come across,我昨天在地铁站遇见了他。,I met him at the subway station yesterday.,Band4,3.3,5
于是,yúshì,conjunction: so / as a result / therefore,天开始下雨了，于是我们改成在室内吃饭。,"It started raining, so we decided to eat indoors instead.",Band4,1.3,5
再三,zàisān,adverb: repeatedly; over and over again,我再三提醒他不要迟到。,I repeatedly reminded him not to be late.,Band4,2.4,5
赞成,zànchéng,verb: to approve; to agree with,大部分人都赞成这个计划。,Most people support this plan.,Band4,2.4,5
赞赏,zànshǎng,verb/noun: to admire; appreciation,大家都很赞赏他的努力。,Everyone admires his hard work.,Band4,3.5,5
战斗,zhàndòu,verb/noun: to fight; battle; combat,他们为了自由而战斗。,They fought for freedom.,Band4,3.3,5
战胜,zhànshèng,verb: to defeat / to overcome,她成功战胜了困难，完成了比赛。,She overcame all the difficulties and completed the competition.,Band4,5.4,5
战争,zhànzhēng,noun: war,战争给人民带来了很多痛苦。,War brought much suffering to the people.,Band4,3.2,5
招呼,zhāohu,verb: to greet / to call out to,他在路上看到我，热情地跟我打招呼。,He greeted me warmly when he saw me on the street.,Band4,1.6,5
争论,zhēnglùn,verb / noun: to argue / argument,他们在会议上争论了很久，还是没得出结果。,They argued for a long time in the meeting but still reached no conclusion.,Band4,6.5,5
指挥,zhǐhuī,verb: to command; to direct / noun: conductor; commander,他正在指挥大家完成任务。,He is directing everyone to complete the task.,Band4,2.3,5
之间,zhījiān,noun: between; among,我们之间没有什么秘密。,There are no secrets between us.,Band4,1.3,5
质量,zhìliàng,noun: quality (of a product or work),这台电视的质量很好，图像非常清晰。,"The quality of this TV is excellent, and the picture is very clear.",Band4,4.6,5
植物,zhíwù,noun: plant,这种植物需要阳光和水才能生长良好。,This plant needs sunlight and water to grow well.,Band4,1.8,5
种类,zhǒnglèi,noun: kind / type / category,这个超市的商品种类非常丰富。,This supermarket has a wide variety of products.,Band4,2.6,5
重量,zhòngliàng,noun: weight,这个箱子的重量很重。,The weight of this box is very heavy.,Band4,4.3,5
种植,zhòngzhí,verb: to plant; to cultivate,农民正在种植蔬菜。,The farmers are planting vegetables.,Band4,3.1,5
著名,zhùmíng,adjective: famous; well-known,这是一座著名的历史建筑。,This is a famous historical building.,Band4,2.1,5
准时,zhǔnshí,adverb/adjective: on time / punctual,他总是准时到办公室，从不迟到。,He always arrives at the office on time and is never late.,Band4,1.7,5
主题,zhǔtí,noun: theme; topic; subject,这次活动的主题是环保。,The theme of this event is environmental protection.,Band4,2.3,5
自信,zìxìn,adjective: confident / noun: self-confidence,她对自己的能力很自信。,She is very confident in her abilities.,Band4,2.2,5
总共,zǒnggòng,adverb: altogether; in total,我们总共有二十个人。,There are twenty people in total.,Band4,3.1,5
最初,zuìchū,adjective/adverb: initial; at first,最初他并不同意这个计划。,"At first, he did not agree with the plan.",Band4,3.3,5
做梦,zuòmèng,verb: to dream,我昨晚做梦梦见了小时候的朋友。,I dreamed about my childhood friend last night.,Band4,3.6,5
作为,zuòwéi,preposition/noun/verb: as; to act as; role,作为学生，我们应该认真学习。,"As students, we should study seriously.",Band4,3.2,5
阻止,zǔzhǐ,verb: to stop; to prevent,没有人能阻止他实现梦想。,Nobody can stop him from achieving his dream.,Band4,3.1,5
拜访,bàifǎng,verb: to visit; to pay a visit,我们周末去拜访老师。,We visited the teacher over the weekend.,Band5,2.5,5
扮演,bànyǎn,verb: to play a role; to act as,她在电影里扮演公主。,She plays a princess in the movie.,Band5,3.9,5
报答,bàodá,verb: to repay; to return a favor,我以后一定会报答你的帮助。,I will definitely repay your help in the future.,Band5,3.9,5
保卫,bǎowèi,verb: to defend; to safeguard,士兵们正在保卫国家。,The soldiers are defending the country.,Band5,2.5,5
抱怨,bàoyuàn,verb: to complain / noun: complaint,他总是抱怨工作太累。,He is always complaining that work is too tiring.,Band5,2.2,5
包装,bāozhuāng,verb/noun: to package; packaging,这个礼物已经包装好了。,This gift has already been wrapped.,Band5,2.5,5
背包,bēibāo,noun: backpack,他背着一个很大的背包。,He is carrying a large backpack.,Band5,2.2,5
悲伤,bēishāng,adjective/noun: sad; sorrow,听到这个消息后，她感到很悲伤。,She felt very sad after hearing the news.,Band5,3.6,5
便利,biànlì,"noun: convenience
adjective: convenient",这家便利店带来了很多便利，购物也很便利。,"This convenience store brings a lot of convenience, and shopping is easy too.",Band5,3.1,5
便条,biàntiáo,noun: note; memo,她在桌上留了一张便条。,She left a note on the table.,Band5,3.1,5
彼此,bǐcǐ,pronoun: each other; one another,我们彼此都很了解。,We understand each other very well.,Band5,3.6,5
毕竟,bìjìng,adverb: after all; ultimately,他还是答应了，毕竟这是大家共同努力的结果。,"He still agreed, after all it was the result of everyone’s joint effort.",Band5,6.2,5
博物馆,bówùguǎn,noun: museum,我们周末去参观博物馆。,We visited the museum over the weekend.,Band5,3.8,5
猜测,cāicè,verb: to guess / speculate,我只能猜测他的用意，但没有确凿的证据。,"I can only guess his intentions, but there’s no solid evidence.",Band5,4.3,5
餐厅,cāntīng,noun: restaurant,我们今晚去那家餐厅吃饭。,We are going to eat at that restaurant tonight.,Band5,3.8,5
场面,chǎngmiàn,noun: scene; situation,那个场面非常热闹。,That scene was very lively.,Band5,3.2,5
尝试,chángshì,verb/noun: to try; attempt,我想尝试新的方法。,I want to try a new method.,Band5,3.4,5
查询,cháxún,verb / noun: to check / to inquire / inquiry,你可以通过手机查询快递的最新状态。,You can check the latest delivery status on your phone.,Band5,Unknown,5
充足,chōngzú,adjective: sufficient / ample,准备工作十分充足，大家都很有信心。,"The preparations are sufficient, and everyone feels confident.",Band5,2.2,5
出版,chūbǎn,verb: to publish,这本小说已经出版了。,This novel has already been published.,Band5,2.7,5
处罚,chǔfá,verb/noun: to punish; punishment,违反规则的人会受到处罚。,People who break the rules will be punished.,Band5,3.8,5
除非,chúfēi,conjunction: unless,除非下雨，不然我们会去公园。,"Unless it rains, we will go to the park.",Band5,3.9,5
此后,cǐhòu,adverb: after this; thereafter,此后，他再也没有迟到。,"After that, he was never late again.",Band5,4.4,5
打扮,dǎban,"verb: to dress up; to style
noun: appearance; outfit",她今天打扮得很简单，但整体打扮看起来依然很有气质。,"She dressed very simply today, but her overall appearance still looks elegant.",Band5,Unknown,5
呆,dāi,"adjective: dull / blank / slow
verb: to stay",他呆呆地站在那里，呆了一会儿才反应过来。,He stood there blankly and only reacted after staying there for a while.,Band5,Unknown,5
当场,dāngchǎng,adverb: on the spot; immediately,他当场向大家道歉。,He apologized to everyone on the spot.,Band5,3.9,5
胆小,dǎnxiǎo,adjective: timid / cowardly,他太胆小了，连鬼片的海报都不敢看。,He’s so timid he doesn’t even dare look at horror movie posters.,Band5,7.5,5
打扰,dǎrǎo,verb: to disturb / to interrupt,不好意思打扰你了，你现在有空吗？,Sorry to bother you — are you free now?,Band5,2.2,5
典礼,diǎnlǐ,noun: ceremony,毕业典礼将在明天举行。,The graduation ceremony will be held tomorrow.,Band5,3.3,5
动手,dòngshǒu,verb: to start doing; to take action; to use one’s hands,大家准备好以后就可以动手了。,"Once everyone is ready, we can start working.",Band5,2.2,5
罚款,fákuǎn,verb / noun: to fine / fine,因为乱停车，他被罚款两百元。,He was fined 200 yuan for illegal parking.,Band5,Unknown,5
放大,fàngdà,verb: to enlarge; to magnify,你可以把这张照片放大一点吗？,Can you enlarge this photo a bit?,Band5,2.5,5
疯狂,fēngkuáng,"adjective: crazy; insane
noun: madness; obsession",他对音乐的疯狂让大家觉得他看起来有点疯狂。,His obsession with music makes everyone think he looks a bit crazy.,Band5,Unknown,5
分享,fēnxiǎng,"verb: to share (content, emotions, etc.)",她总是喜欢分享好吃的东西和快乐的心情。,She always likes to share delicious food and her happy mood.,Band5,1.4,5
辅助,fǔzhù,verb/adjective: to assist; auxiliary,这个工具可以辅助学习。,This tool can assist learning.,Band5,3.8,5
感想,gǎnxiǎng,noun: thoughts; reflections; impressions,请分享你的感想。,Please share your thoughts.,Band5,3.8,5
隔壁,gébì,noun/adverb: next door; adjacent,隔壁住着一位医生。,A doctor lives next door.,Band5,3.8,5
更新,gēngxīn,"verb: to update / renew
noun: update, renewal",系统每天都会自动更新，以确保数据是最新的更新版本。,The system updates automatically every day to ensure it's using the latest version.,Band5,Unknown,5
跟随,gēnsuí,verb: to follow,小狗一直跟随主人。,The puppy kept following its owner.,Band5,3.9,5
歌曲,gēqǔ,noun: song,这首歌曲非常有名。,This song is very famous.,Band5,2.6,5
工艺,gōngyì,noun: craftsmanship; craft technique,这件工艺品制作得很精细。,This handicraft item is very finely made.,Band5,3.1,5
沟通,gōutōng,"verb: to communicate
noun: communication",良好的沟通是解决问题的关键，他们之间缺乏沟通。,"Good communication is key to solving problems, and they lack that between them.",Band5,6.3,5
光线,guāngxiàn,noun: light; lighting,这个房间的光线很好。,The lighting in this room is very good.,Band5,3.2,5
关怀,guānhuái,noun/verb: care; concern; to care for,老师非常关怀学生。,The teacher cares deeply about the students.,Band5,3.9,5
关键,guānjiàn,noun/adjective: key; crucial,这是成功的关键。,This is the key to success.,Band5,3.8,5
估计,gūjì,"verb: to estimate / guess
adverb: probably / I suppose",他今天没来，估计是临时有事。,He didn’t show up today—probably had something come up.,Band5,Unknown,5
古老,gǔlǎo,adjective: ancient; old,这座城市有着古老的历史。,This city has an ancient history.,Band5,3.2,5
贺卡,hèkǎ,noun: greeting card,我收到了一张生日贺卡。,I received a birthday greeting card.,Band5,4.3,5
后悔,hòuhuǐ,verb: to regret / noun: regret,我后悔没有早点开始学习中文。,I regret not starting Chinese earlier.,Band5,2.1,5
回报,huíbào,verb/noun: to repay; return; reward,我希望以后能回报父母。,I hope I can repay my parents in the future.,Band5,3.5,5
恢复,huīfù,verb: to recover; to restore,他手术后恢复得很快。,He recovered quickly after the surgery.,Band5,2.2,5
回收,huíshōu,verb: to recycle; to recover,这些瓶子可以回收利用。,These bottles can be recycled and reused.,Band5,2.5,5
活力,huólì,noun: energy; vitality,年轻人充满了活力。,Young people are full of vitality.,Band5,3.2,5
火灾,huǒzāi,noun: fire; blaze,昨晚发生了一场严重的火灾。,A serious fire broke out last night.,Band5,2.6,5
胡子,húzi,noun: beard; moustache,他留着浓密的胡子。,He has a thick beard.,Band5,4.4,5
奖励,jiǎnglì,noun/verb: reward; to reward,老师奖励了表现优秀的学生。,The teacher rewarded the students who performed well.,Band5,3.2,5
艰难,jiānnán,"adjective: difficult / tough
noun: difficulty (as in 艰难的日子)",在最艰难的日子里，他靠朋友的帮助坚持了下来。,"During his most difficult days, he managed to keep going with help from friends.",Band5,8.4,5
建造,jiànzào,verb: to build / construct (esp. large-scale structures),他们正在建造一座新的图书馆，预计明年完工。,They’re building a new library that should be finished next year.,Band5,5.1,5
建筑,jiànzhù,"noun: building / architecture
verb: to construct",这座建筑是由著名建筑师亲自设计并建造的。,This building was designed and constructed by a famous architect.,Band5,2.1,5
交代,jiāodài,verb: to explain; to hand over; to instruct,他向老师交代了事情经过。,He explained what happened to the teacher.,Band5,4.3,5
加以,jiāyǐ,verb phrase: to carry out; to apply (formal usage),我们必须加以改进。,We must make improvements.,Band5,3.9,5
接触,jiēchù,verb/noun: to come into contact with; contact,我最近开始接触编程。,I recently started getting into programming.,Band5,3.11,5
警告,jǐnggào,verb/noun: to warn; warning,老师警告学生不要作弊。,The teacher warned the students not to cheat.,Band5,3.9,5
尽管,jǐnguǎn,conjunction: although; even though / adverb: freely; without hesitation,尽管天气不好，他们还是决定出去。,"Although the weather was bad, they still decided to go out.",Band5,2.5,5
机器人,jīqìrén,noun: robot,那家公司正在研发机器人。,That company is developing robots.,Band5,3.7,5
即使,jíshǐ,conjunction: even if,即使下雨，他也会按时到场。,"Even if it rains, he’ll still arrive on time.",Band5,3.11,5
举动,jǔdòng,noun: action; behavior,他的举动很奇怪。,His behavior is strange.,Band5,3.9,5
拒绝,jùjué,verb: to refuse,她礼貌但坚定地拒绝了那份不适合自己的工作。,She politely but firmly refused the job that didn’t suit her.,Band5,1.7,5
居然,jūrán,adverb: unexpectedly; actually,他居然忘了今天的考试。,He actually forgot today’s exam.,Band5,3.11,5
开幕,kāimù,verb: to open; opening ceremony,电影节今晚正式开幕。,The film festival officially opens tonight.,Band5,3.2,5
靠近,kàojìn,verb: to approach; to get close to,不要靠近危险区域。,Do not go near the dangerous area.,Band5,2.6,5
可怜,kělián,adjective: pitiful; poor thing,那只受伤的小猫很可怜。,That injured kitten is very pitiful.,Band5,3.1,5
渴望,kěwàng,verb: to long for / to thirst for,她渴望被理解，也渴望拥有真正的友情。,She longs to be understood and to have true friendship.,Band5,Unknown,5
可惜,kěxī,adjective/adverb: what a pity; unfortunately,这么好的机会，错过了真可惜。,It’s such a pity to miss such a good opportunity.,Band5,3.5,5
困扰,kùnrǎo,verb: to trouble / bother,这个问题困扰了我很久，我一直找不到解决办法。,This issue has been bothering me for a long time—I can’t find a solution.,Band5,Unknown,5
朗读,lǎngdú,verb: to read aloud,老师让学生朗读课文。,The teacher asked the students to read the text aloud.,Band5,2.6,5
劳动,láodòng,noun/verb: labor; to work physically,劳动最光荣。,Labor is most honorable.,Band5,3.1,5
连接,liánjiē,verb/noun: to connect; connection,这座桥连接两座城市。,This bridge connects two cities.,Band5,4.3,5
联络,liánluò,verb / noun: to contact / connection,有事请随时联络我，我手机一直开着。,Contact me anytime—my phone’s always on.,Band5,3.1,5
脸色,liǎnsè,noun: facial expression; complexion,他的脸色看起来不太好。,His complexion does not look very good.,Band5,3.6,5
立场,lìchǎng,noun: standpoint / position (on an issue),在这件事上，他的立场一直很坚定。,He’s always been firm in his stance on this issue.,Band5,Unknown,5
厉害,lìhài,adjective:厉害; impressive; severe,她的中文非常厉害。,Her Chinese is very impressive.,Band5,3.5,5
领带,lǐngdài,noun: necktie; tie,他今天戴了一条蓝色领带。,He wore a blue tie today.,Band5,3.6,5
铃声,língshēng,noun: ringing sound; ringtone,上课铃声响了。,The class bell rang.,Band5,4.2,5
例外,lìwài,noun: exception,大家都要遵守规定，没有人是例外。,Everyone must follow the rules—no exceptions.,Band5,6.1,5
明亮,míngliàng,adjective: bright; well-lit,这个房间非常明亮。,This room is very bright.,Band5,2.6,5
命令,mìnglìng,noun/verb: order; command,他命令大家立刻离开。,He ordered everyone to leave immediately.,Band5,2.6,5
明明,míngmíng,adverb: obviously; clearly,他明明知道答案，却不肯说。,He obviously knew the answer but refused to say it.,Band5,3.7,5
摩擦,mócā,verb/noun: to rub / friction / conflict,轮胎和地面摩擦产生热量，双方也因误会产生摩擦。,"The tires generated heat through friction, and the two sides also had conflict due to misunderstandings.",Band5,8.2,5
模范,mófàn,noun: role model / example,她是我们班的学习模范，大家都向她学习。,She’s the academic role model in our class—everyone looks up to her.,Band5,Unknown,5
模仿,mófǎng,verb: to imitate / to mimic,孩子喜欢模仿大人的说话方式。,Children like to imitate the way adults speak.,Band5,2.2,5
模糊,móhú,adjective/verb: blurry; vague; to blur,这张照片看起来很模糊。,This photo looks very blurry.,Band5,3.1,5
目光,mùguāng,"noun: gaze / vision (literal or figurative, e.g., foresight)",他的目光坚定，看得出来他已经下定决心了。,His gaze was firm—you could tell he had made up his mind.,Band5,2.7,5
模样,múyàng,noun: appearance; look,他生气时的模样很可怕。,He looks scary when he is angry.,Band5,2.5,5
难得,nándé,adjective/adverb: rare; hard to come by,这是一次难得的机会。,This is a rare opportunity.,Band5,3.9,5
年龄,niánlíng,noun: age,她虽然年龄不大，但经验非常丰富。,"Although she’s not very old, she has a wealth of experience.",Band5,2.2,5
皮肤,pífū,noun: skin,她的皮肤很好。,Her skin is very good.,Band5,3.4,5
品种,pǐnzhǒng,noun: breed; variety; species,这里有很多不同品种的花。,There are many different varieties of flowers here.,Band5,3.3,5
瞧,qiáo,verb (spoken): to look / to see,你瞧，那边有一只很可爱的猫！,Look over there—there’s a really cute cat!,Band5,Unknown,5
勤奋,qínfèn,adjective: diligent / hardworking,他非常勤奋，每天早起学习。,He’s very diligent and studies early every morning.,Band5,2.6,5
清理,qīnglǐ,verb: to clean up / to clear out,他正在清理房间，把不用的东西都扔掉了。,He’s cleaning the room and threw out everything unnecessary.,Band5,1.6,5
期望,qīwàng,verb/noun: to expect; expectation,父母对孩子有很高的期望。,Parents have high expectations for their children.,Band5,3.5,5
仍旧,réngjiù,adverb: still; yet; as before,虽然过了很多年，他仍旧记得那件事。,"Even after many years, he still remembers that incident.",Band5,Unknown,5
人士,rénshì,noun: personage; people from a certain field,很多专业人士参加了会议。,Many professionals attended the meeting.,Band5,3.4,5
忍受,rěnshòu,verb: to endure; to tolerate,我再也无法忍受这种噪音了。,I can no longer tolerate this noise.,Band5,2.4,5
如此,rúcǐ,adverb: so / like this,我从没见过他如此激动。,I’ve never seen him this emotional.,Band5,5.2,5
上下,shàngxià,noun/adverb: up and down; above and below,他上下打量了我一遍。,He looked me up and down.,Band5,3.7,5
稍微,shāowēi,adverb: a little / slightly,菜稍微咸了一点，但还是很好吃。,"The dish is slightly salty, but still tastes great.",Band5,3.6,5
神,shén,"noun: god; deity
adjective (slang): amazing; god-tier",他操作得太神了，队友都把他当成神一样崇拜。,His gameplay was so amazing that his teammates worshipped him like a god.,Band5,Unknown,5
深处,shēnchù,noun: deep place / deep inside (physical or abstract),森林深处，有一条几乎没人知道的小路。,"Deep in the forest, there’s a little-known path.",Band5,7.18,5
神奇,shénqí,adjective: magical; amazing,这是一个神奇的故事。,This is a magical story.,Band5,4.2,5
神情,shénqíng,noun: expression; look on one’s face,他的神情看起来很紧张。,His expression looked very nervous.,Band5,3.1,5
社区,shèqū,noun: community; neighborhood,这个社区非常安静。,This community is very quiet.,Band5,2.6,5
时常,shícháng,adverb: often; frequently,他时常帮助邻居。,He often helps his neighbors.,Band5,3.9,5
时光,shíguāng,noun: time; days; years,童年的时光总是特别快乐。,Childhood days are always especially joyful.,Band5,2.4,5
视频,shìpín,noun: video,这段社团介绍视频拍得很用心。,This club introduction video was made with great effort.,Band5,Unknown,5
试图,shìtú,verb: to attempt / try to,他试图解释清楚，但对方不愿意听。,"He tried to explain, but the other side wouldn’t listen.",Band5,Unknown,5
手段,shǒuduàn,noun: means / method (often neutral or slightly negative),他为了达到目的，采用了不正当的手段。,He used improper means to achieve his goal.,Band5,Unknown,5
收集,shōují,verb: to collect; to gather,他喜欢收集邮票。,He likes collecting stamps.,Band5,2.5,5
摔倒,shuāidǎo,verb: to fall down,小孩不小心摔倒了。,The child accidentally fell down.,Band5,3.1,5
水分,shuǐfèn,noun: moisture; water content,这种水果的水分很多。,This fruit contains a lot of moisture.,Band5,3.4,5
睡眠,shuìmián,noun: sleep,良好的睡眠对健康很重要。,Good sleep is important for health.,Band5,3.8,5
说法,shuōfǎ,noun: way of saying / explanation / claim,关于这件事有很多说法，但官方的说法最可信。,"There are many explanations about this matter, but the official version is the most reliable.",Band5,5.2,5
熟悉,shúxī,adjective/verb: familiar with; to know well,我对这里的环境很熟悉。,I am very familiar with the environment here.,Band5,2.6,5
搜索,sōusuǒ,verb/noun: to search,警察正在搜索失踪的人。,The police are searching for the missing person.,Band5,3.5,5
随意,suíyì,"adjective: casual; not strict
adverb: casually; at will",这家餐厅气氛很随意，你可以随意点自己想吃的。,"This restaurant has a very casual atmosphere, and you can order whatever you like.",Band5,4.7,5
损害,sǔnhài,"verb: to damage / to harm (abstract things like rights, reputation, health)",吸烟严重损害健康。,Smoking seriously harms your health.,Band5,Unknown,5
损失,sǔnshī,"noun: loss (financial, material)
verb: to lose (in terms of assets or benefit)",这场火灾造成了巨大的经济损失。,The fire caused massive financial losses.,Band5,5.4,5
抬头,táitóu,verb: to raise one’s head; to look up,她抬头看着天空。,She looked up at the sky.,Band5,3.6,5
体力,tǐlì,noun: physical strength; stamina,搬这些箱子需要很多体力。,Carrying these boxes requires a lot of physical strength.,Band5,3.1,5
提示,tíshì,verb/noun: to remind; hint; prompt,老师给了我们一些提示。,The teacher gave us some hints.,Band5,4.3,5
为难,wéi nán,adjective/verb: difficult; embarrassed; to make things difficult,这件事让我很为难。,This matter puts me in a difficult position.,Band5,2.5,5
围绕,wéirào,verb: to revolve around; to center on,这次讨论围绕环保问题展开。,This discussion centered around environmental issues.,Band5,4.3,5
唯一,wéiyī,adjective: only; sole; unique,她是我唯一的妹妹。,She is my only younger sister.,Band5,3.6,5
为止,wéizhǐ,phrase: up to; until,到目前为止，一切都很顺利。,"Up to now, everything has gone smoothly.",Band5,3.1,5
香肠,xiāngcháng,noun: sausage,早餐里有鸡蛋和香肠。,There are eggs and sausages in the breakfast.,Band5,4.4,5
乡村,xiāngcūn,noun: countryside; village area,他喜欢乡村安静的生活。,He likes the peaceful life in the countryside.,Band5,3.2,5
享受,xiǎngshòu,verb: to enjoy,我很享受这段假期。,I really enjoyed this vacation.,Band5,3.9,5
详细,xiángxì,adjective: detailed,请把计划写得更详细一点，方便大家理解。,Please write the plan in more detail so everyone can understand it.,Band5,2.3,5
鲜艳,xiānyàn,adjective: bright-colored; vivid,她穿着一件颜色鲜艳的裙子。,She is wearing a brightly colored dress.,Band5,3.4,5
消防,xiāofáng,noun/adjective: firefighting; fire prevention,消防人员很快赶到了现场。,Firefighters quickly arrived at the scene.,Band5,3.3,5
戏剧,xìjù,noun: drama / play,这部戏剧感人至深，许多观众都哭了。,This play was deeply moving—many in the audience cried.,Band5,2.5,5
行驶,xíngshǐ,verb: to drive; to travel,车辆正在高速公路上行驶。,The vehicles are traveling on the highway.,Band5,3.8,5
信念,xìnniàn,noun: conviction / strong belief (often secular or motivational),他坚守自己的信念，不轻易放弃理想。,He holds firmly to his convictions and doesn’t give up on his ideals easily.,Band5,Unknown,5
欣赏,xīnshǎng,verb: to appreciate; to admire; to enjoy,我很欣赏他的工作态度。,I really admire his work attitude.,Band5,1.3,5
心疼,xīnténg,verb/adjective: to feel distressed; to love dearly,看到他受伤，我很心疼。,Seeing him hurt made me feel distressed.,Band5,3.6,5
询问,xúnwèn,verb: to inquire; to ask,他向工作人员询问路线。,He asked the staff for directions.,Band5,3.11,5
严厉,yánlì,adjective: strict; severe,老师对迟到的学生很严厉。,The teacher is very strict with students who are late.,Band5,3.8,5
邀请,yāoqǐng,"verb: to invite
noun: invitation",他正式发出了邀请，邀请朋友们参加他的生日聚会。,"He formally sent out invitations, inviting his friends to his birthday party.",Band5,2.2,5
夜间,yèjiān,noun/adjective: nighttime; nocturnal,夜间开车要特别小心。,Be especially careful when driving at night.,Band5,3.6,5
一旦,yídàn,conjunction: once / in case,一旦开始，就不要轻易放弃。,"Once you start, don’t give up easily.",Band5,8.1,5
饮食,yǐnshí,noun: diet; food and drink,健康的饮食很重要。,A healthy diet is very important.,Band5,3.9,5
以往,yǐwǎng,noun/adverb: in the past; formerly,今年比以往更忙。,This year is busier than before.,Band5,3.1,5
